dev,name,batch_size,_compile,OutputGraph.call_user_compiler,create_aot_dispatcher_function,compile_fx.<locals>.fw_compiler,GraphLowering.run,GraphLowering.compile_to_module,Scheduler.__init__,Scheduler.codegen,WrapperCodeGen.generate,cudagraphify,CachingAutotuner.benchmark_all_configs,compile_fx.<locals>.bw_compiler
cuda,adv_inception_v3,128,35.973979,32.225272,29.162982,16.554708,4.533908,25.511442,8.826449,4.713336,0.556040,39.108913,95.833091,52.944427
cuda,beit_base_patch16_224,64,20.422042,17.952945,14.322062,8.822372,1.459222,14.644710,3.303131,1.726453,0.242481,0.744854,2.871609,8.171701
cuda,botnet26t_256,128,24.166927,22.073933,18.811350,14.094967,2.458678,20.350102,5.554142,2.564599,0.130686,25.721576,54.686310,34.570356
cuda,cait_m36_384,4,47.474689,39.533590,36.147000,16.235726,4.929381,32.210810,12.460736,7.155013,1.921222,6.886929,20.225746,28.690356
cuda,coat_lite_mini,128,23.165524,21.021684,17.766356,12.638894,2.037234,24.848213,6.704012,2.677663,0.210740,13.449139,39.510227,27.835618
cuda,convit_base,64,20.646467,18.306854,15.329846,9.230693,1.855472,16.773742,4.681641,2.179673,0.265419,5.853427,8.974150,15.416072
cuda,convmixer_768_32,32,19.225349,17.811566,14.588057,6.279356,2.757576,10.679292,2.552892,1.747560,0.272790,3.103134,10.503635,2.343377
cuda,convnext_base,64,22.700996,18.554471,15.435976,8.940190,2.870102,19.381774,4.591259,2.409574,0.455083,10.520703,15.548110,24.030885
cuda,crossvit_9_240,128,27.178437,23.715656,20.052259,10.829245,2.777767,23.003155,6.040494,3.009326,0.391510,21.856499,33.442928,37.040987
cuda,cspdarknet53,64,26.833792,22.767800,19.626378,10.821442,3.083920,17.448567,4.183563,2.730559,0.325479,26.146381,55.941148,36.106824
cuda,deit_base_distilled_patch16_224,64,17.491952,15.589781,12.326602,7.832520,1.216044,14.291032,2.749409,1.499012,0.194098,2.621852,3.555687,10.420270
cuda,dla102,128,34.397360,30.311555,27.179681,13.758646,4.707828,20.710706,7.042660,3.469984,0.557448,15.830972,37.771159,27.885046
cuda,dm_nfnet_f0,128,23.785216,19.570969,16.424333,8.264706,3.401398,16.109034,4.600970,2.054997,0.262940,23.768743,28.645059,35.233686
cuda,dpn107,32,42.995063,36.301503,33.059565,16.252807,5.294310,25.113589,7.174284,3.988410,0.549865,16.608361,30.852075,31.215136
cuda,eca_botnext26ts_256,128,25.846482,23.597866,20.309336,14.655894,2.757123,21.048450,5.896935,2.413666,0.153356,33.421177,63.390924,42.729770
cuda,ese_vovnet19b_dw,128,16.630133,14.946615,11.684151,8.308739,1.517070,13.724353,2.934861,1.448883,0.116556,23.929944,47.945529,30.959442
cuda,fbnetc_100,128,26.864118,23.382007,19.866531,11.685117,3.095417,17.510164,3.972729,2.522728,0.282158,40.366333,95.590449,49.518487
cuda,fbnetv3_b,128,39.275610,33.794572,30.633374,16.054724,5.298415,24.712662,7.440310,3.675932,0.623903,54.858435,106.752429,69.200975
cuda,gernet_l,128,22.653184,19.183876,16.019136,9.106678,2.344995,14.101727,2.866059,1.687693,0.220629,23.320894,45.775427,30.860938
cuda,ghostnet_100,128,37.311231,32.243792,29.099207,16.668822,4.163620,27.988205,7.458299,4.109643,0.463993,102.266215,182.233196,118.075490
cuda,gluon_inception_v3,128,36.420500,32.555321,28.949093,16.266651,4.562272,25.347302,9.206289,4.726681,0.565212,46.960758,98.004771,60.959469
cuda,gluon_xception65,32,39.002652,34.117610,31.019101,13.867383,5.020437,19.928608,6.941535,3.199797,0.688542,16.356953,31.507714,27.909559
cuda,gmixer_24_224,128,23.696687,20.453361,17.188281,9.154201,1.968682,17.304157,5.179451,2.543753,0.394751,0.191836,6.077760,10.510837
cuda,gmlp_s16_224,128,24.163334,20.855969,17.603797,10.055929,2.211565,19.603086,5.207057,2.622893,0.385012,0.197366,11.769852,12.168327
cuda,hrnet_w18,128,97.304404,89.645220,86.355968,38.778185,16.540120,54.357619,23.857079,12.581876,4.814395,42.004215,90.293684,75.354669
cuda,inception_v3,128,35.690760,31.934694,28.762266,16.697837,4.472765,25.773113,8.842330,4.685227,0.550163,44.356861,101.740178,58.247238
cuda,jx_nest_base,32,32.088754,27.711934,24.107187,13.760425,3.215438,25.584660,9.044477,3.704532,0.557037,11.308116,18.959198,26.643920
cuda,lcnet_050,128,17.719035,16.135911,12.894556,8.668406,1.695436,13.607322,2.727751,1.375102,0.119723,41.052478,72.822057,47.799471
cuda,mixer_b16_224,128,16.143818,14.261806,10.952875,7.185461,1.308048,12.541352,1.805953,1.065030,0.138956,0.150567,5.095609,6.917582
cuda,mixnet_l,128,34.792654,29.030507,25.816719,14.747298,3.655563,23.425651,5.830613,3.371330,0.492622,62.815325,99.786063,75.700755
cuda,mnasnet_100,128,22.968404,20.358279,17.059529,10.951852,2.261912,16.576633,3.589467,1.864208,0.205081,36.794822,83.289919,45.051980
cuda,mobilenetv2_100,128,24.132868,21.476811,18.204751,11.155593,2.379238,16.924620,3.754637,1.890602,0.220342,44.768385,99.281641,53.109811
cuda,mobilenetv3_large_100,128,24.646933,21.886990,18.588905,11.875912,2.568287,19.843322,4.145458,2.139982,0.235598,66.253528,113.170806,76.978755
cuda,mobilevit_s,64,37.114139,33.639636,30.468048,22.681144,3.692338,36.865302,12.630595,6.062378,0.336234,54.060339,128.690069,72.162827
cuda,nfnet_l0,128,22.691573,19.193233,15.898446,8.236358,2.572258,16.459010,4.563213,1.996185,0.260204,26.622996,35.533478,37.624579
cuda,pit_b_224,64,19.692501,17.534951,14.268744,9.205185,1.495374,16.177761,3.679542,1.767565,0.217170,9.200645,12.409148,17.805712
cuda,pnasnet5large,16,68.532630,61.422747,57.825656,27.373828,10.136701,41.857269,17.789682,10.573903,1.831037,26.909035,44.279176,52.365423
cuda,poolformer_m36,64,35.354137,30.422992,27.273364,15.764327,5.493051,29.388187,13.852934,5.872957,0.558115,10.129495,24.426595,29.582150
cuda,regnety_002,128,22.372694,19.201336,16.013863,9.789106,2.293824,15.622671,3.372240,1.780494,0.231462,40.812932,70.906004,49.117081
