dev,name,batch_size,speedup,abs_latency,compilation_latency,compression_ratio
cuda,BERT_pytorch,16,2.9178,17.9180,64.1715,0.9428
cuda,Background_Matting,4,1.1687,107.6293,68.2820,0.8484
cuda,LearningToPaint,96,1.2417,8.8466,43.6264,0.5925
cuda,Super_SloMo,6,1.2179,65.3747,41.2020,1.2080
cuda,alexnet,128,1.0834,9.0721,14.3160,0.7084
cuda,attention_is_all_you_need_pytorch,256,1.4400,37.2481,71.6190,0.9689
cuda,dcgan,32,1.4426,1.4268,7.8989,0.7821
cuda,demucs,4,1.0293,52.0924,30.5955,0.7733
cuda,densenet121,4,2.7549,19.1842,131.5750,0.7085
cuda,dlrm,0,0.0000
cuda,doctr_det_predictor,0,0.0000
cuda,doctr_reco_predictor,0,0.0000
cuda,drq,1,1.4755,2.1284,9.4211,0.6379
cuda,fastNLP_Bert,6,1.5781,37.4095,47.7006,1.0496
cuda,functorch_dp_cifar10,64,3.4119,2.8788,56.5869,0.3991
cuda,hf_Albert,8,2.2747,30.5078,50.8575,1.0740
cuda,hf_Bart,4,1.6313,34.9128,58.3560,0.7535
cuda,hf_Bert,4,1.5712,25.2661,45.6307,0.9680
cuda,hf_Bert_large,4,1.5261,53.8414,73.8188,1.0419
cuda,hf_BigBird,2,2.6380,72.5106,136.2616,0.6964
cuda,hf_DistilBert,8,1.4148,22.1270,29.3373,0.8476
cuda,hf_GPT2,4,1.7206,27.8728,32.8255,0.9320
cuda,hf_GPT2_large,4,1.6479,126.5714,82.2364,0.8906
cuda,hf_Longformer,2,1.6749,66.1221,150.3166,0.4170
cuda,hf_Reformer,4,1.1816,69.3264,37.6448,0.5797
cuda,hf_T5,8,1.8483,98.0183,60.2908,1.1036
cuda,hf_T5_large,2,2.2815,97.7324,171.2958,0.8109
cuda,lennard_jones,1000,1.4666,1.0047,6.2341,0.5317
cuda,mnasnet1_0,32,1.6216,13.3847,108.4395,0.7144
cuda,mobilenet_v2,96,1.4720,31.9023,127.5413,1.0106
cuda,mobilenet_v3_large,32,1.9514,13.3490,138.0157,0.6994
cuda,moco,0,0.0000
cuda,nvidia_deeprecommender,256,0.8724,11.7179,9.2929,0.6585
cuda,phlippe_densenet,128,2.0049,11.4542,163.3406,0.8058
cuda,phlippe_resnet,128,1.7528,5.5360,30.6926,0.3169
cuda,pytorch_CycleGAN_and_pix2pix,1,1.8774,7.1698,35.7336,0.5904
cuda,pytorch_stargan,16,1.2215,11.9367,45.9049,0.7715
cuda,pytorch_struct,200,1.4625,3.1854,19.4674,0.7274
cuda,pytorch_unet,1,1.1684,34.0579,57.2181,0.8134
cuda,resnet152,32,1.1460,54.8923,99.7201,0.8470
cuda,resnet18,16,1.5951,6.0575,41.3478,0.5447
cuda,resnet50,32,1.1244,23.1252,62.3514,0.7812
cuda,resnext50_32x4d,8,1.6630,11.6813,51.3695,0.6672
cuda,shufflenet_v2_x1_0,128,1.5020,19.9287,79.0404,0.8615
cuda,soft_actor_critic,256,1.1694,1.2881,7.1531,0.6066
cuda,speech_transformer,32,1.5978,35.6684,72.3735,0.8651
cuda,squeezenet1_1,32,1.8223,5.4466,23.5025,0.7754
cuda,tacotron2,0,0.0000
cuda,timm_efficientnet,32,1.3632,23.6723,140.9228,0.8706
cuda,timm_nfnet,128,1.4468,81.3534,67.7800,0.9693
cuda,timm_regnet,32,0.9309,59.5305,69.1668,0.8500
cuda,timm_resnest,32,1.4408,16.7066,97.5649,0.8628
cuda,timm_vision_transformer,32,1.7863,18.3374,50.1642,0.8593
cuda,timm_vision_transformer_large,0,0.0000
cuda,timm_vovnet,32,0.9118,27.0198,58.1518,0.7529
cuda,torchrec_dlrm,0,0.0000
cuda,tts_angular,64,0.9828,7.0536,5.7192,0.9852
cuda,vgg16,64,1.2313,53.9118,15.3076,0.7230
cuda,yolov3,16,1.1107,61.7638,115.9131,0.8748
