dev,name,batch_size,speedup,abs_latency,compilation_latency,compression_ratio
cuda,AlbertForMaskedLM,4,1.2432,311.7807,42.9935,1.2096
cuda,AlbertForQuestionAnswering,4,1.2461,308.9637,35.9846,1.2434
cuda,AllenaiLongformerBase,4,1.9155,129.9470,110.4193,0.8567
cuda,BartForCausalLM,4,1.1732,106.2103,35.6214,0.9141
cuda,BartForConditionalGeneration,2,1.1115,133.9964,53.7706,0.9794
cuda,BertForMaskedLM,16,1.1807,114.2119,39.6982,0.9848
cuda,BertForQuestionAnswering,16,1.2488,89.1796,38.1115,1.0462
cuda,BlenderbotForCausalLM,4,0.9948,101.5513,53.6022,0.9928
cuda,BlenderbotSmallForCausalLM,64,1.0520,61.7413,29.3328,0.8426
cuda,BlenderbotSmallForConditionalGeneration,64,1.0922,110.7217,40.6274,0.9055
cuda,CamemBert,16,1.1823,115.1188,36.4133,0.9820
cuda,DebertaForMaskedLM,4,0.9126,66.4160,47.1280,1.0107
cuda,DebertaForQuestionAnswering,8,1.1206,73.4852,43.4398,1.1413
cuda,DebertaV2ForMaskedLM,1,0.6855,128.7691,52.2870,0.9879
cuda,DebertaV2ForQuestionAnswering,2,0.7924,133.6499,49.2193,0.9759
cuda,DistilBertForMaskedLM,128,1.0542,116.5682,28.2777,0.8955
cuda,DistilBertForQuestionAnswering,256,1.1374,127.7068,31.4407,1.0349
cuda,DistillGPT2,16,1.4140,85.2386,22.3427,0.9667
cuda,ElectraForCausalLM,32,1.4229,74.6619,60.0419,0.9090
cuda,ElectraForQuestionAnswering,64,1.4086,88.9007,44.4325,1.0554
cuda,GPT2ForSequenceClassification,4,1.6441,62.3079,27.8579,1.1472
cuda,GoogleFnet,16,1.5471,66.0186,30.0229,1.1410
cuda,LayoutLMForMaskedLM,16,1.1986,114.7049,43.3661,0.9833
cuda,LayoutLMForSequenceClassification,16,1.2743,89.4617,46.9791,1.0464
cuda,M2M100ForConditionalGeneration,16,1.1517,113.2177,86.9155,0.8903
cuda,MBartForCausalLM,4,1.1693,106.3239,35.9808,0.9142
cuda,MBartForConditionalGeneration,2,1.1114,134.5379,57.0708,0.9794
cuda,MT5ForConditionalGeneration,16,1.4829,62.8003,127.7574,0.9117
cuda,MegatronBertForCausalLM,4,1.1508,88.4041,63.6101,1.0257
cuda,MegatronBertForQuestionAnswering,8,1.1976,144.4621,61.8174,1.0459
cuda,MobileBertForMaskedLM,64,1.2324,103.6758,121.3422,0.8782
cuda,MobileBertForQuestionAnswering,128,1.2194,116.4326,115.8350,0.5584
cuda,OPTForCausalLM,2,1.7848,96.9620,31.4634,1.0940
cuda,PLBartForCausalLM,8,1.2925,93.3583,28.2636,0.9244
cuda,PLBartForConditionalGeneration,4,1.2515,97.5556,45.6962,0.9919
cuda,PegasusForCausalLM,32,1.0345,82.7475,34.2751,0.8902
cuda,PegasusForConditionalGeneration,32,1.0400,166.4285,55.0593,0.9645
cuda,RobertaForCausalLM,16,1.2548,114.0444,39.2752,0.9847
cuda,RobertaForQuestionAnswering,16,1.2535,89.1822,35.0964,1.0462
cuda,Speech2Text2ForCausalLM,256,1.1715,54.7524,27.9589,0.8187
cuda,T5ForConditionalGeneration,4,1.2347,84.7022,52.6859,1.0871
cuda,T5Small,4,1.2347,84.6447,51.9619,1.0871
cuda,TrOCRForCausalLM,32,1.0687,157.9837,35.3269,0.8833
cuda,XGLMForCausalLM,8,1.0359,80.4683,56.1964,0.9132
cuda,XLNetLMHeadModel,8,1.6221,233.8004,72.1580,1.0732
cuda,YituTechConvBert,16,1.1906,130.3439,64.6260,0.9434
