dev,name,batch_size,_compile,OutputGraph.call_user_compiler,create_aot_dispatcher_function,compile_fx.<locals>.fw_compiler,GraphLowering.run,GraphLowering.compile_to_module,Scheduler.__init__,Scheduler.codegen,WrapperCodeGen.generate,CachingAutotuner.benchmark_all_configs,compile_fx.<locals>.bw_compiler
cuda,adv_inception_v3,128,39.916420,34.094300,29.884110,17.646855,5.677340,26.950371,9.414719,5.056805,0.590245,98.021469,15.351533
cuda,beit_base_patch16_224,64,22.671156,18.698700,14.614007,8.726606,2.117234,13.798420,3.710888,2.061977,0.276136,3.254578,7.346990
cuda,botnet26t_256,128,26.312699,23.328435,18.885319,14.074735,3.206766,21.453516,6.222590,2.562104,0.145578,51.325289,10.748500
cuda,cait_m36_384,4,58.095341,44.458871,40.686191,18.567389,6.171840,36.267641,16.215803,7.714607,2.223129,19.843046,25.022407
cuda,coat_lite_mini,128,27.611203,24.178081,19.818092,13.983292,3.208539,26.840136,7.918905,3.259604,0.231115,42.313575,16.249561
cuda,convit_base,64,25.279136,21.104434,16.869389,9.981649,2.180508,19.966049,5.471074,2.511062,0.293974,8.944201,12.352047
cuda,convmixer_768_32,32,21.668374,20.013963,15.616465,6.652900,2.933951,12.304346,3.866530,2.136454,0.329503,8.847991,2.338418
cuda,convnext_base,64,27.732771,20.805567,17.647703,9.608028,3.673190,18.448625,5.836223,2.910381,0.505873,12.999863,12.750348
cuda,crossvit_9_240,128,32.662863,26.352102,21.965706,11.990481,3.736223,26.170885,7.683744,3.678804,0.461879,33.582615,18.217361
cuda,cspdarknet53,64,30.905446,25.221080,21.229176,11.637460,3.985993,17.782982,5.085877,2.674916,0.332710,52.365405,10.761348
cuda,deit_base_distilled_patch16_224,64,21.124468,17.916043,13.613023,8.323450,1.643018,25.742491,4.135053,1.949011,0.237234,3.828850,19.209186
cuda,dla102,128,39.283245,32.338092,28.497654,14.819886,5.255532,22.183075,7.901282,3.879757,0.567611,38.398994,13.026470
cuda,dm_nfnet_f0,128,28.279415,21.938040,17.851958,8.792121,3.863915,17.248967,5.496806,2.293485,0.283324,27.664745,12.574482
