dev,name,batch_size,_compile,OutputGraph.call_user_compiler,create_aot_dispatcher_function,compile_fx.<locals>.fw_compiler,GraphLowering.run,GraphLowering.compile_to_module,Scheduler.__init__,Scheduler.codegen,WrapperCodeGen.generate,CachingAutotuner.benchmark_all_configs,compile_fx.<locals>.bw_compiler
cuda,BERT_pytorch,16,27.136759,22.197972,18.772867,10.403113,2.559795,16.297626,4.401624,2.093862,0.321625,26.080928,8.892807
cuda,Background_Matting,4,24.506574,20.661403,16.319995,9.517056,2.551955,17.175195,5.775344,3.008214,0.239265,31.919366,10.403548
cuda,LearningToPaint,96,14.423049,13.038952,8.617474,5.798857,1.002801,9.896068,1.257043,0.742594,0.074446,24.277912,5.176616
cuda,Super_SloMo,6,23.409301,20.483865,17.443969,10.734050,2.699166,16.674860,5.947841,2.935999,0.149246,8.789004,7.797281
cuda,alexnet,128,6.908489,6.419990,2.703205,2.305764,0.183011,5.863674,0.942354,0.327364,0.014508,3.752823,4.179389
cuda,attention_is_all_you_need_pytorch,256,27.513948,23.283324,19.766671,11.079454,2.842835,17.842650,4.712767,2.350043,0.391754,32.821812,9.847252
cuda,dcgan,32,5.971208,5.547711,2.592372,2.087412,0.337882,3.243776,0.219970,0.116681,0.012300,1.509453
cuda,demucs,4,14.204363,12.554209,9.429311,8.332951,0.458941,13.282988,1.170082,0.676921,0.042484,8.651069,5.441329
cuda,densenet121,4,54.017931,46.188719,41.823696,24.343203,6.891909,36.876366,14.329944,5.712906,0.718212,54.488411,20.234879
cuda,drq,1,6.832525,6.176712,3.042066,2.566639,0.133530,4.136762,0.189012,0.112545,0.015759,1.717164
cuda,fastNLP_Bert,6,30.199648,25.261176,21.625741,14.162096,2.295326,20.005254,4.013937,2.420470,0.314835,7.054941,8.330590
cuda,functorch_dp_cifar10,64,12.419240,11.217997,8.243785,5.551827,1.342073,11.214548,2.427786,1.103601,0.067718,34.364251,7.082775
cuda,hf_Albert,8,20.967401,18.448718,14.599562,7.805155,1.915122,13.471157,3.673007,1.563431,0.155299,9.164639,7.748938
cuda,hf_Bart,4,40.566614,29.902551,26.665642,16.836660,2.711227,25.586706,5.162685,2.726310,0.293147,4.074372,11.714991
cuda,hf_Bert,4,23.717747,18.848295,16.035378,8.742719,2.199732,13.909766,3.860610,1.946249,0.288669,3.064727,7.547510
cuda,hf_Bert_large,4,40.441696,30.216127,27.342967,12.825492,3.807369,21.153443,7.924646,4.038605,0.820658,3.025835,12.507695
cuda,hf_BigBird,2,77.118866,64.677056,61.204384,34.301350,10.081870,53.820542,23.319973,10.226331,0.583466,8.933244,30.295574
cuda,hf_DistilBert,8,17.338089,14.675905,10.846157,6.964909,1.080269,11.446406,1.905117,1.077190,0.118902,6.328820,6.082653
cuda,hf_GPT2,4,23.664867,18.904468,15.377990,8.929807,2.159338,13.197154,3.751520,1.796505,0.257197,7.580981,6.597931
cuda,hf_GPT2_large,4,57.929652,43.323994,40.288257,20.907892,6.483525,34.669917,12.110060,5.327003,1.381321,15.690200,21.304830
cuda,hf_Longformer,2,80.582060,69.338248,65.933057,43.295647,8.583013,59.637805,22.320239,7.757737,0.433985,6.680380,25.969209
cuda,hf_Reformer,4,28.717861,24.503676,21.655766,19.486470,0.796547,23.277056,1.576893,0.983126,0.070899,5.402407,4.699530
cuda,hf_T5,8,29.059948,23.060906,19.179787,10.463913,3.384881,16.424103,4.144293,1.961754,0.306187,8.877506,9.613703
cuda,hf_T5_large,2,100.171068,73.753614,70.222078,34.466534,10.517906,52.638215,22.177875,7.560884,2.588826,26.713065,29.658568
