dev,name,batch_size,speedup,abs_latency,compilation_latency,compression_ratio,eager_peak_mem,dynamo_peak_mem,calls_captured,unique_graphs,graph_breaks,unique_graph_breaks
cuda,AlbertForMaskedLM,4,1.6067,165.6646,35.1611,1.2680,16.5008,13.0132,441,1,11,6
cuda,AlbertForQuestionAnswering,4,1.6177,163.3727,31.3945,1.3147,16.2630,12.3704,441,1,11,6
cuda,AllenaiLongformerBase,4,1.6662,109.2790,113.0549,0.8742,8.3229,9.5207,1717,161,138,12
cuda,BartForCausalLM,4,1.5360,73.9100,42.1642,0.9430,11.9027,12.6217,486,16,19,11
cuda,BartForConditionalGeneration,2,1.4725,93.0330,65.7630,1.0139,15.5970,15.3829,1260,1,11,6
cuda,BertForMaskedLM,16,1.5765,69.6759,35.4567,1.0518,11.6459,11.0724,372,1,11,6
cuda,BertForQuestionAnswering,16,1.7433,54.6095,35.5534,1.1729,8.8466,7.5428,379,1,11,6
cuda,BlenderbotForCausalLM,4,1.1168,105.9054,65.5448,0.9941,31.1116,31.2969,938,28,19,11
cuda,BlenderbotSmallForCausalLM,64,1.2194,47.4550,33.5567,0.8318,7.7848,9.3593,331,12,19,11
cuda,BlenderbotSmallForConditionalGeneration,64,1.4066,79.7553,48.4975,0.9803,13.3990,13.6682,842,1,11,6
cuda,CamemBert,16,1.5251,77.6561,33.3946,1.0491,11.8036,11.2508,379,1,11,6
cuda,DebertaForMaskedLM,4,0.9270,65.3876,47.2144,0.9978,4.9442,4.9553,728,95,164,15
cuda,DebertaForQuestionAnswering,8,1.0964,69.1556,49.8101,1.1527,6.2231,5.3988,735,95,164,15
cuda,DebertaV2ForMaskedLM,1,0.7309,141.7430,64.4805,0.9665,11.6411,12.0451,933,179,287,15
cuda,DebertaV2ForQuestionAnswering,2,0.7315,144.8739,60.3109,0.9802,12.2851,12.5330,940,179,287,15
cuda,DistilBertForMaskedLM,128,1.2362,68.3235,31.5613,0.9624,11.0526,11.4846,208,1,11,6
cuda,DistilBertForQuestionAnswering,256,1.4378,71.7832,32.8174,1.1479,9.5385,8.3096,216,1,11,6
cuda,DistillGPT2,16,1.6852,62.7126,25.9328,1.0642,11.4247,10.7351,332,1,11,6
cuda,ElectraForCausalLM,32,1.8091,48.6001,59.4857,0.8941,11.1043,12.4194,379,6,15,8
cuda,ElectraForQuestionAnswering,64,2.0763,55.1028,40.3941,1.1950,10.4133,8.7139,380,1,11,6
cuda,GPT2ForSequenceClassification,4,2.2614,40.4482,32.1499,1.2307,9.0873,7.3837,646,1,11,6
cuda,LayoutLMForMaskedLM,16,1.5888,70.9284,36.2365,1.0518,11.6797,11.1047,398,1,11,6
cuda,LayoutLMForSequenceClassification,16,1.7539,55.7441,41.9225,1.1368,8.8766,7.8083,396,1,11,6
cuda,M2M100ForConditionalGeneration,16,1.3773,80.2359,101.6464,0.8972,11.3017,12.5960,1276,23,36,10
cuda,MBartForCausalLM,4,1.5256,74.4066,43.6235,0.9507,11.9196,12.5383,485,16,19,11
cuda,MBartForConditionalGeneration,2,1.4663,93.8693,70.9520,1.0307,15.6138,15.1486,1265,1,11,6
cuda,MT5ForConditionalGeneration,16,1.8300,50.5764,124.7709,1.0019,10.9634,10.9424,1175,1,11,6
cuda,MegatronBertForCausalLM,4,1.4924,58.5856,58.6943,1.0962,9.0322,8.2394,723,1,11,6
cuda,MegatronBertForQuestionAnswering,8,1.6040,88.5494,58.8224,1.1152,13.3824,12.0004,726,1,11,6
cuda,MobileBertForMaskedLM,64,1.1161,171.6727,129.8412,1.0160,7.1229,7.0106,1449,1,5,4
cuda,MobileBertForQuestionAnswering,128,1.1660,187.7438,123.3959,0.8392,7.9433,9.4658,1453,1,5,4
cuda,OPTForCausalLM,2,2.4804,68.2339,37.8309,1.1099,17.1579,15.4588,537,16,19,11
cuda,PLBartForCausalLM,8,1.6743,68.7661,32.7300,0.9249,11.7446,12.6976,258,10,19,11
cuda,PLBartForConditionalGeneration,4,1.6318,71.4435,56.2701,0.9847,13.0738,13.2768,662,12,22,10
cuda,PegasusForCausalLM,32,1.1796,58.5468,45.5025,0.9252,7.6748,8.2957,482,18,20,11
cuda,PegasusForConditionalGeneration,32,1.2674,109.2781,65.4449,1.0074,14.4376,14.3314,1248,9,17,7
cuda,RobertaForCausalLM,16,1.6536,69.6024,33.2261,1.0519,11.6424,11.0683,383,1,11,6
cuda,RobertaForQuestionAnswering,16,1.7461,54.7948,33.0071,1.1724,8.8418,7.5418,386,1,11,6
cuda,Speech2Text2ForCausalLM,256,1.5464,34.6683,29.8514,0.8080,6.8198,8.4399,265,12,20,11
cuda,T5ForConditionalGeneration,4,1.7300,60.4108,46.5691,1.1813,8.5207,7.2128,812,1,11,6
cuda,T5Small,4,1.7181,60.6114,46.6555,1.1813,8.5207,7.2128,812,1,11,6
cuda,TrOCRForCausalLM,32,1.2863,107.1280,44.6699,0.9075,14.0976,15.5343,485,16,19,11
cuda,XGLMForCausalLM,8,1.2551,96.1817,64.0148,0.9287,10.4421,11.2433,1002,30,20,11
cuda,XLNetLMHeadModel,8,1.8247,150.5868,83.4038,1.1342,16.4369,14.4920,768,3,14,8
cuda,YituTechConvBert,16,1.4814,84.4799,70.9185,0.9905,10.6702,10.7727,638,6,15,8
