dev,name,batch_size,speedup,abs_latency,compilation_latency,compression_ratio,eager_peak_mem,dynamo_peak_mem,calls_captured,unique_graphs,graph_breaks,unique_graph_breaks
cuda,AlbertForMaskedLM,4,1.2489,309.5986,30.6539,1.2096,17.1890,14.2102,439,1,4,3
cuda,AlbertForQuestionAnswering,4,1.2527,306.8598,27.0639,1.2465,16.7994,13.4778,439,1,4,3
cuda,AllenaiLongformerBase,4,1.9063,130.4915,104.2922,0.8567,11.2370,13.1173,1713,159,130,9
cuda,BartForCausalLM,4,1.1726,105.9630,33.5190,0.9141,11.9283,13.0499,482,14,11,8
cuda,BartForConditionalGeneration,2,1.1079,134.1002,52.1293,0.9794,13.7366,14.0263,1258,1,4,3
cuda,BertForMaskedLM,16,1.1799,114.0742,29.8576,0.9848,15.4503,15.6886,370,1,4,3
cuda,BertForQuestionAnswering,16,1.2480,89.0667,29.1497,1.0711,11.5224,10.7571,377,1,4,3
cuda,BlenderbotForCausalLM,4,1.0161,94.1009,51.8111,0.9928,31.3480,31.5751,934,26,11,8
cuda,BlenderbotSmallForCausalLM,64,1.0589,61.7954,28.5314,0.8426,9.8731,11.7168,327,10,11,8
cuda,BlenderbotSmallForConditionalGeneration,64,1.0870,109.7272,40.0520,0.9055,14.2441,15.7305,840,1,4,3
cuda,CamemBert,16,1.1822,115.1117,27.0694,0.9820,15.6524,15.9390,377,1,4,3
cuda,DebertaForMaskedLM,4,0.9144,65.6302,45.1911,1.0107,5.9448,5.8816,720,92,154,12
cuda,DebertaForQuestionAnswering,8,1.1192,73.3432,44.7304,1.1413,7.5693,6.6322,727,92,154,12
cuda,DebertaV2ForMaskedLM,1,0.6908,127.3606,50.6521,0.9879,12.4135,12.5657,925,176,277,12
cuda,DebertaV2ForQuestionAnswering,2,0.8062,131.0544,47.6450,0.9759,12.3927,12.6982,932,176,277,12
cuda,DistilBertForMaskedLM,128,1.0558,116.0460,27.8931,0.8955,15.0926,16.8537,206,1,4,3
cuda,DistilBertForQuestionAnswering,256,1.1383,127.2636,29.4337,1.0349,13.8149,13.3492,214,1,4,3
cuda,DistillGPT2,16,1.4162,85.0905,24.4822,0.9667,14.7986,15.3090,330,1,4,3
cuda,ElectraForCausalLM,32,1.4211,74.4605,48.2008,0.9090,15.1264,16.6411,375,4,7,5
cuda,ElectraForQuestionAnswering,64,1.4079,88.8480,32.9773,1.0758,14.2891,13.2822,378,1,4,3
cuda,GPT2ForSequenceClassification,4,1.6434,62.3197,27.8406,1.1459,11.3622,9.9153,644,1,4,3
cuda,GoogleFnet,16,1.5465,65.9074,33.2181,1.1410,12.1376,10.6374,209,28,45,7
cuda,LayoutLMForMaskedLM,16,1.1937,114.9506,31.2116,0.9848,15.4801,15.7189,396,1,4,3
cuda,LayoutLMForSequenceClassification,16,1.2704,89.5398,36.5389,1.0557,11.5557,10.9456,394,1,4,3
cuda,M2M100ForConditionalGeneration,16,1.1208,104.6861,83.9672,0.8909,12.6466,14.1959,1270,20,26,7
cuda,MBartForCausalLM,4,1.1656,106.2554,34.3660,0.9142,11.9452,13.0670,481,14,11,8
cuda,MBartForConditionalGeneration,2,1.1077,134.3129,54.4113,0.9794,13.7535,14.0431,1263,1,4,3
cuda,MT5ForConditionalGeneration,16,1.4631,60.0345,116.2049,0.9119,13.0997,14.3646,1173,1,4,3
cuda,MegatronBertForCausalLM,4,1.1461,88.7354,49.1808,1.0256,10.6300,10.3648,721,1,4,3
cuda,MegatronBertForQuestionAnswering,8,1.1992,143.8721,47.2085,1.0630,16.7231,15.7324,724,1,4,3
cuda,MobileBertForMaskedLM,64,1.2581,109.4341,102.9484,0.7360,9.4875,12.8914,1447,1,3,2
cuda,MobileBertForQuestionAnswering,128,1.1991,117.6070,99.0757,0.5574,10.5072,18.8502,1451,1,3,2
cuda,OPTForCausalLM,2,1.7940,96.6719,30.3919,1.0940,15.8984,14.5330,533,14,11,8
cuda,PLBartForCausalLM,8,1.2578,93.6257,28.0393,0.9244,15.3250,16.5789,254,8,11,8
cuda,PLBartForConditionalGeneration,4,1.2400,97.9913,44.9455,0.9919,15.6113,15.7388,658,10,14,7
cuda,PegasusForCausalLM,32,1.0402,82.9105,33.1328,0.8902,9.1097,10.2336,478,16,12,8
cuda,PegasusForConditionalGeneration,32,1.0405,166.0091,53.4894,0.9645,15.7523,16.3322,1244,7,14,5
cuda,RobertaForCausalLM,16,1.2490,114.3680,28.8760,0.9847,15.4441,15.6845,381,1,4,3
cuda,RobertaForQuestionAnswering,16,1.2507,89.1998,27.8009,1.0711,11.5225,10.7572,384,1,4,3
cuda,Speech2Text2ForCausalLM,256,1.1762,54.9171,27.5595,0.8187,9.1300,11.1522,261,10,12,8
cuda,T5ForConditionalGeneration,4,1.3093,79.6968,42.4305,1.0871,10.9163,10.0418,798,1,4,3
cuda,T5Small,4,1.3085,79.7020,41.8261,1.0871,10.9163,10.0418,798,1,4,3
cuda,TrOCRForCausalLM,32,1.0674,158.1222,33.5310,0.8833,16.9658,19.2077,481,14,11,8
cuda,XGLMForCausalLM,8,1.0154,88.3307,54.5978,0.9132,11.0691,12.1213,998,28,12,8
cuda,XLNetLMHeadModel,8,1.6304,232.7125,74.3934,1.0737,20.6621,19.2436,764,1,6,4
cuda,YituTechConvBert,16,1.1900,130.6268,55.8623,0.9435,14.4224,15.2865,634,4,7,5
