dev,name,batch_size,speedup,abs_latency,compilation_latency,compression_ratio,eager_peak_mem,dynamo_peak_mem,calls_captured,unique_graphs,graph_breaks,unique_graph_breaks
cuda,adv_inception_v3,128,1.4987,106.0439,152.5469,1.0171,7.4412,7.3164,317,1,11,6
cuda,beit_base_patch16_224,64,1.3445,75.1880,32.0521,0.9890,8.0382,8.1275,472,1,11,6
cuda,botnet26t_256,128,1.3907,71.3831,82.1023,0.9779,6.5538,6.7019,340,1,13,6
cuda,cait_m36_384,4,1.3258,128.7564,103.7159,0.9890,13.2405,13.3873,1345,1,11,6
cuda,coat_lite_mini,128,1.9080,59.2058,85.7313,1.0202,7.4215,7.2749,463,1,11,6
cuda,convit_base,64,1.5274,106.6715,46.1590,1.1570,11.7728,10.1752,501,1,11,6
cuda,convmixer_768_32,32,0.9921,303.2124,32.9733,0.9854,6.9724,7.0759,234,1,5,4
cuda,convnext_base,64,1.4696,83.3171,53.2868,1.0379,9.3938,9.0509,498,1,11,6
cuda,crossvit_9_240,128,1.5931,51.6056,83.5026,1.0033,6.2898,6.2690,603,1,11,6
cuda,cspdarknet53,64,1.1743,75.7094,97.2411,1.0328,5.7233,5.5413,442,1,13,6
cuda,deit_base_distilled_patch16_224,64,1.2493,67.8054,42.8387,0.9528,7.6517,8.0309,380,1,11,6
cuda,dla102,128,1.4649,117.3651,90.3666,1.0326,9.7714,9.4632,419,1,11,6
cuda,dm_nfnet_f0,128,1.3637,92.8182,68.8975,1.0933,7.5870,6.9394,619,1,11,6
cuda,dpn107,32,1.1189,94.8637,89.6266,0.9642,6.1719,6.4009,746,1,13,6
cuda,eca_botnext26ts_256,128,1.3795,76.8536,93.1758,1.0072,8.7111,8.6487,370,1,13,6
cuda,ese_vovnet19b_dw,128,1.2528,49.6006,74.2320,1.0042,5.5337,5.5106,160,1,13,6
cuda,fbnetc_100,128,1.3701,57.6047,130.9186,0.9535,3.7569,3.9400,383,1,13,6
cuda,fbnetv3_b,128,1.2403,88.5648,163.9207,0.9793,5.8569,5.9806,610,1,13,6
cuda,gernet_l,128,1.0486,69.4398,78.9515,0.9706,4.6338,4.7741,409,1,13,6
cuda,ghostnet_100,128,1.4860,60.7305,236.3668,0.9770,2.9281,2.9971,328,1,13,6
cuda,gluon_inception_v3,128,1.5056,106.2499,149.0748,1.0171,7.4412,7.3164,317,1,11,6
cuda,gluon_xception65,32,1.0672,92.8819,86.8114,0.9705,7.2849,7.5063,356,1,11,6
cuda,gmixer_24_224,128,1.7260,68.1419,47.5941,1.1596,9.0260,7.7838,635,1,11,6
cuda,gmlp_s16_224,128,1.6718,82.0283,54.6962,1.2049,12.2402,10.1587,491,1,11,6
cuda,hrnet_w18,128,1.3113,213.6006,225.4038,0.9900,8.6762,8.7638,1373,1,5,4
cuda,inception_v3,128,1.4949,106.1137,151.6832,1.0171,7.4412,7.3164,317,1,11,6
cuda,jx_nest_base,32,1.3522,74.2642,80.9473,0.9604,8.8309,9.1949,862,1,11,6
cuda,lcnet_050,128,1.3684,21.8592,97.2191,0.8840,1.3628,1.5416,168,1,13,6
cuda,mixer_b16_224,128,1.3198,88.0873,31.9571,0.9948,9.5366,9.5865,227,1,11,6
cuda,mixnet_l,128,1.1598,156.2721,153.0282,0.9902,7.8238,7.9010,677,1,13,6
cuda,mnasnet_100,128,1.4296,42.6871,122.0474,0.9403,3.1775,3.3792,304,1,13,6
cuda,mobilenetv2_100,128,1.3998,44.5088,130.1808,1.1179,5.3429,4.7796,304,1,13,6
cuda,mobilenetv3_large_100,128,1.3723,42.5318,149.4555,0.9361,3.1753,3.3919,315,1,13,6
cuda,mobilevit_s,64,1.4164,57.4826,154.9285,1.0057,7.1866,7.1461,519,1,13,6
cuda,nfnet_l0,128,1.3924,80.8283,75.4495,1.0044,6.5084,6.4801,550,1,11,6
cuda,pit_b_224,64,1.4224,83.2238,41.8221,1.0242,10.8027,10.5478,426,1,11,6
cuda,pnasnet5large,16,0.9061,218.2106,142.8585,1.2836,10.5997,8.2580,958,1,7,4
cuda,poolformer_m36,64,1.2662,114.5940,89.4155,1.1922,10.7806,9.0427,699,1,11,6
cuda,regnety_002,128,1.1753,31.1683,105.3936,0.8966,1.5587,1.7385,368,1,13,6
cuda,repvgg_a2,128,1.0673,68.3005,57.6250,0.9611,3.1051,3.2307,397,1,13,6
cuda,res2net101_26w_4s,64,1.0324,95.6226,134.4275,0.9483,5.9741,6.3001,807,1,11,6
cuda,res2net50_14w_8s,128,1.3181,106.8535,111.4486,0.9607,8.2633,8.6011,703,1,11,6
cuda,res2next50,128,1.3070,96.3129,82.0384,0.9547,8.4846,8.8872,399,1,11,6
cuda,resmlp_12_224,128,1.2590,42.3094,37.7531,1.0350,4.3940,4.2453,203,1,11,6
cuda,resnest101e,64,1.2962,126.9064,153.5840,1.0876,9.8296,9.0377,1022,1,11,6
cuda,rexnet_100,128,1.2826,59.5160,289.7662,1.0457,6.2473,5.9745,404,1,13,6
cuda,sebotnet33ts_256,64,1.4910,51.7461,99.4535,1.1115,7.0407,6.3344,464,1,13,6
cuda,selecsls42b,128,1.3524,44.4471,88.5885,0.9664,3.5485,3.6719,136,1,11,6
cuda,spnasnet_100,128,1.3606,48.8441,126.7571,0.9451,3.4748,3.6768,376,1,13,6
cuda,swin_base_patch4_window7_224,64,1.5933,91.7175,97.9835,0.9045,10.6109,11.7311,1382,1,11,6
cuda,swsl_resnext101_32x16d,32,1.0034,118.4839,55.6003,0.9786,8.6451,8.8342,415,1,11,6
cuda,tf_efficientnet_b0,128,1.3226,61.5225,148.4073,1.0728,6.0664,5.6549,371,1,13,6
cuda,tf_mixnet_l,128,1.1719,162.0454,154.3546,1.0675,8.5537,8.0129,692,1,13,6
cuda,tinynet_a,128,1.1424,61.2315,152.2343,1.0721,4.8898,4.5610,435,1,13,6
cuda,tnt_s_patch16_224,128,2.9626,109.5244,63.2922,1.0506,14.0769,13.3991,826,1,11,6
cuda,twins_pcpvt_base,64,1.6406,77.6711,135.5565,1.0539,7.6505,7.2594,1022,1,11,6
