dev,name,batch_size,speedup,abs_latency,compilation_latency,compression_ratio,eager_peak_mem,dynamo_peak_mem,calls_captured,unique_graphs,graph_breaks,unique_graph_breaks
cuda,BERT_pytorch,16,1.8906,24.6321,55.0830,1.1114,2.9107,2.6191,538,1,5,4
cuda,Background_Matting,4,1.0526,173.8819,58.2435,1.0422,11.5193,11.0525,183,1,5,4
cuda,LearningToPaint,96,1.0309,13.2845,41.9271,0.8274,0.9495,1.1477,71,1,5,4
cuda,Super_SloMo,6,1.1363,104.5945,35.4026,1.3192,6.3301,4.7985,374,1,5,4
cuda,alexnet,128,1.1085,11.0678,15.1134,1.0004,1.6088,1.6081,22,1,5,4
cuda,attention_is_all_you_need_pytorch,256,1.0405,69.3309,63.8155,0.9451,4.7293,5.0039,548,1,5,4
cuda,dcgan,32,0.8475,2.1104,7.1226,0.9999,0.0788,0.0788,13,1,5,4
cuda,demucs,4,1.0297,72.8540,26.6162,0.9975,5.1786,5.1914,83,4,7,5
cuda,densenet121,4,1.0101,47.2177,119.3743,0.7296,0.6314,0.8654,431,1,5,4
cuda,dlrm,1024,1.1573,3.0687,6.1636,1.0010,4.3721,4.3678,36,1,4,3
cuda,doctr_det_predictor,0,0.0000
cuda,doctr_reco_predictor,0,0.0000
cuda,drq,1,0.9316,3.4950,8.1100,0.9801,0.0588,0.0600,30,2,4,3
cuda,fastNLP_Bert,6,1.3711,43.2575,38.9952,1.2176,5.3672,4.4079,445,6,9,6
cuda,functorch_dp_cifar10,64,1.1990,6.8486,51.2289,0.4230,0.1866,0.4411,69,1,5,4
cuda,hf_Albert,8,1.6376,46.4142,34.0997,1.1702,6.5757,5.6192,436,1,4,3
cuda,hf_Bart,4,1.1898,50.9539,43.7000,1.0393,5.7607,5.5429,642,9,15,7
cuda,hf_Bert,4,1.2118,34.7842,31.4186,0.9889,4.1537,4.2005,367,1,4,3
cuda,hf_Bert_large,4,1.1339,81.1124,47.7260,1.0278,9.5187,9.2615,715,1,4,3
cuda,hf_BigBird,2,1.6045,113.5733,101.4190,1.0398,6.1191,5.8848,2905,64,60,8
cuda,hf_DistilBert,8,1.1636,34.1030,25.5027,0.9835,4.3259,4.3983,203,1,4,3
cuda,hf_GPT2,4,1.3639,36.5575,32.8111,1.1042,5.7904,5.2440,635,1,4,3
cuda,hf_GPT2_large,4,1.3573,176.7847,78.1932,1.1178,26.2394,23.4744,1883,1,4,3
cuda,hf_Longformer,2,1.6700,82.8682,106.3975,0.8798,5.5763,6.3382,1710,159,130,9
cuda,hf_Reformer,4,1.1321,72.2466,37.4562,0.7865,1.5087,1.9181,490,45,98,10
cuda,hf_T5,8,1.3904,131.6932,38.7201,1.1253,19.2917,17.1442,795,1,4,3
cuda,hf_T5_large,2,1.4514,131.4813,135.0896,1.1197,17.3599,15.5041,2883,1,4,3
cuda,lennard_jones,1000,0.8805,1.3832,5.6478,1.0000,0.0184,0.0184,9,1,5,4
cuda,mnasnet1_0,32,1.0305,25.2741,99.3138,0.8711,1.5412,1.7692,152,1,5,4
cuda,mobilenet_v2,96,1.3462,51.5947,121.2694,1.2545,7.7621,6.1875,153,1,5,4
cuda,mobilenet_v2_quantized_qat,0,0.0000
cuda,mobilenet_v3_large,32,1.1010,24.6538,124.5968,0.9269,1.6508,1.7810,187,1,5,4
cuda,moco,0,0.0000
cuda,nvidia_deeprecommender,256,0.9659,8.8543,9.1241,0.9844,3.2850,3.3370,13,1,5,4
cuda,phlippe_densenet,128,1.0393,24.2257,160.3544,0.9199,1.3470,1.4644,186,1,5,4
cuda,phlippe_resnet,128,1.0217,8.0199,28.8924,0.4791,0.2265,0.4728,71,1,5,4
cuda,pytorch_CycleGAN_and_pix2pix,1,1.3018,9.5007,29.7158,0.7115,0.5091,0.7155,91,1,5,4
cuda,pytorch_stargan,16,1.1917,19.7487,44.4296,1.0715,1.1983,1.1183,56,1,5,4
cuda,pytorch_struct,200,1.0333,3.6985,23.5247,0.7351,0.7118,0.9684,41,1,5,4
cuda,pytorch_unet,1,1.1410,51.1700,50.0415,0.9923,3.5526,3.5800,71,1,5,4
cuda,resnet152,32,1.0053,82.5937,82.9082,0.9668,6.2626,6.4774,515,1,5,4
cuda,resnet18,16,0.9747,10.1405,41.7080,0.6971,0.5305,0.7609,69,1,5,4
cuda,resnet50,32,1.0840,35.2780,55.5218,0.9347,3.0601,3.2738,175,1,5,4
cuda,resnet50_quantized_qat,0,0.0000
cuda,resnext50_32x4d,8,0.9428,22.5370,44.1654,0.9203,1.2829,1.3941,175,1,5,4
cuda,shufflenet_v2_x1_0,128,1.1493,29.3560,71.8249,1.0656,2.8606,2.6845,271,1,5,4
cuda,soft_actor_critic,256,0.9186,2.3545,6.8359,0.9997,0.0329,0.0329,17,2,4,3
cuda,speech_transformer,32,1.4584,35.9185,65.3991,0.8435,1.1026,1.3072,767,9,14,6
cuda,squeezenet1_1,32,1.1999,7.8734,22.3304,0.9907,0.7712,0.7785,66,1,5,4
cuda,tacotron2,0,0.0000
cuda,timm_efficientnet,32,1.0603,34.8234,133.9257,1.0585,3.0662,2.8968,362,1,5,4
cuda,timm_nfnet,128,1.3782,140.2415,63.8070,1.1331,13.2213,11.6684,615,1,5,4
cuda,timm_regnet,32,1.0247,89.8119,61.9235,0.9820,6.6276,6.7492,520,1,5,4
cuda,timm_resnest,32,1.2906,24.0796,92.9288,1.0041,2.3731,2.3635,148,1,5,4
cuda,timm_vision_transformer,32,1.1027,26.7802,40.0096,0.9267,2.5476,2.7491,373,1,5,4
