dev,name,batch_size,speedup,abs_latency,compilation_latency,compression_ratio,eager_peak_mem,dynamo_peak_mem,calls_captured,unique_graphs,graph_breaks,unique_graph_breaks
cuda,adv_inception_v3,128,0.8952,248.8622,9.8209,0.8727,13.3513,15.2986,315,2,4,3
cuda,beit_base_patch16_224,64,0.9782,131.1597,6.4487,0.9562,10.9279,11.4285,470,2,4,3
cuda,botnet26t_256,128,0.8937,164.3123,4.9612,0.8666,11.6626,13.4572,338,2,4,3
cuda,cait_m36_384,4,0.9958,216.7563,21.3621,0.9350,19.3864,20.7336,1343,2,4,3
cuda,coat_lite_mini,128,0.9986,193.4621,5.9053,0.8823,11.9063,13.4953,461,2,4,3
cuda,convit_base,64,0.9970,196.6710,6.6438,0.8836,15.4685,17.5070,499,2,4,3
cuda,convmixer_768_32,32,0.9893,359.7164,5.9084,0.9865,13.4369,13.6201,232,2,3,2
cuda,convnext_base,64,0.9907,273.7404,8.4814,0.9148,15.7574,17.2257,496,2,4,3
cuda,crossvit_9_240,128,0.8049,117.0081,9.5962,0.8744,7.4529,8.5238,601,2,4,3
cuda,cspdarknet53,64,0.8278,148.4641,8.6471,0.8713,10.7665,12.3566,440,2,4,3
cuda,deit_base_distilled_patch16_224,64,0.9961,120.3594,5.0032,0.9469,10.0788,10.6442,378,2,4,3
cuda,dla102,128,0.8730,286.1195,10.9346,0.9212,18.3716,19.9432,417,2,4,3
cuda,dm_nfnet_f0,128,0.9902,196.9979,9.0077,0.8857,13.2235,14.9301,617,2,4,3
cuda,dpn107,32,0.9102,202.9559,15.8356,0.9526,11.4042,11.9723,744,2,4,3
cuda,eca_botnext26ts_256,128,0.7513,257.3137,6.0298,0.7715,16.0020,20.7414,368,2,4,3
cuda,ese_vovnet19b_dw,128,0.8885,108.4278,3.6601,0.8975,9.8990,11.0291,158,2,4,3
cuda,fbnetc_100,128,0.8198,142.0102,7.5774,0.8607,7.0842,8.2308,381,2,4,3
cuda,fbnetv3_b,128,0.8265,186.7877,12.9981,0.8078,12.4385,15.3973,608,2,4,3
cuda,gernet_l,128,0.8895,153.4937,7.2269,0.8663,8.4638,9.7698,407,2,4,3
cuda,ghostnet_100,128,0.7728,141.6240,11.8751,0.9033,5.5373,6.1299,326,2,4,3
cuda,gluon_inception_v3,128,0.8915,250.2852,9.9253,0.8727,13.3513,15.2986,315,2,4,3
cuda,gluon_xception65,32,0.9043,198.7430,12.7548,0.8967,13.9207,15.5249,354,2,4,3
cuda,gmixer_24_224,128,0.8274,174.8414,8.8741,0.9767,15.4324,15.8008,633,2,4,3
cuda,gmlp_s16_224,128,1.0704,151.4232,8.0629,0.9822,18.4390,18.7728,489,2,4,3
cuda,hrnet_w18,128,0.6936,539.0831,30.8830,0.9301,16.7721,18.0330,1371,2,3,2
cuda,inception_v3,128,0.8953,248.9372,9.7489,0.8727,13.3513,15.2986,315,2,4,3
cuda,jx_nest_base,32,0.9825,121.9247,11.1255,0.8971,10.3838,11.5751,860,2,4,3
cuda,lcnet_050,128,0.7513,46.8355,3.8921,0.7860,2.3656,3.0098,166,2,4,3
cuda,mixer_b16_224,128,0.9986,159.5383,3.9492,0.9704,15.9932,16.4815,225,2,4,3
cuda,mixnet_l,128,0.8338,293.0832,12.6570,0.8479,15.1814,17.9043,675,2,4,3
cuda,mnasnet_100,128,0.8080,113.9604,6.0158,0.9135,5.9581,6.5223,302,2,4,3
cuda,mobilenetv2_100,128,0.8223,112.3506,6.3643,0.7668,10.3112,13.4464,302,2,4,3
cuda,mobilenetv3_large_100,128,0.8124,98.9095,6.5238,0.8846,6.0360,6.8233,313,2,4,3
cuda,mobilevit_s,64,0.7150,164.1394,8.6074,0.7758,12.3998,15.9843,517,2,4,3
cuda,nfnet_l0,128,0.7785,216.3563,8.5957,0.8322,12.0041,14.4247,548,2,4,3
cuda,pit_b_224,64,0.9942,158.4963,5.8266,0.7934,12.0651,15.2060,424,2,4,3
cuda,pnasnet5large,16,0.9529,303.7804,21.7758,1.0163,18.7672,18.4660,956,2,3,2
cuda,poolformer_m36,64,0.9861,173.6015,10.3015,0.9517,16.2545,17.0798,697,2,4,3
cuda,regnety_002,128,0.7957,57.9939,6.7193,0.8225,2.7264,3.3146,366,2,4,3
cuda,repvgg_a2,128,0.8723,139.0097,7.1874,0.8270,5.5460,6.7058,395,2,4,3
cuda,res2net101_26w_4s,64,0.8939,168.8211,18.8623,0.9279,11.1593,12.0269,805,2,4,3
cuda,res2net50_14w_8s,128,0.8674,245.2379,17.4856,0.9171,15.6502,17.0641,701,2,4,3
cuda,res2next50,128,0.9117,276.6711,9.4619,0.9196,16.1121,17.5211,397,2,4,3
cuda,resmlp_12_224,128,0.8925,71.5213,3.6586,0.9524,7.1518,7.5091,201,2,4,3
cuda,resnest101e,64,0.9217,271.4972,18.1735,0.9586,17.3046,18.0528,1020,2,4,3
cuda,rexnet_100,128,0.7316,155.0357,8.6502,0.7887,12.0861,15.3249,402,2,4,3
cuda,sebotnet33ts_256,64,0.7630,146.3543,7.3003,0.7135,10.4679,14.6703,462,2,4,3
cuda,selecsls42b,128,0.8631,106.3266,4.2851,0.9762,6.8900,7.0580,134,2,4,3
