dev,name,batch_size,_compile,OutputGraph.call_user_compiler,create_aot_dispatcher_function,compile_fx.<locals>.fw_compiler,GraphLowering.run,GraphLowering.compile_to_module,Scheduler.__init__,Scheduler.codegen,WrapperCodeGen.generate,cudagraphify,CachingAutotuner.benchmark_all_configs,compile_fx.<locals>.bw_compiler
cuda,BERT_pytorch,16,24.214019,21.076194,17.598496,10.266808,2.352096,15.722776,4.128821,1.844207,0.255769,10.036409,23.564102,18.022050
cuda,Background_Matting,4,20.790060,18.751473,14.818688,8.765819,2.303095,15.634895,5.033327,2.736633,0.208574,11.848824,27.278522,21.193048
cuda,LearningToPaint,96,13.738117,12.837809,8.294075,5.807204,0.907026,9.717125,1.097405,0.677380,0.068419,12.112902,23.466573,17.000712
cuda,Super_SloMo,6,20.642287,18.535096,15.334151,9.443897,2.634360,14.167775,5.062316,2.456263,0.124817,7.492477,8.359015
cuda,alexnet,128,6.939002,6.631117,2.630408,2.316019,0.169519,6.108031,0.719717,0.417941,0.012548,4.873026,8.843483,4.718313
cuda,attention_is_all_you_need_pytorch,256,24.162314,21.324817,17.705932,10.323930,2.127905,16.814137,4.372586,1.987042,0.348587,14.698554,31.342530,23.726816
cuda,dcgan,32,5.758594,5.469402,2.290570,1.855398,0.177630,3.102833,0.298969,0.100702,0.010801,0.117377,1.555784
cuda,demucs,4,13.387582,12.562029,8.839267,8.107397,0.412318,12.886935,0.906322,0.535063,0.033111,5.844149,8.987864,11.061948
cuda,densenet121,4,47.418761,42.694154,38.487275,22.359179,6.515207,33.118737,12.606681,5.304341,0.665903,27.469681,55.058326,45.224664
cuda,dlrm,1024,5.146476,4.839242,1.990372,1.557765,0.162101,3.095440,0.473696,0.133354,0.014645,0.124235,1.836218
cuda,drq,1,7.523406,7.049855,3.129301,2.761811,0.114124,4.569503,0.117975,0.073470,0.013162,0.396540,2.331278
cuda,fastNLP_Bert,6,25.121753,21.894293,18.356353,12.203338,1.793883,17.550131,3.514488,1.736271,0.273537,0.349538,6.648412,7.659401
cuda,functorch_dp_cifar10,64,11.688621,10.961138,7.849468,5.319739,1.171600,11.024409,1.950705,0.845571,0.055220,25.712682,34.678124,32.657565
cuda,hf_Albert,8,16.741846,14.824175,11.873522,6.472464,1.612828,11.432964,2.965953,1.417367,0.150312,0.002465,8.751882,6.715437
cuda,hf_Bart,4,30.222989,24.185187,20.911032,13.176851,2.287427,20.661058,3.503354,2.173961,0.274421,4.392779,3.638319,14.385695
cuda,hf_Bert,4,19.982189,16.690684,13.714173,7.650379,1.751613,12.847882,3.070557,1.815827,0.272938,0.002535,3.240447,7.113203
cuda,hf_Bert_large,4,32.989657,26.365406,23.350780,11.607216,3.320962,18.806029,6.258180,3.009644,0.742673,0.002614,3.079123,11.120012
cuda,hf_BigBird,2,65.940738,55.951120,52.380098,28.107470,8.274663,47.719113,19.295304,9.421630,0.560650,14.639743,7.822124,43.184347
cuda,hf_DistilBert,8,14.052750,12.535894,9.602654,6.461776,0.921022,10.320931,1.545531,0.865491,0.112385,2.105489,5.476301,6.967771
cuda,hf_GPT2,4,21.228646,18.090786,14.522246,8.870826,1.826010,12.153903,3.231487,1.592877,0.232027,0.309538,7.487686,5.571197
cuda,hf_Longformer,2,72.769879,64.212774,61.040559,40.699112,8.116966,55.219971,20.614988,7.313198,0.434370,16.816640,6.366508,40.168110
cuda,hf_Reformer,4,25.814617,22.462398,19.555930,17.662634,0.714484,21.677549,1.232710,0.709228,0.065323,0.465888,5.163756,5.302869
cuda,hf_T5,8,25.878652,21.599278,17.729308,9.582082,2.147603,15.782153,3.679295,2.092672,0.286704,2.268917,6.753190,10.847867
cuda,hf_T5_large,2,85.405841,65.237029,61.730202,30.515738,7.903922,46.340070,19.092995,6.114699,2.457315,3.927019,26.204920,28.521251
cuda,lennard_jones,1000,4.315262,4.061140,1.370880,1.166391,0.027713,2.012504,0.067689,0.037614,0.005815,0.102440,0.981596
cuda,mnasnet1_0,32,20.276443,18.393984,15.304618,9.520226,2.187742,14.563052,3.315870,1.769890,0.193456,35.193140,68.434067,42.774094
cuda,mobilenet_v2,96,21.867389,19.986056,16.822894,10.690248,2.293045,15.720517,3.697038,1.892809,0.217319,38.054716,88.961394,45.741886
cuda,mobilenet_v3_large,32,22.120706,19.994773,16.720127,10.179765,2.445367,16.577790,3.695513,2.174419,0.224078,64.892528,100.360769,74.107929
cuda,nvidia_deeprecommender,256,4.909814,4.596764,1.771503,1.432081,0.105512,4.320117,0.081280,0.058131,0.008736,0.623503,3.626223,0.494640
