dev,name,batch_size,_compile,OutputGraph.call_user_compiler,create_aot_dispatcher_function,compile_fx.<locals>.fw_compiler,GraphLowering.run,GraphLowering.compile_to_module,Scheduler.__init__,Scheduler.codegen,WrapperCodeGen.generate,CachingAutotuner.benchmark_all_configs,compile_fx.<locals>.bw_compiler
cuda,AlbertForMaskedLM,4,17.515429,15.501432,12.435936,6.865775,1.677139,12.908620,3.205845,1.442771,0.152186,6.752899,7.860670
cuda,AlbertForQuestionAnswering,4,17.367854,15.400575,12.346291,6.924672,1.664423,13.411940,3.202179,1.450984,0.147584,3.218827,8.292092
cuda,AllenaiLongformerBase,4,76.892622,67.474059,64.154608,42.777899,8.789153,57.339756,22.189196,7.477319,0.439799,4.046237,24.054305
cuda,BartForCausalLM,4,26.844210,23.381123,19.952150,13.880519,1.675277,20.841533,2.655087,1.955748,0.198874,1.812163,8.806548
cuda,BartForConditionalGeneration,2,41.429246,33.537498,30.007153,14.884811,4.348207,22.425028,7.795708,3.869285,1.038890,0.412208,12.295386
cuda,BertForMaskedLM,16,19.853703,16.422466,13.514395,7.274974,1.787793,12.992298,2.937842,1.616353,0.270503,2.878080,7.918838
cuda,BertForQuestionAnswering,16,20.147142,16.716149,13.773204,7.530828,1.786090,13.161228,3.439679,1.610476,0.268991,2.285628,7.583375
cuda,BlenderbotForCausalLM,4,32.275415,25.695328,22.518983,11.051655,3.268926,20.121925,5.657878,3.479435,0.386536,9.318721,12.859914
cuda,BlenderbotSmallForCausalLM,64,18.333891,15.346019,11.992558,8.212821,1.152042,15.763536,2.104992,1.207211,0.137432,2.414398,8.820473
cuda,BlenderbotSmallForConditionalGeneration,64,29.572381,24.259397,20.341718,10.333691,2.972622,16.941404,4.887519,2.610512,0.561890,2.288095,9.849313
cuda,CamemBert,16,20.380093,16.902814,13.951592,7.735078,1.804082,12.535730,3.434774,1.624579,0.276182,1.257505,6.770260
cuda,DebertaForMaskedLM,4,29.793784,23.639834,19.992318,14.218882,1.665498,22.972823,3.307750,1.782003,0.266004,3.246952,10.671935
cuda,DebertaForQuestionAnswering,8,28.307943,22.511765,19.541747,13.571261,1.672693,22.757269,3.565506,1.815657,0.265416,2.999873,11.110719
cuda,DebertaV2ForMaskedLM,1,40.186897,28.837515,25.572412,15.186072,2.147882,23.375030,3.740288,2.568364,0.509196,1.298572,10.789420
cuda,DebertaV2ForQuestionAnswering,2,36.971971,25.870749,22.728357,12.419403,2.782413,20.900970,4.650744,2.930309,0.525616,11.717616
cuda,DistilBertForMaskedLM,128,14.819659,13.261871,10.284799,7.175749,0.962555,11.462188,1.783155,0.897118,0.117118,7.995869,5.334243
cuda,DistilBertForQuestionAnswering,256,14.996225,13.198121,10.193892,7.056195,0.944781,11.936074,1.807122,0.888291,0.111449,10.137181,5.911166
cuda,DistillGPT2,16,15.802180,13.866946,9.956727,7.038863,1.027442,11.807703,1.925770,0.893405,0.103698,4.015574,5.875537
cuda,ElectraForCausalLM,32,26.069976,22.604986,19.677224,13.373587,1.802753,26.631427,3.671356,1.712635,0.275140,8.387895,15.226142
cuda,ElectraForQuestionAnswering,64,20.133287,16.699769,13.780216,7.561869,1.793242,16.604036,3.470115,1.609848,0.271634,2.916011,11.003512
cuda,GPT2ForSequenceClassification,4,21.944341,18.326531,14.316158,8.794268,1.890114,12.040015,3.104440,1.621216,0.235684,1.530133,5.738477
cuda,GoogleFnet,16,17.653048,15.578467,12.621883,9.338526,1.079237,17.107198,1.678970,1.125425,0.116794,2.037675,8.957989
cuda,LayoutLMForMaskedLM,16,21.163839,17.400110,14.458465,8.034253,1.823256,13.656323,3.523486,1.638768,0.275706,2.619575,7.613289
cuda,LayoutLMForSequenceClassification,16,20.740066,17.009698,14.050338,7.702654,1.793985,15.124179,4.229807,1.863860,0.271858,6.455375,9.381474
cuda,M2M100ForConditionalGeneration,16,46.838511,37.540819,34.343010,19.825988,4.091133,32.682310,8.363092,4.902625,0.580088,21.568835,17.366753
cuda,MBartForCausalLM,4,25.677521,22.276193,18.997666,13.215424,1.711189,20.435998,3.160552,1.777880,0.199293,1.812719,9.103210
cuda,MBartForConditionalGeneration,2,42.709349,35.451169,31.981251,16.749742,4.524760,24.661367,8.226426,3.962222,1.023483,0.383585,12.840427
cuda,MT5ForConditionalGeneration,16,32.560683,26.509319,23.487681,12.281955,3.291269,20.123147,5.662510,2.261654,0.452458,73.107224,11.734437
cuda,MegatronBertForCausalLM,4,33.600445,26.860479,23.791973,11.802907,3.567806,18.954890,6.793114,3.216825,0.711947,3.045766,11.426918
cuda,MegatronBertForQuestionAnswering,8,34.179270,27.522558,24.387715,12.387514,3.528333,20.399610,6.656414,3.182563,0.706173,2.099743,12.227989
cuda,MobileBertForMaskedLM,64,48.213335,34.832366,31.738270,11.698390,5.637554,26.594963,9.187001,5.711256,2.347007,34.974373,21.085167
cuda,MobileBertForQuestionAnswering,128,48.576576,34.709580,31.601084,11.495275,5.622813,26.743341,9.022617,5.661339,2.388308,29.014251,21.431070
cuda,OPTForCausalLM,2,21.233660,18.032510,14.792853,9.284006,1.930208,16.176510,3.410388,1.889424,0.200765,1.603606,8.990206
cuda,PLBartForCausalLM,8,18.846460,16.795857,13.683594,10.505126,1.125673,16.191361,1.736873,0.942728,0.105404,1.537234,6.905145
cuda,PLBartForConditionalGeneration,4,32.819274,27.580956,23.856786,15.702683,2.280270,24.714460,3.947459,2.466854,0.278086,2.107939,11.517194
cuda,PegasusForCausalLM,32,22.082821,18.809310,15.844094,10.097738,1.712986,17.784155,3.315946,1.771885,0.200434,2.294533,9.572994
cuda,PegasusForConditionalGeneration,32,39.756836,35.561315,32.215782,17.445852,3.942453,26.882355,7.917250,3.953613,0.706723,1.859192,13.767403
cuda,RobertaForCausalLM,16,20.626594,17.135380,14.233690,7.951394,1.816906,12.486388,3.561813,1.674894,0.274740,1.645369,6.520896
cuda,RobertaForQuestionAnswering,16,20.815914,17.396879,14.494043,8.266461,1.786338,12.327075,3.454388,1.609711,0.269992,0.927233,6.012913
cuda,Speech2Text2ForCausalLM,256,20.182643,18.130241,13.856146,11.080736,0.823294,17.851454,1.686050,0.924683,0.107760,3.378730,7.684958
cuda,T5ForConditionalGeneration,4,24.910609,20.707684,17.685900,9.709068,2.791588,14.808332,3.545794,1.656759,0.292614,9.246610,8.110888
cuda,T5Small,4,24.797769,20.659075,17.676338,9.811547,2.206913,15.018919,3.514233,1.921978,0.303971,9.387178,8.168108
cuda,TrOCRForCausalLM,32,27.192032,23.759979,20.291793,14.433427,1.648066,21.403612,2.898110,1.954979,0.200902,1.547465,8.789783
cuda,XGLMForCausalLM,8,36.057277,29.980592,26.681355,14.548650,4.096267,25.091310,6.600589,3.774443,0.417727,5.283003,14.999219
cuda,XLNetLMHeadModel,8,52.558703,45.439818,42.323742,22.904074,5.728452,30.224575,15.270432,4.048686,0.910999,11.000166,13.582150
cuda,YituTechConvBert,16,29.264103,24.030625,20.956833,11.450963,3.070438,22.859077,5.214957,2.484633,0.457781,12.705162,14.736396
