dev,name,batch_size,_compile,OutputGraph.call_user_compiler,create_aot_dispatcher_function,compile_fx.<locals>.fw_compiler,GraphLowering.run,GraphLowering.compile_to_module,Scheduler.__init__,Scheduler.codegen,WrapperCodeGen.generate,cudagraphify,CachingAutotuner.benchmark_all_configs,compile_fx.<locals>.bw_compiler
cuda,BERT_pytorch,16,27.527044,22.748363,19.522577,10.626430,2.650983,16.779312,4.467429,2.143568,0.329797,11.411131,28.257761,20.424293
cuda,Background_Matting,4,22.576045,19.232760,16.082833,8.941445,2.546799,16.069989,5.726861,2.989764,0.241796,17.787894,32.899305,27.664914
cuda,LearningToPaint,96,13.637825,12.268895,8.677181,5.969444,0.992784,10.126632,1.227941,0.735738,0.075938,12.070671,23.562132,17.298197
cuda,Super_SloMo,6,24.356302,21.176369,18.050297,10.906587,2.709972,16.668017,6.082316,2.711308,0.154073,8.625067,8.047477
cuda,alexnet,128,6.456061,5.966667,2.853392,2.452060,0.181905,6.242536,0.940594,0.328198,0.015500,3.924899,7.908060,3.751514
cuda,attention_is_all_you_need_pytorch,256,27.087939,22.886334,19.971396,11.190441,2.520938,18.569516,4.942855,2.330557,0.384282,14.314529,32.703649,24.450883
cuda,dcgan,32,5.397509,4.957160,2.418580,1.891847,0.341260,2.924844,0.216966,0.119018,0.013344,0.117513,1.507301
cuda,demucs,4,14.478162,12.966559,9.544342,8.534376,0.468478,13.507954,1.190847,0.691601,0.045920,5.668054,8.704463,11.141921
cuda,densenet121,4,53.914474,46.667823,42.375960,24.475668,6.873711,36.593500,14.120416,5.786597,0.719967,28.022591,54.743392,47.818233
cuda,dlrm,1024,5.498089,5.120690,2.368469,1.839324,0.181525,3.390739,0.517401,0.170020,0.016326,0.138047,1.885044
cuda,drq,1,7.133555,6.472940,3.221221,2.743978,0.130613,4.376422,0.188253,0.111832,0.016269,0.281229,2.057929
cuda,fastNLP_Bert,6,28.843049,24.047714,21.209208,13.600363,2.071207,19.312882,4.293983,2.128050,0.322449,0.384191,7.164284,8.358840
cuda,functorch_dp_cifar10,64,11.648599,10.422472,7.914186,5.069716,1.337955,10.323644,2.258075,1.110798,0.069158,25.657121,35.028682,32.326918
cuda,hf_Albert,8,18.569411,16.003565,13.525087,6.603202,1.871400,11.833188,3.436524,1.554710,0.158840,0.004389,9.835429,7.262073
cuda,hf_Bart,4,39.411792,29.111389,25.952314,16.181672,2.715136,24.365590,4.739351,2.763465,0.297729,4.266383,4.302731,15.421293
cuda,hf_Bert,4,24.189889,19.274732,16.367927,8.841410,2.018972,13.982990,3.987360,1.960095,0.298352,0.002484,3.108644,7.546230
cuda,hf_Bert_large,4,41.492111,31.196321,28.278584,13.314850,3.833947,21.574858,8.136964,3.800585,0.850399,0.002618,3.172004,12.472165
cuda,hf_BigBird,2,73.322928,61.034319,57.877899,31.082641,8.828694,50.633651,21.044613,10.213184,0.598839,16.280273,9.580231,45.367355
cuda,hf_DistilBert,8,15.978949,13.551368,10.404748,6.248068,1.083880,10.235223,1.906129,1.081019,0.119871,2.141967,6.721873,7.313352
cuda,hf_GPT2,4,23.063729,18.609563,15.644763,9.096676,2.156019,13.316998,3.690537,1.802164,0.265792,0.373237,8.262203,6.920156
cuda,hf_GPT2_large,4,57.506029,43.378597,40.330084,20.565190,6.530880,35.027078,12.037194,6.054463,1.400519,0.719123,16.200510,22.243810
cuda,hf_Longformer,2,76.137013,65.040349,62.303275,40.146320,8.623005,54.195930,21.425456,7.871115,0.462407,17.804849,6.427253,41.220672
cuda,hf_Reformer,4,26.436594,22.281095,19.758386,17.516370,0.824229,20.937762,1.423028,0.848706,0.075862,0.474293,5.661665,4.837587
cuda,hf_T5,8,28.985608,23.339819,19.510565,10.395474,2.784057,16.924087,4.606399,1.954476,0.307248,3.373978,8.476198,12.931563
cuda,hf_T5_large,2,98.397056,73.097337,69.566257,33.343190,9.410706,52.364238,22.799145,7.523132,2.549581,3.618887,27.281675,32.999092
cuda,lennard_jones,1000,4.295665,3.898609,1.619617,1.323039,0.074880,2.315634,0.085382,0.188743,0.006648,0.106337,1.180758
cuda,mnasnet1_0,32,24.396125,21.388252,17.370729,10.536335,2.453687,16.429364,3.812198,2.261979,0.217621,37.848027,72.395347,46.388085
cuda,mobilenet_v2,96,26.475270,23.411235,19.226541,11.938570,2.647784,17.252251,4.169006,2.097102,0.240230,39.096440,89.283992,47.273130
cuda,mobilenet_v3_large,32,26.820016,23.525651,19.352625,11.886753,2.979379,19.442569,4.593491,2.239546,0.248742,60.019124,94.170598,70.764527
cuda,nvidia_deeprecommender,256,5.231262,4.740977,2.041451,1.567498,0.134713,4.442156,0.282819,0.092905,0.009856,0.696284,3.718154,0.561751
cuda,phlippe_densenet,128,25.078792,21.976883,19.263330,12.487057,2.780715,18.747210,4.613252,2.414792,0.233943,56.627259,126.241278,65.870607
cuda,phlippe_resnet,128,10.676114,9.333031,6.775931,4.148834,0.952478,6.675089,1.068317,0.722905,0.073542,9.129357,16.992877,12.683275
cuda,pytorch_CycleGAN_and_pix2pix,1,11.377045,10.164183,7.552527,4.445994,1.062880,7.991647,2.034501,1.048599,0.073305,9.829015,19.463264,14.512947
cuda,pytorch_stargan,16,13.265986,12.016551,8.191406,5.140089,0.963190,8.500016,1.259595,0.565433,0.062058,13.368884,27.045599,17.775567
cuda,pytorch_struct,200,5.667941,4.925244,2.551869,1.801615,0.152762,5.184393,0.425776,0.175302,0.022001,0.002486,3.557952,8.614401
cuda,pytorch_unet,1,13.409383,11.790773,9.171525,5.916981,1.148791,10.397546,2.377000,1.173399,0.089586,21.684040,38.178750,27.402217
