dev,name,batch_size,_compile,OutputGraph.call_user_compiler,create_aot_dispatcher_function
cuda,BERT_pytorch,16,11.471315,6.553407,6.499941
cuda,Background_Matting,4,7.622192,4.064526,4.049073
cuda,LearningToPaint,96,2.865737,1.464453,1.450121
cuda,Super_SloMo,6,7.926508,4.843496,4.829185
cuda,alexnet,128,0.777171,0.286211,0.272462
cuda,attention_is_all_you_need_pytorch,256,11.058532,6.537914,6.523114
cuda,dcgan,32,0.698075,0.272726,0.258983
cuda,demucs,4,2.218113,0.732081,0.718168
cuda,densenet121,4,17.960551,10.270072,10.251892
cuda,dlrm,1024,0.782824,0.409967,0.395769
cuda,drq,1,1.004090,0.348068,0.333831
cuda,fastNLP_Bert,6,11.058778,6.015637,5.999640
cuda,functorch_dp_cifar10,64,2.386914,1.190853,1.176934
cuda,hf_Albert,8,8.020492,5.484441,5.470380
cuda,hf_Bart,4,18.007293,7.358669,7.341336
cuda,hf_Bert,4,10.494501,5.539063,5.524092
cuda,hf_Bert_large,4,21.251867,10.923187,10.906697
cuda,hf_BigBird,2,36.933993,23.471332,23.443016
cuda,hf_DistilBert,8,5.242916,2.707385,2.693542
cuda,hf_GPT2,4,9.569883,4.893180,4.878390
cuda,hf_GPT2_large,4,30.496779,15.152875,15.133383
cuda,hf_Longformer,2,30.563559,18.909807,18.867343
cuda,hf_Reformer,4,5.965624,1.822706,1.801212
cuda,hf_T5,8,12.453168,6.940594,6.925490
cuda,hf_T5_large,2,55.773000,28.470022,28.449853
cuda,lennard_jones,1000,0.589832,0.202465,0.188668
cuda,mnasnet1_0,32,6.744845,3.595491,3.580402
cuda,mobilenet_v2,96,6.958372,3.771813,3.756473
cuda,mobilenet_v3_large,32,7.635007,4.150710,4.134896
cuda,nvidia_deeprecommender,256,0.760002,0.282857,0.269285
cuda,phlippe_densenet,128,6.893617,3.698687,3.682967
cuda,phlippe_resnet,128,2.777754,1.353858,1.339894
cuda,pytorch_CycleGAN_and_pix2pix,1,2.878428,1.699280,1.684957
cuda,pytorch_stargan,16,3.241060,1.881012,1.866546
cuda,pytorch_struct,200,1.315327,0.588263,0.575269
cuda,pytorch_unet,1,3.642762,1.928367,1.914124
cuda,resnet152,32,19.932602,10.941303,10.922961
cuda,resnet18,16,2.839404,1.400429,1.386535
cuda,resnet50,32,6.943908,3.709293,3.694360
cuda,resnext50_32x4d,8,6.886270,3.682374,3.667835
cuda,shufflenet_v2_x1_0,128,7.638671,4.159687,4.144179
cuda,soft_actor_critic,256,0.592839,0.173855,0.160757
cuda,speech_transformer,32,13.753689,7.733202,7.715361
cuda,squeezenet1_1,32,1.746547,0.706194,0.692680
cuda,timm_efficientnet,32,10.086401,5.111261,5.095855
cuda,timm_nfnet,128,11.313905,5.276989,5.262407
cuda,timm_regnet,32,12.320397,5.504262,5.488117
cuda,timm_resnest,32,3.888734,1.943528,1.929232
cuda,timm_vision_transformer,32,7.240063,3.912767,3.897197
cuda,timm_vovnet,32,6.346200,2.837124,2.823016
cuda,tts_angular,64,0.506125,0.068160,0.054413
cuda,vgg16,64,1.211336,0.491518,0.478170
cuda,yolov3,16,10.625090,5.525926,5.509546
