dev,name,batch_size,_compile,OutputGraph.call_user_compiler,create_aot_dispatcher_function,compile_fx.<locals>.fw_compiler,GraphLowering.run,GraphLowering.compile_to_module,Scheduler.__init__,Scheduler.codegen,WrapperCodeGen.generate,CachingAutotuner.benchmark_all_configs,compile_fx.<locals>.bw_compiler
cuda,adv_inception_v3,128,37.087119,33.078192,28.542114,17.192242,4.357866,26.912205,8.697062,5.024180,0.547342,97.162100,14.405758
cuda,beit_base_patch16_224,64,21.861984,19.256860,14.629252,9.503068,1.476876,15.853136,3.347016,1.734490,0.229786,2.876973,7.975237
cuda,botnet26t_256,128,24.113826,21.834000,18.347406,13.924853,2.221873,21.083447,5.995494,2.345310,0.125488,54.906200,9.516077
cuda,cait_m36_384,4,48.659646,39.447079,35.638919,16.998724,5.444015,33.092498,12.447932,6.407817,1.931083,19.231888,22.463575
cuda,coat_lite_mini,128,24.384267,21.790206,18.113753,12.855037,2.045364,25.573758,6.730133,2.609886,0.207030,39.410592,14.904946
cuda,convit_base,64,21.784273,19.080234,15.679185,9.934450,2.274745,17.572226,4.114203,2.071303,0.262948,8.563474,10.078429
cuda,convmixer_768_32,32,19.523621,18.031244,14.361727,6.503738,2.736197,11.416779,2.571378,1.749058,0.253805,8.138105,2.819039
cuda,convnext_base,64,24.226462,19.747432,16.177754,9.668457,2.874611,19.402896,4.654720,2.358396,0.439685,7.792917,12.812849
cuda,crossvit_9_240,128,28.345614,24.591431,20.696604,11.746572,2.529104,24.116321,6.155282,2.989059,0.374966,33.754750,15.445102
cuda,cspdarknet53,64,28.182826,23.326822,19.681644,11.330759,3.053736,18.422757,4.535409,2.385841,0.313775,53.259127,10.398273
cuda,deit_base_distilled_patch16_224,64,18.300133,16.034034,12.340911,7.996742,1.219702,14.537654,2.725962,1.492937,0.192352,3.709818,8.112679
cuda,dla102,128,34.845974,30.474652,26.914618,14.263451,4.809791,21.762809,6.834452,3.833128,0.523384,40.584198,12.684867
cuda,dm_nfnet_f0,128,24.914177,19.976371,16.442890,8.523769,3.415543,17.000021,4.647719,2.106344,0.252505,27.170407,12.403504
cuda,dpn107,32,43.216466,35.763362,32.131704,16.894261,5.746288,26.444825,7.307685,4.022614,0.522101,29.039181,15.739764
cuda,eca_botnext26ts_256,128,25.976781,23.524823,19.773034,14.702622,2.764778,21.684438,6.215012,2.436568,0.148780,57.861148,9.905417
cuda,ese_vovnet19b_dw,128,17.036107,15.223357,11.574462,8.512181,1.708652,14.320557,2.955998,1.453946,0.104192,48.575189,7.611423
cuda,fbnetc_100,128,26.164283,22.644181,19.256991,11.936758,2.991719,18.145347,4.278420,2.263692,0.269606,92.728898,9.423531
cuda,fbnetv3_b,128,39.862031,33.465818,29.314378,16.203521,5.552223,24.809551,7.090351,3.670830,0.602365,100.318193,14.541060
cuda,gernet_l,128,23.799770,19.992539,15.654236,9.064059,2.290657,14.628718,3.124435,1.703809,0.211947,44.672542,8.054434
cuda,ghostnet_100,128,37.014588,31.273212,28.045336,16.920492,4.002633,28.885626,7.468153,3.794730,0.450849,184.864368,16.601395
cuda,gluon_inception_v3,128,37.707441,33.660313,28.847057,17.465100,4.452269,27.492156,8.902876,5.067879,0.558744,96.312171,14.826476
cuda,gluon_xception65,32,39.463646,33.782999,29.211782,13.841959,4.890683,20.769455,6.655436,3.193355,0.661482,30.030967,12.270254
cuda,gmixer_24_224,128,26.268994,22.242863,17.580400,10.209288,1.995616,19.480967,5.354543,2.554946,0.379272,6.228022,11.476717
cuda,gmlp_s16_224,128,25.980348,22.483385,18.227692,10.823241,2.457336,21.031303,4.899175,2.593733,0.365270,13.106724,12.882581
cuda,hrnet_w18,128,93.140249,84.606068,81.149018,38.654467,16.281305,54.594971,25.296782,10.954946,4.757236,86.382855,33.393114
