dev,name,batch_size,_compile,OutputGraph.call_user_compiler,create_aot_dispatcher_function,compile_fx.<locals>.fw_compiler_base,GraphLowering.run,GraphLowering.compile_to_module,Scheduler.__init__,Scheduler.codegen,WrapperCodeGen.generate,CachingAutotuner.benchmark_all_configs,compile_fx.<locals>.bw_compiler
cuda,adv_inception_v3,128,40.834266,34.304476,30.892611,17.443418,5.675920,26.759902,9.459439,5.051409,0.582795,100.579800,15.372272
cuda,beit_base_patch16_224,64,23.381776,19.192573,14.942908,8.754455,2.188419,14.030987,3.560125,2.094194,0.273558,3.250623,7.633040
cuda,botnet26t_256,128,26.823343,23.747265,19.351353,14.301517,2.875839,21.801634,6.253497,2.775877,0.146360,50.676055,10.537788
cuda,cait_m36_384,4,61.126770,46.948094,43.391557,18.879847,6.302420,36.876483,15.550282,8.485375,2.228317,20.462832,25.509547
cuda,coat_lite_mini,128,28.652045,24.667743,20.343473,14.183964,2.904255,27.234928,8.165706,3.521715,0.240088,43.449055,16.125112
cuda,convit_base,64,25.332193,21.134459,16.986270,9.783890,2.195111,19.052870,5.529636,2.489725,0.288690,8.806492,11.657768
cuda,convmixer_768_32,32,21.545640,19.810558,15.810482,6.751356,2.928049,11.732985,3.695811,2.099861,0.311469,8.414478,2.427054
cuda,convnext_base,64,29.428073,21.998413,18.497505,9.724693,3.508518,19.627858,5.985159,3.338858,0.511999,12.461309,13.659887
cuda,crossvit_9_240,128,33.489497,27.170311,22.893209,12.262099,3.553438,26.366070,7.779827,3.670612,0.461126,32.855508,17.956534
cuda,cspdarknet53,64,31.181613,24.870679,21.353392,11.451992,4.063844,17.420005,4.821519,3.063839,0.329497,54.808762,10.706605
cuda,dla102,128,39.229084,32.685051,29.349092,14.950623,5.331772,22.548635,8.012867,3.921119,0.566673,40.591279,13.340163
cuda,dm_nfnet_f0,128,27.948268,21.490358,18.168643,8.661160,3.928495,16.865716,5.281667,2.345480,0.282391,27.844160,12.395952
cuda,dpn107,32,49.540051,38.716995,35.251828,17.344168,6.420866,26.554521,7.613948,4.412834,0.574234,28.833235,16.119873
cuda,eca_botnext26ts_256,128,27.119511,23.876977,20.429320,14.530734,2.809915,22.011797,6.487600,2.553045,0.158948,57.931926,10.463012
cuda,ese_vovnet19b_dw,128,18.455678,15.903738,12.454339,8.739245,1.955746,14.073419,3.507291,1.630655,0.129255,49.324834,7.397010
cuda,fbnetc_100,128,30.391479,24.994734,21.637779,12.846910,3.704222,18.760736,4.701337,2.532590,0.301661,95.736098,9.865533
cuda,fbnetv3_b,128,46.713030,37.942003,34.547380,17.880423,6.020364,27.279490,9.192045,4.280207,0.641010,104.509207,15.855894
cuda,gernet_l,128,25.091561,20.037448,16.721246,8.860663,3.233711,13.725591,3.069107,1.915997,0.238598,43.581027,8.316594
cuda,ghostnet_100,128,41.977702,33.787930,30.290644,17.037853,5.229117,28.833424,8.190663,5.252884,0.495335,166.046444,17.390912
cuda,gluon_inception_v3,128,39.742541,33.126434,29.621067,16.894684,5.619044,25.914684,9.408310,5.034961,0.584671,94.928221,15.013324
cuda,gluon_xception65,32,43.526466,34.886871,31.576452,14.407951,6.489990,20.675639,7.630161,3.653349,0.739893,30.455863,13.265583
cuda,gmixer_24_224,128,29.450494,23.101934,19.789071,9.789450,2.569445,17.653879,5.933786,3.052604,0.403781,7.067012,10.907490
cuda,gmlp_s16_224,128,30.500940,23.825134,20.225067,10.454073,3.206900,19.934673,6.623794,3.184566,0.434420,12.652688,12.951146
cuda,hrnet_w18,128,103.233228,93.599181,90.137640,42.044370,18.198194,59.929466,29.183128,12.245449,5.085787,86.960419,38.694277
cuda,inception_v3,128,39.383317,33.095940,29.795103,17.146543,5.213085,26.673788,9.304320,5.004627,0.587688,104.237449,15.108208
cuda,jx_nest_base,32,39.294937,31.475725,27.105350,15.623281,4.141683,28.698185,10.799717,4.222093,0.602029,22.908448,18.256367
cuda,lcnet_050,128,19.649626,17.226759,13.755913,8.783979,2.076014,13.690152,3.315332,1.525578,0.130706,71.580958,7.113901
cuda,mixer_b16_224,128,18.591438,15.419226,12.013585,7.299294,1.684525,12.435415,2.281227,1.319942,0.146684,6.065173,6.948323
cuda,mixnet_l,128,40.403371,31.449999,28.093099,16.079591,4.148909,26.193836,7.134923,4.311091,0.525447,100.241408,15.039636
cuda,mnasnet_100,128,25.675142,21.623402,18.186277,11.220649,2.742338,16.686082,3.810926,2.278639,0.218138,84.157441,8.398306
cuda,mobilenetv2_100,128,26.404378,22.392818,18.940376,11.791776,2.876124,17.474125,4.244009,2.314921,0.230328,95.036815,8.767522
cuda,mobilenetv3_large_100,128,27.953334,23.789956,20.332434,12.960823,2.965483,20.790127,5.020795,2.656500,0.251188,118.042796,11.004581
cuda,mobilevit_s,64,37.815644,32.140260,28.818805,19.970051,4.381732,36.430400,14.026025,6.421168,0.388503,95.547213,21.337091
cuda,nfnet_l0,128,26.164884,20.475667,17.026373,8.495191,3.148099,16.532535,5.083768,2.228848,0.271824,37.772564,11.417320
cuda,pit_b_224,64,22.560469,18.965631,15.599691,9.528698,2.077958,15.978779,4.192475,2.092886,0.256301,12.138009,8.686206
cuda,pnasnet5large,16,73.161011,64.730541,61.255056,29.849920,11.602596,45.349122,20.886571,10.037879,1.907614,46.077552,28.486556
cuda,poolformer_m36,64,41.892853,33.750719,30.450172,17.569227,6.663052,31.523245,14.384640,6.973173,0.609915,32.404562,20.998485
cuda,regnety_002,128,25.583543,20.589533,17.268984,10.105860,2.848277,15.983343,3.882410,2.061418,0.243534,71.785034,8.927766
cuda,repvgg_a2,128,24.774597,19.974499,16.618868,8.883956,2.979353,13.531271,3.644763,1.687191,0.213223,26.999776,7.836496
