dev,name,batch_size,speedup,abs_latency,compilation_latency,compression_ratio,eager_peak_mem,dynamo_peak_mem,calls_captured,unique_graphs,graph_breaks,unique_graph_breaks
cuda,BERT_pytorch,16,3.5663,17.7288,65.1148,0.9428,2.5823,2.7390,542,2,15,7
cuda,Background_Matting,4,1.2131,103.7275,64.6118,0.8484,6.0289,7.1065,187,2,13,7
cuda,LearningToPaint,96,1.3867,8.5941,41.7680,0.5925,0.6671,1.1260,75,2,13,7
cuda,Super_SloMo,6,1.2326,64.4106,41.1593,1.2080,3.7536,3.1073,378,2,13,7
cuda,alexnet,128,1.0885,9.0242,14.6183,0.7084,1.3353,1.8851,26,2,13,7
cuda,attention_is_all_you_need_pytorch,256,1.4619,37.1954,70.7649,0.9689,3.5980,3.7135,552,2,13,7
cuda,dcgan,32,1.4416,1.4601,6.8981,0.7821,0.0573,0.0733,17,2,13,7
cuda,demucs,4,1.0376,51.8948,28.4639,0.7733,4.3422,5.6154,89,7,16,8
cuda,densenet121,4,2.8008,18.6424,130.4652,0.7102,0.5031,0.7083,435,2,13,7
cuda,dlrm,1024,1.9358,2.1248,6.7038,0.9520,4.3716,4.5919,40,2,7,5
cuda,drq,1,1.4848,2.4373,10.1983,0.6379,0.0620,0.0972,34,3,12,7
cuda,fastNLP_Bert,6,1.5342,33.8348,46.5124,1.0496,4.1226,3.9280,451,9,18,9
cuda,functorch_dp_cifar10,64,3.5238,2.8526,53.4972,0.3991,0.1920,0.4810,73,2,13,7
cuda,gat,0,0.0000
cuda,gcn,0,0.0000
cuda,hf_Albert,8,2.2890,29.7317,34.8068,1.0863,5.8962,5.4280,440,2,12,7
cuda,hf_Bart,4,1.6757,34.7017,56.2775,0.7535,4.8273,6.4064,648,12,24,11
cuda,hf_Bert,4,1.7898,22.7086,34.1911,0.9425,3.3479,3.5523,371,2,12,7
cuda,hf_Bert_large,4,1.7277,52.1972,58.4833,0.9402,7.9635,8.4704,719,2,12,7
cuda,hf_BigBird,2,2.4875,76.7069,135.9584,0.6971,5.2433,7.5213,2911,67,69,12
cuda,hf_DistilBert,8,1.4293,21.9360,27.0721,0.8476,3.1594,3.7275,207,2,12,7
cuda,hf_GPT2,4,1.8914,27.8648,39.1895,0.9319,4.6124,4.9493,639,2,12,7
cuda,hf_GPT2_large,4,1.6559,126.0237,95.4514,0.8906,22.5399,25.3085,1887,2,12,7
