dev,name,batch_size,speedup,abs_latency,compilation_latency,compression_ratio,eager_peak_mem,dynamo_peak_mem,calls_captured,unique_graphs,graph_breaks,unique_graph_breaks
cuda,BERT_pytorch,16,1.9079,24.6560,55.9365,0.9130,2.9107,3.1879,538,1,5,4
cuda,Background_Matting,4,1.0640,172.4147,59.2650,0.9123,11.5193,12.6270,183,1,5,4
cuda,LearningToPaint,96,1.1241,12.1624,41.8929,0.6387,0.9477,1.4838,71,1,5,4
cuda,Super_SloMo,6,1.1390,104.4881,36.2011,1.3192,6.3301,4.7985,374,1,5,4
cuda,alexnet,128,1.0730,11.4609,14.2789,0.8354,1.6088,1.9257,22,1,5,4
cuda,attention_is_all_you_need_pytorch,256,1.0408,69.6116,64.4112,0.7913,4.7293,5.9764,548,1,5,4
cuda,dcgan,32,1.2127,1.5207,7.3439,0.8287,0.0788,0.0951,13,1,5,4
cuda,demucs,4,1.0280,73.0167,26.8189,0.7554,5.1790,6.8558,83,4,7,5
cuda,densenet121,4,2.4257,19.8750,118.3002,0.6469,0.6314,0.9760,431,1,5,4
cuda,dlrm,1024,1.5538,2.2646,7.1035,0.9522,4.3721,4.5915,36,1,4,3
cuda,drq,1,1.4503,1.4959,8.7262,0.6493,0.0588,0.0906,30,2,4,3
cuda,fastNLP_Bert,6,1.3839,43.4154,37.0442,1.1054,5.3672,4.8553,445,6,9,6
cuda,functorch_dp_cifar10,64,2.4317,3.2852,53.3154,0.3989,0.1866,0.4678,69,1,5,4
cuda,gat,0,0.0000
cuda,gcn,0,0.0000
cuda,hf_Albert,8,1.6324,45.8815,32.5485,0.9347,6.5757,7.0353,436,1,4,3
cuda,hf_Bart,4,1.1806,46.4733,45.7123,0.7998,5.7607,7.2030,642,9,15,7
cuda,hf_Bert,4,1.1296,34.0642,30.6621,0.9344,4.1537,4.4453,367,1,4,3
cuda,hf_Bert_large,4,1.1477,80.4407,47.5019,0.9322,9.5187,10.2108,715,1,4,3
cuda,hf_BigBird,2,2.2026,87.3573,121.3304,0.6821,6.1191,8.9711,2905,64,60,8
cuda,hf_DistilBert,8,1.1375,34.7473,23.9311,0.8317,4.3259,5.2016,203,1,4,3
cuda,hf_GPT2,4,1.3360,37.4478,33.2976,0.9095,5.7904,6.3669,635,1,4,3
cuda,hf_GPT2_large,0,0.0000
cuda,hf_Longformer,2,1.5381,90.3982,136.2082,0.3707,5.5763,15.0434,1710,159,130,9
cuda,hf_Reformer,4,1.1050,74.2542,41.7672,0.3861,1.5087,3.9077,490,45,98,10
cuda,hf_T5,8,1.3666,133.9247,38.9812,0.8700,19.2917,22.1736,795,1,4,3
cuda,hf_T5_large,2,1.4399,134.5762,136.2100,0.8219,17.3599,21.1214,2883,1,4,3
cuda,lennard_jones,1000,1.3023,0.8980,5.5441,0.5322,0.0184,0.0345,9,1,5,4
cuda,mnasnet1_0,32,1.2515,21.3369,98.1634,0.8117,1.5430,1.9008,152,1,5,4
cuda,mobilenet_v2,96,1.3522,51.3813,117.3164,1.1505,7.7696,6.7532,153,1,5,4
cuda,mobilenet_v2_quantized_qat,0,0.0000
cuda,mobilenet_v3_large,32,1.5173,17.6301,126.5110,0.8412,1.6498,1.9612,187,1,5,4
cuda,moco,0,0.0000
cuda,nvidia_deeprecommender,256,0.7990,10.7071,9.2438,0.6651,3.2850,4.9394,13,1,5,4
cuda,phlippe_densenet,128,1.7508,14.0281,162.7487,0.8562,1.3470,1.5734,186,1,5,4
cuda,phlippe_resnet,128,1.5117,5.3318,28.8712,0.4452,0.2265,0.5088,71,1,5,4
cuda,pytorch_CycleGAN_and_pix2pix,1,1.4872,8.1639,31.4477,0.6939,0.5091,0.7336,91,1,5,4
cuda,pytorch_stargan,16,1.2072,19.4895,46.4533,0.8997,1.1983,1.3319,56,1,5,4
cuda,pytorch_struct,200,1.3181,2.8675,23.1642,0.7259,0.7118,0.9806,41,1,5,4
cuda,pytorch_unet,1,1.1812,49.3979,49.4661,0.8501,3.5526,4.1790,71,1,5,4
cuda,resnet152,32,1.0515,78.8255,89.3612,0.8969,6.2626,6.9823,515,1,5,4
