dev,name,batch_size,_compile,OutputGraph.call_user_compiler,create_aot_dispatcher_function
cuda,AlbertForMaskedLM,4,6.057355,4.093992,4.080284
cuda,AlbertForQuestionAnswering,4,6.150086,4.077536,4.064029
cuda,AllenaiLongformerBase,4,26.916394,17.872655,17.829203
cuda,BartForCausalLM,4,7.584224,4.193655,4.176321
cuda,BartForConditionalGeneration,2,18.432561,10.629416,10.608998
cuda,BertForMaskedLM,16,7.636166,4.128834,4.114187
cuda,BertForQuestionAnswering,16,7.595982,4.107916,4.093863
cuda,BlenderbotForCausalLM,4,14.557274,7.794688,7.773568
cuda,BlenderbotSmallForCausalLM,64,5.401877,2.631780,2.615644
cuda,BlenderbotSmallForConditionalGeneration,64,12.072882,7.046535,7.024606
cuda,CamemBert,16,7.655169,4.140006,4.125704
cuda,DebertaForMaskedLM,4,10.935746,4.813511,4.781217
cuda,DebertaForQuestionAnswering,8,10.520303,4.722203,4.693011
cuda,DebertaV2ForMaskedLM,1,19.010954,7.934877,7.887881
cuda,DebertaV2ForQuestionAnswering,2,18.749923,7.892076,7.845939
cuda,DistilBertForMaskedLM,128,3.796820,2.215694,2.200910
cuda,DistilBertForQuestionAnswering,256,3.812104,2.237214,2.223336
cuda,DistillGPT2,16,3.849821,2.137408,2.123328
cuda,ElectraForCausalLM,32,7.745936,4.208191,4.193323
cuda,ElectraForQuestionAnswering,64,7.648561,4.165880,4.151686
cuda,GPT2ForSequenceClassification,4,7.317074,3.939781,3.924964
cuda,GoogleFnet,16,4.136315,1.976797,1.958399
cuda,LayoutLMForMaskedLM,16,7.973285,4.197380,4.183122
cuda,LayoutLMForSequenceClassification,16,8.054086,4.253634,4.238343
cuda,M2M100ForConditionalGeneration,16,17.285523,9.901181,9.879889
cuda,MBartForCausalLM,4,7.713420,4.042353,4.024926
cuda,MBartForConditionalGeneration,2,18.157903,10.480355,10.462512
cuda,MT5ForConditionalGeneration,16,15.080352,8.810919,8.795149
cuda,MegatronBertForCausalLM,4,15.766598,8.230320,8.214012
cuda,MegatronBertForQuestionAnswering,8,15.571334,8.050170,8.033850
cuda,MobileBertForMaskedLM,64,31.839782,16.394671,16.371927
cuda,MobileBertForQuestionAnswering,128,31.545740,16.151938,16.130245
cuda,OPTForCausalLM,2,7.413196,4.241345,4.223913
cuda,PLBartForCausalLM,8,4.248811,2.217185,2.202220
cuda,PLBartForConditionalGeneration,4,10.879797,5.410674,5.393211
cuda,PegasusForCausalLM,32,7.391957,3.983325,3.964826
cuda,PegasusForConditionalGeneration,32,14.717743,10.217515,10.197877
cuda,RobertaForCausalLM,16,7.794006,4.221819,4.207309
cuda,RobertaForQuestionAnswering,16,7.807251,4.242612,4.228013
cuda,Speech2Text2ForCausalLM,256,3.978510,2.132841,2.116951
cuda,T5ForConditionalGeneration,4,10.308828,6.082937,6.068709
cuda,T5Small,4,10.301513,6.079701,6.065067
cuda,TrOCRForCausalLM,32,7.830351,4.369278,4.350300
cuda,XGLMForCausalLM,8,14.361628,8.452990,8.430688
cuda,XLNetLMHeadModel,8,21.732051,14.573545,14.555607
cuda,YituTechConvBert,16,11.416794,6.373494,6.354014
