dev,name,batch_size,speedup,abs_latency,compilation_latency,compression_ratio,eager_peak_mem,dynamo_peak_mem,calls_captured,unique_graphs,graph_breaks,unique_graph_breaks
cuda,AlbertForMaskedLM,4,1.6420,162.5609,36.6028,0.9574,16.5008,17.2347,441,1,11,6
cuda,AlbertForQuestionAnswering,4,1.6552,159.8517,33.8700,0.9734,16.2630,16.7080,441,1,11,6
cuda,AllenaiLongformerBase,4,1.5928,114.7427,152.1659,0.4688,8.3229,17.7542,1717,161,138,12
cuda,BartForCausalLM,4,1.4897,76.7571,47.4020,0.8301,11.9027,14.3392,486,16,19,11
cuda,BartForConditionalGeneration,2,1.4526,94.6617,74.7139,0.8456,15.5970,18.4447,1260,1,11,6
cuda,BertForMaskedLM,16,1.5950,68.9404,38.9339,1.0539,11.6459,11.0507,372,1,11,6
cuda,BertForQuestionAnswering,16,1.7746,53.7597,38.3464,1.0818,8.8466,8.1775,379,1,11,6
cuda,BlenderbotForCausalLM,0,0.0000
cuda,BlenderbotSmallForCausalLM,64,1.2152,47.8161,38.3455,0.8065,7.7848,9.6522,331,12,19,11
cuda,BlenderbotSmallForConditionalGeneration,64,1.3650,81.3811,54.2763,0.8729,13.3990,15.3493,842,1,11,6
cuda,CamemBert,16,1.5460,76.7365,36.8799,1.0511,11.8036,11.2295,379,1,11,6
cuda,DebertaForMaskedLM,4,0.9351,68.8396,80.3868,0.5501,4.9442,8.9882,728,95,164,15
cuda,DebertaForQuestionAnswering,8,1.0112,75.3146,81.9674,0.4601,6.2231,13.5249,735,95,164,15
cuda,DebertaV2ForMaskedLM,1,0.8425,124.0962,134.7087,0.5197,11.6411,22.3997,933,179,287,15
cuda,DebertaV2ForQuestionAnswering,2,0.7950,135.6367,133.5676,0.4870,12.2851,25.2267,940,179,287,15
cuda,DistilBertForMaskedLM,128,1.2102,70.0389,33.8452,0.8849,11.0526,12.4906,208,1,11,6
cuda,DistilBertForQuestionAnswering,256,1.4539,71.5547,35.8760,1.0299,9.5385,9.2617,216,1,11,6
cuda,DistillGPT2,16,1.6568,63.9172,27.9167,0.9682,11.4247,11.8000,332,1,11,6
cuda,ElectraForCausalLM,32,1.7835,49.4510,65.1283,0.8890,11.1043,12.4913,379,6,15,8
cuda,ElectraForQuestionAnswering,64,2.1166,54.2397,43.8875,1.1387,10.4133,9.1447,380,1,11,6
cuda,GPT2ForSequenceClassification,4,2.2556,40.6407,35.0497,1.1139,9.0873,8.1582,646,1,11,6
cuda,LayoutLMForMaskedLM,16,1.5842,71.4236,39.7174,1.0078,11.6797,11.5899,398,1,11,6
cuda,LayoutLMForSequenceClassification,16,1.7990,54.3639,45.7574,1.0583,8.8766,8.3874,396,1,11,6
cuda,M2M100ForConditionalGeneration,16,1.5384,73.7413,111.9143,0.7188,11.3017,15.7240,1270,21,25,10
cuda,MBartForCausalLM,4,1.4908,76.3692,47.9587,0.8491,11.9196,14.0376,485,16,19,11
cuda,MBartForConditionalGeneration,2,1.4443,95.5949,78.7427,0.8672,15.6138,18.0043,1265,1,11,6
cuda,MT5ForConditionalGeneration,16,2.1177,44.1624,132.4141,0.9089,10.9634,12.0627,1175,1,11,6
cuda,MegatronBertForCausalLM,4,1.4742,59.3799,64.9943,0.8450,9.0322,10.6894,723,1,11,6
cuda,MegatronBertForQuestionAnswering,8,1.6030,88.6022,65.3827,0.9530,13.3824,14.0418,726,1,11,6
cuda,MobileBertForMaskedLM,64,2.3068,72.9376,143.8201,0.7473,7.1229,9.5311,1449,1,5,4
cuda,MobileBertForQuestionAnswering,128,2.0604,81.1771,136.9777,0.6569,7.9433,12.0924,1453,1,5,4
cuda,OPTForCausalLM,2,2.4257,69.8096,43.7014,1.0620,17.1579,16.1569,537,16,19,11
cuda,PLBartForCausalLM,8,1.6159,71.6697,34.0903,0.8907,11.7446,13.1862,258,10,19,11
cuda,PLBartForConditionalGeneration,4,1.5913,73.4842,62.5627,0.9563,13.0738,13.6713,662,12,22,10
cuda,PegasusForCausalLM,32,1.1606,59.6955,47.8386,0.7952,7.6748,9.6513,482,18,20,11
cuda,PegasusForConditionalGeneration,32,1.3078,110.9484,75.9532,0.8901,14.4376,16.2195,1248,9,17,7
cuda,RobertaForCausalLM,16,1.6787,68.7105,36.2812,1.0541,11.6424,11.0451,383,1,11,6
cuda,RobertaForQuestionAnswering,16,1.7846,53.6150,35.0962,1.0865,8.8418,8.1383,386,1,11,6
cuda,Speech2Text2ForCausalLM,256,1.4537,36.6259,34.9758,0.7566,6.8198,9.0137,265,12,20,11
cuda,T5ForConditionalGeneration,4,1.6279,64.2625,50.0774,1.0382,8.5207,8.2073,812,1,11,6
cuda,T5Small,4,1.6296,64.3375,50.0422,1.0382,8.5207,8.2073,812,1,11,6
cuda,TrOCRForCausalLM,32,1.2420,111.2928,46.2294,0.8619,14.0976,16.3568,485,16,19,11
cuda,XGLMForCausalLM,8,2.0059,55.0465,78.9918,0.6744,10.4421,15.4845,1002,30,20,11
cuda,XLNetLMHeadModel,8,1.8126,155.3396,91.6197,1.1342,16.4369,14.4920,768,3,14,8
cuda,YituTechConvBert,16,1.4883,84.5467,76.5504,0.9793,10.6702,10.8960,638,6,15,8
