dev,name,batch_size,_compile,OutputGraph.call_user_compiler,create_aot_dispatcher_function,compile_fx.<locals>.fw_compiler_base,GraphLowering.run,GraphLowering.compile_to_module,Scheduler.__init__,Scheduler.codegen,WrapperCodeGen.generate,cudagraphify,CachingAutotuner.benchmark_all_configs,compile_fx.<locals>.bw_compiler
cuda,AlbertForMaskedLM,4,20.040158,17.456130,14.772511,7.906727,2.258052,12.962490,3.231731,1.547511,0.151993,0.002642,6.953012,10.001354
cuda,AlbertForQuestionAnswering,4,20.754902,18.175319,15.106528,8.188906,2.249008,13.270154,3.189512,1.522240,0.146035,0.002527,3.424660,10.037638
cuda,AllenaiLongformerBase,4,83.009053,71.709443,68.229539,45.748201,8.684834,57.725610,21.688346,7.858256,0.444055,16.932706,4.880574,45.078649
cuda,BartForCausalLM,4,29.322420,22.923100,19.916483,12.829376,2.104795,18.206320,3.382759,2.149232,0.211277,4.559147,2.888742,15.226785
cuda,BartForConditionalGeneration,2,55.195387,42.980682,39.931118,20.685147,5.358957,25.926342,9.937116,5.451671,1.259300,0.598630,0.444849,18.853573
cuda,BertForMaskedLM,16,26.233364,21.051848,17.839984,10.035692,2.196376,14.310807,4.048464,1.957061,0.293813,0.002707,2.983510,9.620726
cuda,BertForQuestionAnswering,16,26.016591,20.856892,17.716346,9.962934,2.180986,14.221916,4.021336,1.949795,0.280670,0.002605,2.615109,9.560090
cuda,BlenderbotSmallForCausalLM,64,22.480847,17.968558,14.659081,9.888108,1.422456,16.101817,2.372226,1.462912,0.143154,4.101946,3.043347,13.872016
cuda,BlenderbotSmallForConditionalGeneration,64,38.293801,30.604149,27.252312,14.602079,3.665471,18.757996,6.580730,3.260705,0.650645,1.665913,2.325668,14.627046
cuda,CamemBert,16,26.342458,21.117011,17.856900,10.053337,2.205169,13.543067,4.070194,1.963276,0.295651,0.002548,1.664135,8.834505
cuda,DebertaForMaskedLM,4,34.419043,27.197640,23.894011,16.918157,2.246564,24.807504,3.953293,2.313923,0.294096,16.042506,3.284050,29.486736
cuda,DebertaForQuestionAnswering,8,34.381552,27.233642,23.861169,17.012547,2.176588,25.709015,3.880294,2.274838,0.290697,17.338028,4.120709,31.462820
cuda,DebertaV2ForMaskedLM,1,50.002485,35.005996,31.792601,18.465947,3.169202,25.013587,5.245305,3.512369,0.564009,38.167754,1.419425,54.403568
