dev,name,batch_size,speedup,abs_latency,compilation_latency,compression_ratio,eager_peak_mem,dynamo_peak_mem,calls_captured,unique_graphs,graph_breaks,unique_graph_breaks
cuda,AlbertForMaskedLM,4,0.9996,266.9978,2.3992,1.0000,16.5008,16.5008,441,1,11,6
cuda,AlbertForQuestionAnswering,4,0.9999,264.8113,2.3685,1.0000,16.2630,16.2630,441,1,11,6
cuda,AllenaiLongformerBase,4,0.8861,204.5185,11.5644,0.8568,8.3229,9.7142,1717,161,138,12
cuda,BartForCausalLM,4,0.9895,114.9758,6.3724,0.9510,11.9027,12.5165,486,16,19,11
cuda,BartForConditionalGeneration,2,0.9992,150.7680,12.0974,1.0000,15.5970,15.5970,1260,1,11,6
cuda,BertForMaskedLM,16,0.9860,111.9346,5.3071,0.9998,11.6459,11.6486,372,1,11,6
cuda,BertForQuestionAnswering,16,0.9847,96.9564,5.2400,1.0017,8.8466,8.8317,379,1,11,6
cuda,BlenderbotForCausalLM,4,0.9346,126.2366,11.6935,0.9932,31.1116,31.3249,938,28,19,11
cuda,BlenderbotSmallForCausalLM,64,0.9571,64.5187,4.8074,0.8906,7.7848,8.7411,331,12,19,11
cuda,BlenderbotSmallForConditionalGeneration,64,1.0044,114.3854,7.7551,1.0000,13.3990,13.3990,842,1,11,6
cuda,CamemBert,16,0.9874,120.1408,5.3655,1.0000,11.8036,11.8037,379,1,11,6
cuda,DebertaForMaskedLM,4,0.7503,93.8101,7.3676,0.9326,4.9442,5.3017,728,95,164,15
cuda,DebertaForQuestionAnswering,8,0.8058,93.9956,7.2219,0.9524,6.2231,6.5342,735,95,164,15
cuda,DebertaV2ForMaskedLM,1,0.6976,148.5212,15.4784,0.9770,11.6411,11.9155,933,179,287,15
cuda,DebertaV2ForQuestionAnswering,2,0.6978,152.6057,15.4043,0.9763,12.2851,12.5829,940,179,287,15
cuda,DistilBertForMaskedLM,128,0.9925,85.2196,2.5199,1.0000,11.0526,11.0524,208,1,11,6
cuda,DistilBertForQuestionAnswering,256,0.9940,103.8667,2.4873,1.0114,9.5385,9.4307,216,1,11,6
cuda,DistillGPT2,16,0.9881,107.3995,2.7595,1.0000,11.4247,11.4250,332,1,11,6
cuda,ElectraForCausalLM,32,0.9822,90.2200,8.2561,0.9161,11.1043,12.1209,379,6,15,8
cuda,ElectraForQuestionAnswering,64,0.9866,116.7446,5.5384,1.0014,10.4133,10.3990,380,1,11,6
cuda,GPT2ForSequenceClassification,4,0.9780,93.8106,4.8854,1.0001,9.0873,9.0863,646,1,11,6
cuda,LayoutLMForMaskedLM,16,0.9861,114.2010,5.8253,0.9999,11.6797,11.6809,398,1,11,6
cuda,LayoutLMForSequenceClassification,16,0.9846,99.7419,5.8577,1.0014,8.8766,8.8638,396,1,11,6
cuda,M2M100ForConditionalGeneration,16,1.0326,140.1651,12.2515,0.9550,11.3017,11.8338,1204,20,25,10
cuda,MBartForCausalLM,4,0.9884,115.2417,6.6985,0.9510,11.9196,12.5334,485,16,19,11
cuda,MBartForConditionalGeneration,2,1.0039,150.5527,11.9072,1.0000,15.6138,15.6138,1265,1,11,6
cuda,MT5ForConditionalGeneration,16,0.9904,103.8599,8.4468,0.9999,10.9634,10.9640,1175,1,11,6
cuda,MegatronBertForCausalLM,4,0.9912,88.8753,10.8050,1.0000,9.0322,9.0322,723,1,11,6
cuda,MegatronBertForQuestionAnswering,8,0.9805,144.9318,10.5534,1.0000,13.3824,13.3824,726,1,11,6
cuda,MobileBertForMaskedLM,64,0.9532,204.0740,17.9354,1.0000,7.1229,7.1229,1449,1,5,4
cuda,MobileBertForQuestionAnswering,128,0.9544,200.4259,17.8236,1.0161,7.9433,7.8173,1453,1,5,4
cuda,OPTForCausalLM,2,0.9869,170.0129,5.5123,0.9682,17.1579,17.7221,537,16,19,11
cuda,PLBartForCausalLM,8,0.9895,114.3877,3.7665,0.9219,11.7446,12.7393,258,10,19,11
cuda,PLBartForConditionalGeneration,4,0.9851,122.6795,9.4517,0.9300,13.0738,14.0584,662,12,22,10
cuda,PegasusForCausalLM,32,0.9482,78.2674,5.9201,0.9238,7.6748,8.3075,482,18,20,11
cuda,PegasusForConditionalGeneration,32,0.9977,146.7690,5.1751,0.9450,14.4376,15.2786,1248,9,17,7
cuda,RobertaForCausalLM,16,0.9873,117.1568,5.5696,0.9999,11.6424,11.6436,383,1,11,6
cuda,RobertaForQuestionAnswering,16,0.9846,97.4086,5.3079,1.0012,8.8418,8.8308,386,1,11,6
cuda,Speech2Text2ForCausalLM,256,0.9811,54.0609,3.3978,0.8865,6.8198,7.6928,265,12,20,11
cuda,T5ForConditionalGeneration,4,0.9827,109.0284,5.9551,0.9999,8.5207,8.5214,812,1,11,6
cuda,T5Small,4,0.9772,107.4396,5.8687,0.9999,8.5207,8.5214,812,1,11,6
cuda,TrOCRForCausalLM,32,0.9909,138.5399,6.5867,0.9200,14.0976,15.3233,485,16,19,11
cuda,XGLMForCausalLM,8,0.9376,125.5364,9.6537,0.9431,10.4421,11.0718,1002,30,20,11
cuda,XLNetLMHeadModel,8,0.9948,282.1253,10.7189,0.9843,16.4369,16.6991,768,3,14,8
cuda,YituTechConvBert,16,0.9862,128.2709,11.3375,0.9530,10.6702,11.1959,638,6,15,8
