dev,name,batch_size,speedup,abs_latency,compilation_latency,compression_ratio,eager_peak_mem,dynamo_peak_mem,calls_captured,unique_graphs,graph_breaks,unique_graph_breaks
cuda,AlbertForMaskedLM,4,1.6352,162.9857,37.6364,1.2697,16.5008,12.9956,441,1,11,6
cuda,AlbertForQuestionAnswering,4,1.6480,160.4977,35.2286,1.3156,16.2630,12.3619,441,1,11,6
cuda,AllenaiLongformerBase,0,0.0000
cuda,BartForCausalLM,4,1.5297,74.9239,41.6215,0.9294,11.9027,12.8063,484,1,11,6
cuda,BartForConditionalGeneration,2,1.4945,91.5822,79.3230,0.9136,15.5970,17.0727,1260,1,11,6
cuda,BertForMaskedLM,16,1.5838,69.5436,39.9960,1.0560,11.6459,11.0285,372,1,11,6
cuda,BertForQuestionAnswering,16,1.7610,54.1016,39.9900,1.1782,8.8466,7.5084,379,1,11,6
cuda,BlenderbotForCausalLM,0,0.0000
cuda,BlenderbotSmallForCausalLM,64,1.2964,47.2946,29.6884,0.8215,7.7848,9.4766,329,1,11,6
cuda,BlenderbotSmallForConditionalGeneration,64,1.4932,81.5957,57.2802,0.8749,13.3990,15.3142,842,1,11,6
cuda,CamemBert,16,1.5355,77.1818,37.5479,1.0532,11.8036,11.2074,379,1,11,6
cuda,DebertaForMaskedLM,0,0.0000
cuda,DebertaForQuestionAnswering,0,0.0000
cuda,DebertaV2ForMaskedLM,0,0.0000
cuda,DebertaV2ForQuestionAnswering,0,0.0000
cuda,DistilBertForMaskedLM,128,1.2150,69.5457,34.6743,0.8872,11.0526,12.4577,208,1,11,6
cuda,DistilBertForQuestionAnswering,256,1.4562,71.1225,35.8673,1.0605,9.5385,8.9943,216,1,11,6
cuda,DistillGPT2,16,1.6648,63.4119,29.5604,0.9710,11.4247,11.7659,332,1,11,6
cuda,ElectraForCausalLM,32,0.0261,3401.1595,78.0831,0.8953,11.1043,12.4023,379,6,15,8
cuda,ElectraForQuestionAnswering,64,2.0993,54.5780,44.4278,1.1962,10.4133,8.7056,380,1,11,6
cuda,GPT2ForSequenceClassification,4,2.2963,39.8562,37.0108,1.1562,9.0873,7.8595,646,1,11,6
cuda,LayoutLMForMaskedLM,16,1.5885,70.8088,42.0546,1.0104,11.6797,11.5599,398,1,11,6
cuda,LayoutLMForSequenceClassification,16,1.8158,53.6653,46.7158,1.0897,8.8766,8.1459,396,1,11,6
cuda,M2M100ForConditionalGeneration,16,0.0167,8991.5991,171.4798,0.9621,11.3017,11.7472,1205,9,23,10
cuda,MBartForCausalLM,4,1.5223,74.8724,42.4296,0.9444,11.9196,12.6215,484,1,11,6
cuda,MBartForConditionalGeneration,2,1.5256,94.2523,83.0588,0.9273,15.6138,16.8383,1265,1,11,6
cuda,MT5ForConditionalGeneration,16,2.2156,42.3767,127.3442,0.9127,10.9634,12.0124,1175,1,11,6
cuda,MegatronBertForCausalLM,4,1.5276,56.7753,70.0875,0.9653,9.0322,9.3568,723,1,11,6
cuda,MegatronBertForQuestionAnswering,8,1.6523,85.9416,69.9476,1.0440,13.3824,12.8185,726,1,11,6
cuda,MobileBertForMaskedLM,64,2.2871,76.7288,151.2448,0.8112,7.1229,8.7810,1449,1,5,4
cuda,MobileBertForQuestionAnswering,128,2.0426,81.8692,143.1900,0.6659,7.9433,11.9292,1453,1,5,4
cuda,OPTForCausalLM,2,2.4786,68.1839,38.8911,1.0965,17.1579,15.6482,536,1,11,6
cuda,PLBartForCausalLM,8,1.6601,70.3089,26.9711,0.9162,11.7446,12.8193,256,1,11,6
cuda,PLBartForConditionalGeneration,4,1.6192,72.4188,50.8093,0.9772,13.0738,13.3787,660,1,11,6
cuda,PegasusForCausalLM,32,0.0207,3498.9470,57.5755,0.9387,7.6748,8.1758,483,6,14,7
cuda,PegasusForConditionalGeneration,32,0.0219,6822.6724,104.4757,1.0086,14.4376,14.3145,1248,9,17,7
cuda,RobertaForCausalLM,16,1.6596,69.3105,37.5933,1.0562,11.6424,11.0228,383,1,11,6
cuda,RobertaForQuestionAnswering,16,1.7694,54.0200,36.4308,1.1778,8.8418,7.5069,386,1,11,6
cuda,Speech2Text2ForCausalLM,256,0.0231,2384.4252,41.9525,0.8111,6.8198,8.4082,265,6,14,7
cuda,T5ForConditionalGeneration,4,1.7406,59.8958,50.8178,1.0902,8.5207,7.8161,812,1,11,6
cuda,T5Small,4,1.7415,60.0708,50.7751,1.0902,8.5207,7.8161,812,1,11,6
cuda,TrOCRForCausalLM,32,1.2700,108.1401,38.4780,0.8855,14.0976,15.9199,483,1,11,6
cuda,XGLMForCausalLM,8,0.0203,6006.2759,155.6345,0.9344,10.4421,11.1755,1003,6,14,7
cuda,XLNetLMHeadModel,8,1.8113,154.8032,93.6017,1.1342,16.4369,14.4920,768,3,14,8
cuda,YituTechConvBert,16,0.0282,4479.7971,95.1683,0.9922,10.6702,10.7535,638,6,15,8
