dev,name,batch_size,speedup,abs_latency,compilation_latency,compression_ratio,eager_peak_mem,dynamo_peak_mem,calls_captured,unique_graphs,graph_breaks,unique_graph_breaks
cuda,BERT_pytorch,16,0.8003,76.7493,11.4571,0.8671,2.5823,2.9782,542,2,15,7
cuda,Background_Matting,4,0.1368,918.3325,11.1875,0.6489,6.0323,9.2964,187,2,13,7
cuda,LearningToPaint,96,0.7682,15.0221,2.8773,0.7116,0.6671,0.9375,75,2,13,7
cuda,Super_SloMo,6,0.1792,443.3061,9.6776,0.8220,3.7536,4.5662,378,2,13,7
cuda,alexnet,128,0.9972,9.8572,0.7695,0.7939,1.3373,1.6845,26,2,13,7
cuda,attention_is_all_you_need_pytorch,256,0.8292,67.2135,10.9396,0.9066,3.5980,3.9685,552,2,13,7
cuda,dcgan,32,0.6983,2.9884,0.7125,0.7957,0.0573,0.0720,17,2,13,7
cuda,demucs,4,1.0002,53.4677,2.1678,0.9657,4.3412,4.4953,89,7,16,8
cuda,densenet121,4,0.7047,79.4991,19.0461,0.9783,0.5013,0.5124,435,2,13,7
cuda,dlrm,1024,0.8502,4.7694,0.7697,0.9944,4.3716,4.3963,40,2,7,5
cuda,drq,1,0.7145,4.8322,1.0135,0.8852,0.0620,0.0700,34,3,12,7
cuda,fastNLP_Bert,6,0.8641,59.5525,11.1574,0.8878,4.1226,4.6438,451,9,18,9
cuda,functorch_dp_cifar10,64,0.9109,11.0396,2.3838,0.8396,0.1920,0.2286,73,2,13,7
cuda,gat,0,0.0000
cuda,gcn,0,0.0000
cuda,hf_Albert,8,0.9610,72.4234,8.5056,0.9008,5.8962,6.5453,440,2,12,7
cuda,hf_Bart,4,0.8452,80.3035,13.6501,0.7521,4.8273,6.4183,646,2,12,7
cuda,hf_Bert,4,0.8410,46.9116,10.3753,0.8353,3.3479,4.0083,371,2,12,7
cuda,hf_Bert_large,4,0.8817,91.8787,20.9043,0.8521,7.9635,9.3458,719,2,12,7
cuda,hf_BigBird,2,0.7728,241.1474,36.8641,0.9268,5.2433,5.6576,2911,67,69,12
cuda,hf_DistilBert,8,0.9384,35.2494,5.5521,0.8146,3.1594,3.8784,207,2,12,7
cuda,hf_GPT2,4,0.9059,53.2889,9.6608,0.8198,4.6124,5.6263,639,2,12,7
cuda,hf_GPT2_large,4,0.9718,214.6632,29.9410,0.8303,22.5399,27.1468,1887,2,12,7
cuda,hf_Longformer,2,0.5687,195.7087,31.1057,0.8295,4.1911,5.0523,1716,162,139,13
cuda,hf_Reformer,4,0.9675,83.5654,6.0027,0.8004,1.4973,1.8706,502,48,107,14
cuda,hf_T5,8,0.8501,211.4041,13.4148,0.8891,14.3347,16.1228,811,2,12,7
cuda,hf_T5_large,2,0.8093,275.9646,56.4887,0.8302,15.8642,19.1084,2935,2,12,7
cuda,lennard_jones,1000,0.7319,2.0916,0.5962,0.9997,0.0182,0.0183,13,2,13,7
cuda,mnasnet1_0,32,0.7347,31.2601,6.7687,0.8971,0.8769,0.9775,156,2,13,7
cuda,mobilenet_v2,96,0.7774,60.3208,6.9548,0.7656,4.0279,5.2612,157,2,13,7
cuda,mobilenet_v3_large,32,0.7856,36.0375,7.5948,0.9444,0.9578,1.0142,191,2,13,7
cuda,moco,0,0.0000
cuda,nvidia_deeprecommender,256,0.9988,10.2187,0.7648,0.8055,3.3858,4.2032,17,2,13,7
cuda,phlippe_densenet,128,0.7681,29.9122,6.9505,0.9982,0.7554,0.7568,190,2,13,7
cuda,phlippe_resnet,128,0.7579,11.8035,2.8349,0.8640,0.1286,0.1489,75,2,13,7
cuda,pytorch_CycleGAN_and_pix2pix,1,0.9006,14.7414,2.9475,0.8796,0.3449,0.3922,95,2,13,7
cuda,pytorch_stargan,16,0.8042,18.1057,3.2075,0.9749,0.6652,0.6823,60,2,13,7
cuda,pytorch_struct,200,0.7640,6.0241,1.3324,0.5106,0.7145,1.3993,45,2,13,7
cuda,pytorch_unet,1,0.2051,194.1264,4.4090,0.7154,1.9769,2.7632,75,2,13,7
cuda,resnet152,32,0.7502,86.7843,20.2116,0.8936,3.6467,4.0809,519,2,13,7
cuda,resnet18,16,0.7487,12.8064,2.8575,0.7978,0.3772,0.4727,73,2,13,7
cuda,resnet50,32,0.7639,36.4535,7.4353,0.8623,1.7670,2.0491,179,2,13,7
cuda,resnext50_32x4d,8,0.7244,26.7859,7.0058,0.8441,0.7715,0.9140,179,2,13,7
cuda,sage,0,0.0000
cuda,shufflenet_v2_x1_0,128,0.7491,41.9083,7.6854,0.8384,1.6585,1.9780,275,2,13,7
cuda,soft_actor_critic,256,0.6148,2.3820,0.6089,0.9239,0.0329,0.0356,21,3,12,7
cuda,speech_transformer,32,0.7862,82.2457,13.6877,0.9010,1.0199,1.1320,773,12,23,9
cuda,squeezenet1_1,32,0.9294,10.5484,1.7219,0.9291,0.5616,0.6045,70,2,13,7
cuda,tacotron2,0,0.0000
cuda,timm_efficientnet,32,0.6250,50.3889,10.0881,0.7664,1.5580,2.0327,366,2,15,7
cuda,timm_nfnet,128,0.9844,119.8469,11.1385,0.8750,7.0584,8.0672,619,2,13,7
cuda,timm_regnet,32,0.7708,72.1958,12.1786,0.8499,3.6947,4.3470,524,2,15,7
cuda,timm_resnest,32,0.8502,28.2762,3.8907,0.8825,1.4253,1.6151,152,2,13,7
cuda,timm_vision_transformer,32,0.8499,35.8435,7.7161,0.9299,1.9777,2.1269,377,2,13,7
