dev,name,batch_size,_compile,OutputGraph.call_user_compiler,create_aot_dispatcher_function,compile_fx.<locals>.fw_compiler_base,GraphLowering.run,GraphLowering.compile_to_module,Scheduler.__init__,Scheduler.codegen,WrapperCodeGen.generate,cudagraphify,CachingAutotuner.benchmark_all_configs,compile_fx.<locals>.bw_compiler
cuda,adv_inception_v3,128,39.840858,34.027025,31.269551,18.686580,5.435191,24.699938,9.371253,5.013959,0.579920,0.003210,71.155683,16.762490
cuda,beit_base_patch16_224,64,23.096674,18.968816,15.229208,9.167132,2.026109,12.756925,3.812364,2.039442,0.269230,0.003229,3.212698,8.191367
cuda,botnet26t_256,128,26.067491,23.006771,19.257132,14.303909,2.685330,20.141819,5.894617,2.980334,0.140178,0.002638,38.956177,10.525602
cuda,cait_m36_384,4,61.186447,47.987930,44.796586,22.132482,6.950456,34.289210,15.327063,7.543615,2.163708,0.003268,17.575087,28.061724
cuda,coat_lite_mini,128,27.619943,24.062612,20.626574,14.666955,2.457380,25.832939,7.736914,3.122253,0.227181,0.003013,38.788090,16.063784
cuda,convit_base,64,24.780331,20.988253,17.389834,10.352675,2.265919,17.763418,5.300543,2.437063,0.282692,0.002732,8.251724,12.512892
cuda,convmixer_768_32,32,22.978619,21.250462,17.532645,8.391341,3.034873,11.218607,3.738022,2.068080,0.304471,0.002994,10.058717,1.987096
cuda,convnext_base,64,29.660158,22.784991,19.268390,11.030412,3.839203,18.297908,5.736100,2.868740,0.500895,0.002822,10.339499,14.923518
cuda,crossvit_9_240,128,33.126343,27.426561,23.711735,13.652036,3.201553,24.793581,7.636610,3.593361,0.457755,0.002989,27.214040,18.858869
cuda,cspdarknet53,64,31.435160,25.599173,22.830252,13.087497,4.134372,16.414846,5.024830,2.609656,0.322355,0.002938,39.180426,11.732297
cuda,deit_base_distilled_patch16_224,64,19.575434,16.383527,13.603405,8.345249,1.682409,19.077113,3.944918,1.872443,0.230802,0.002752,3.695238,14.724322
cuda,dla102,128,39.758988,33.296201,30.644368,16.690432,5.357641,20.655670,7.834186,3.806132,0.563290,0.003420,28.199127,15.078487
cuda,dm_nfnet_f0,128,28.778383,22.642163,19.229302,9.872060,3.673649,16.397513,5.510942,2.339490,0.279250,0.002839,21.251983,14.180198
cuda,dpn107,32,49.271483,39.613646,36.485840,19.657551,6.150645,24.936258,7.989121,4.375507,0.571438,0.003693,21.447179,18.099526
cuda,eca_botnext26ts_256,128,27.520692,24.283493,20.669827,14.961992,3.057836,20.378719,6.107104,2.773902,0.156625,0.002751,40.965512,10.875118
cuda,ese_vovnet19b_dw,128,18.797158,16.239469,12.610572,9.137860,1.504890,13.215007,3.406847,1.583803,0.115976,0.002668,35.318525,7.285695
cuda,fbnetc_100,128,30.884051,25.921044,22.089730,13.894386,3.230892,17.951187,4.931065,2.506494,0.294152,0.003124,64.656410,11.029864
cuda,fbnetv3_b,128,48.146827,39.782684,36.150659,20.387130,6.215743,25.935609,9.320480,4.289549,0.637966,0.003253,73.019311,18.795556
cuda,gernet_l,128,26.325876,20.988166,17.376462,9.925418,2.994336,12.811488,3.266905,1.904153,0.231137,0.003085,32.655908,9.004187
cuda,ghostnet_100,128,44.953572,37.220721,33.143384,20.024937,5.065130,29.262480,8.645450,4.240983,0.488220,0.003517,130.689756,19.386586
cuda,gluon_inception_v3,128,40.414350,34.390509,31.660290,18.980642,5.450418,25.155963,9.440242,5.032222,0.589500,0.003492,65.157944,17.018094
cuda,gluon_xception65,32,44.870911,37.099494,34.372759,17.265873,6.305167,19.299065,7.573414,3.657806,0.727577,0.003705,21.850582,15.540811
cuda,gmixer_24_224,128,29.018072,22.808258,19.987406,10.751289,2.884335,16.172113,5.555635,2.980169,0.415198,0.002189,6.989927,12.478704
cuda,gmlp_s16_224,128,30.258258,24.056551,21.227597,12.055628,3.277297,18.568508,6.172534,3.119517,0.429163,0.002748,12.446085,14.057101
cuda,hrnet_w18,128,110.109127,100.478609,97.593716,49.638342,19.294809,57.154873,28.760871,12.253025,4.823540,0.004424,63.039821,45.125667
cuda,inception_v3,128,41.105137,35.108641,32.247277,19.049396,5.501939,25.038603,9.406590,5.047483,0.582725,0.003557,64.418851,16.916514
cuda,jx_nest_base,32,38.706339,31.634365,28.866842,17.065115,4.426523,27.358364,10.786048,4.236273,0.599387,0.003335,20.531307,19.610397
cuda,lcnet_050,128,19.080959,16.662188,13.942893,8.933638,2.106755,12.031994,3.065431,1.517838,0.126007,0.002675,51.369317,7.264519
cuda,mixer_b16_224,128,18.294044,15.260845,12.440058,7.848877,1.500585,11.678026,2.242828,1.532151,0.147337,0.002615,5.981787,7.409220
cuda,mixnet_l,128,40.865354,32.166053,29.392104,17.449221,4.353474,24.292131,7.493095,4.043140,0.526914,0.003561,72.617201,16.279360
cuda,mnasnet_100,128,26.224612,22.188332,19.293539,12.234801,2.640426,16.084156,4.057915,2.386977,0.217638,0.003012,61.502253,9.374896
cuda,mobilenetv2_100,128,26.783096,22.641971,19.763210,12.633979,3.011355,16.061844,3.971606,2.649055,0.233005,0.003035,57.201929,9.512173
cuda,mobilenetv3_large_100,128,27.801435,23.597029,20.737177,13.355969,3.318870,18.634066,4.799074,2.667319,0.248717,0.002902,85.044735,11.798920
cuda,mobilevit_s,64,39.072344,33.334193,30.576952,21.212850,4.535268,34.875033,13.984559,6.112515,0.392551,0.003136,72.347068,22.350570
cuda,nfnet_l0,128,26.129259,20.801273,17.917794,9.370604,3.278776,15.402408,5.092790,2.254630,0.271657,0.003183,27.801474,12.849243
cuda,pit_b_224,64,22.837497,19.145664,16.295007,10.195769,2.179076,14.958401,4.237872,2.118026,0.256866,0.002434,11.743629,9.633472
cuda,pnasnet5large,16,80.350671,71.914275,69.059766,36.210340,12.423492,43.986807,20.606565,10.704673,1.930935,0.004500,34.503333,33.279989
cuda,poolformer_m36,64,41.894099,34.250467,31.505932,18.654366,6.325654,30.102612,14.832443,6.259297,0.604481,0.003031,25.077464,23.502553
cuda,regnety_002,128,25.020877,20.282762,17.536367,10.798053,2.623437,15.051783,4.174157,2.051691,0.241156,0.002824,46.915713,9.749944
cuda,repvgg_a2,128,25.199057,20.078649,17.323832,9.688611,3.030407,11.614853,3.321548,1.671465,0.208608,0.002887,19.371397,7.964285
cuda,res2net101_26w_4s,64,65.240741,54.946662,52.217574,27.201233,9.730132,31.839912,14.184011,7.074766,1.481601,0.003450,40.614740,24.218932
cuda,res2net50_14w_8s,128,58.824036,49.856158,47.113749,24.475048,8.146432,31.142586,13.757255,6.684451,1.223044,0.003469,27.006290,23.349667
cuda,res2next50,128,35.420905,30.293856,27.454537,15.459966,4.398235,20.177891,7.572562,3.858257,0.498212,0.003250,25.701310,14.262884
cuda,resmlp_12_224,128,15.051466,12.227288,9.387891,6.198419,1.067733,18.928268,2.325502,1.547415,0.129114,0.002543,7.720779,15.330918
cuda,resnest101e,64,60.060257,49.113873,46.321346,23.832848,7.811155,30.518714,12.763502,6.174048,1.142538,0.003445,58.831019,24.239264
cuda,rexnet_100,128,37.046419,31.394423,28.641559,18.464363,3.925698,27.232863,6.839630,3.248376,0.337921,0.003560,168.490108,16.971112
cuda,sebotnet33ts_256,64,31.869078,27.547727,24.790218,17.135131,3.777355,23.485770,8.394702,3.310064,0.219364,0.003316,46.412405,13.264091
cuda,selecsls42b,128,21.105843,18.600748,15.869969,10.378798,2.248945,15.446172,4.421216,2.373340,0.172007,0.002870,41.390945,9.560884
cuda,spnasnet_100,128,29.008558,24.137324,21.262266,13.209773,3.419774,17.198790,4.966466,2.445001,0.283801,0.002999,66.124495,10.922410
cuda,swin_base_patch4_window7_224,64,48.161996,39.405607,36.604592,21.632153,5.302258,37.320880,14.714679,6.014004,0.733076,0.003203,28.732668,27.133708
cuda,swsl_resnext101_32x16d,32,36.741064,30.626515,27.749665,13.970281,5.154250,15.910006,6.135035,2.944861,0.468444,0.003125,7.722276,12.761073
cuda,tf_efficientnet_b0,128,30.906979,25.892941,23.003439,14.063715,3.703560,19.741009,5.762509,2.772347,0.304930,0.002936,78.625597,13.302322
cuda,tf_mixnet_l,128,42.116675,32.907186,30.100319,18.022773,4.292143,25.161697,7.398451,4.524546,0.533894,0.003753,73.235750,16.375753
cuda,tinynet_a,128,35.328544,29.420808,26.620532,15.855004,4.231054,21.536039,6.639169,3.105586,0.369260,0.003284,81.650594,14.553684
cuda,tnt_s_patch16_224,128,38.427788,31.233753,28.437568,15.203751,3.977689,22.623926,8.376168,3.900239,0.770077,0.002910,12.080735,16.737832
cuda,twins_pcpvt_base,64,52.477590,42.120589,39.331944,21.240115,5.664525,32.036890,13.603292,5.611672,1.391233,0.003496,51.590772,24.544110
cuda,visformer_small,128,22.447000,19.654074,16.736757,10.935836,2.529733,14.592996,3.269758,1.839598,0.199395,0.002795,28.149734,8.715753
cuda,vit_base_patch16_224,64,20.134866,16.946123,14.211859,8.491530,1.709555,18.388978,3.521372,1.780832,0.229591,0.002697,3.828990,14.032810
cuda,volo_d1_224,64,31.902753,26.780357,23.922548,14.103858,3.571692,22.137800,7.877220,3.555606,0.439310,0.003060,20.509315,15.634732
cuda,xcit_large_24_p8_224,5,63.638259,50.303968,47.456673,24.520180,8.859194,36.218046,16.878861,7.474543,2.005810,0.002591,33.161980,30.096203
