dev,name,batch_size,speedup,abs_latency,compilation_latency,compression_ratio,eager_peak_mem,dynamo_peak_mem,calls_captured,unique_graphs,graph_breaks,unique_graph_breaks
cuda,adv_inception_v3,128,1.3034,170.8833,150.6617,1.0689,13.3513,12.4911,313,1,5,4
cuda,beit_base_patch16_224,64,1.1030,117.1274,29.7606,0.9992,10.9279,10.9367,468,1,5,4
cuda,botnet26t_256,128,1.2647,116.0032,86.8361,0.9861,11.6626,11.8265,336,1,5,4
cuda,cait_m36_384,4,1.1914,181.1229,95.4990,0.9880,19.3864,19.6209,1341,1,5,4
cuda,coat_lite_mini,128,1.3991,137.5994,76.9289,0.9347,11.9063,12.7386,459,1,5,4
cuda,convit_base,64,1.4425,136.1611,38.8281,1.1097,15.4685,13.9393,497,1,5,4
cuda,convmixer_768_32,32,1.0607,334.8409,29.8385,0.9959,13.4369,13.4922,230,1,4,3
cuda,convnext_base,64,1.0868,249.4245,42.8708,0.9504,15.7574,16.5803,494,1,5,4
cuda,crossvit_9_240,128,1.3302,70.5995,77.1834,0.9829,7.4529,7.5822,599,1,5,4
cuda,cspdarknet53,64,1.2004,102.2979,93.1635,1.1043,10.7665,9.7499,438,1,5,4
cuda,deit_base_distilled_patch16_224,64,1.0875,110.9355,29.9426,0.9905,10.0788,10.1751,376,1,5,4
cuda,dla102,128,1.3472,185.1476,88.6134,1.0480,18.3716,17.5298,415,1,5,4
cuda,dm_nfnet_f0,128,1.3938,139.8612,66.9340,1.1277,13.2235,11.7260,615,1,5,4
cuda,dpn107,32,1.1871,155.7394,90.0593,1.0017,11.4042,11.3845,742,1,5,4
cuda,eca_botnext26ts_256,128,1.2313,155.7721,95.1303,1.0173,16.0020,15.7302,366,1,5,4
cuda,ese_vovnet19b_dw,128,1.2318,78.2235,72.7511,1.0127,9.8990,9.7750,157,2,5,4
cuda,fbnetc_100,128,1.2331,94.4864,131.5678,0.9847,7.0842,7.1942,380,2,5,4
cuda,fbnetv3_b,128,1.2662,121.8193,157.6122,1.0030,12.4385,12.4018,606,1,5,4
cuda,gernet_l,128,1.0606,128.7240,76.0019,0.9980,8.4638,8.4809,405,1,5,4
cuda,ghostnet_100,128,1.7074,64.0849,229.5833,1.0646,5.5373,5.2016,324,1,5,4
cuda,gluon_inception_v3,128,1.3039,170.7363,148.9763,1.0689,13.3513,12.4911,313,1,5,4
cuda,gluon_xception65,32,1.0353,173.4571,85.3781,0.9923,13.9207,14.0292,352,1,5,4
cuda,gmixer_24_224,128,1.3541,106.9876,41.7943,0.9917,15.4324,15.5612,631,1,5,4
cuda,gmlp_s16_224,128,1.3613,118.9725,52.6375,0.8743,18.4390,21.0898,487,1,5,4
cuda,hrnet_w18,128,1.3227,282.3404,234.9246,1.0108,16.7721,16.5921,1369,1,4,3
