dev,name,batch_size,_compile,OutputGraph.call_user_compiler,create_aot_dispatcher_function
cuda,adv_inception_v3,128,12.749019,6.824170,6.687034
cuda,beit_base_patch16_224,64,9.086356,4.734087,4.719249
cuda,botnet26t_256,128,6.399161,3.149619,3.135370
cuda,cait_m36_384,4,31.092448,16.961022,16.939518
cuda,coat_lite_mini,128,8.098860,4.491966,4.477851
cuda,convit_base,64,9.010753,5.079468,5.065062
cuda,convmixer_768_32,32,6.747621,5.042251,5.026673
cuda,convnext_base,64,12.783498,5.684243,5.668842
cuda,crossvit_9_240,128,14.061140,7.994912,7.979240
cuda,cspdarknet53,64,10.966457,4.988067,4.973507
cuda,deit_base_distilled_patch16_224,64,7.239977,3.909170,3.894910
cuda,dla102,128,14.997977,8.163356,8.023899
cuda,dm_nfnet_f0,128,11.626164,5.464900,5.450322
cuda,dpn107,32,19.360789,9.506702,9.490194
cuda,eca_botnext26ts_256,128,7.339301,3.846222,3.832182
cuda,ese_vovnet19b_dw,128,4.646458,2.119852,2.105862
cuda,fbnetc_100,128,9.432988,4.397105,4.382272
cuda,fbnetv3_b,128,17.101841,8.441585,8.425009
cuda,gernet_l,128,8.938397,3.982390,3.968263
cuda,ghostnet_100,128,15.049723,7.170342,7.154548
cuda,gluon_inception_v3,128,13.522029,7.258698,7.242601
cuda,gluon_xception65,32,16.963738,9.026410,9.009419
cuda,gmixer_24_224,128,13.035223,7.124094,7.108345
cuda,gmlp_s16_224,128,12.296868,6.403624,6.387509
cuda,hrnet_w18,128,35.495906,25.854407,25.827363
cuda,inception_v3,128,12.948940,6.898795,6.762321
cuda,jx_nest_base,32,14.525931,7.794542,7.778987
cuda,lcnet_050,128,4.990577,2.420389,2.405747
cuda,mixer_b16_224,128,6.195253,3.143087,3.129086
cuda,mixnet_l,128,16.437797,7.543916,7.528273
cuda,mnasnet_100,128,7.610287,3.532173,3.517428
cuda,mobilenetv2_100,128,7.857299,3.753160,3.738769
cuda,mobilenetv3_large_100,128,8.393361,4.109647,4.095087
cuda,mobilevit_s,64,11.424505,5.912042,5.896389
cuda,nfnet_l0,128,11.048465,5.645854,5.631297
cuda,pit_b_224,64,8.227533,4.432797,4.418285
cuda,pnasnet5large,16,26.032323,17.674260,17.652020
cuda,poolformer_m36,64,14.019819,6.075190,6.059305
cuda,regnety_002,128,9.106461,4.048788,4.034267
cuda,repvgg_a2,128,8.748764,3.803193,3.788627
cuda,res2net101_26w_4s,64,24.825297,13.933492,13.914129
cuda,res2net50_14w_8s,128,22.206205,13.053447,13.036131
cuda,res2next50,128,11.997040,6.909281,6.892838
cuda,resmlp_12_224,128,5.340265,2.521543,2.507453
cuda,resnest101e,64,24.255010,12.933497,12.913372
cuda,rexnet_100,128,11.259277,5.436268,5.421021
cuda,sebotnet33ts_256,64,8.919784,4.752216,4.737671
cuda,selecsls42b,128,5.448092,2.983938,2.965258
cuda,spnasnet_100,128,9.294410,4.333599,4.318546
cuda,swin_base_patch4_window7_224,64,20.197731,11.151571,11.135159
cuda,swsl_resnext101_32x16d,32,13.806667,7.523802,7.506915
cuda,tf_efficientnet_b0,128,11.106857,5.536719,5.521548
cuda,tf_mixnet_l,128,17.088380,7.778949,7.763429
cuda,tinynet_a,128,12.166575,6.238901,6.223991
cuda,tnt_s_patch16_224,128,17.745214,10.219643,10.202977
cuda,twins_pcpvt_base,64,23.033753,12.509018,12.491929
cuda,visformer_small,128,6.317519,3.390101,3.374751
cuda,vit_base_patch16_224,64,7.636478,4.148559,4.134100
cuda,volo_d1_224,64,12.144119,6.835569,6.819429
cuda,xcit_large_24_p8_224,5,28.608508,15.553760,15.534300
