dev,name,batch_size,speedup,abs_latency,compilation_latency,compression_ratio,eager_peak_mem,dynamo_peak_mem,calls_captured,unique_graphs,graph_breaks,unique_graph_breaks
cuda,BERT_pytorch,16,0.9871,53.5978,4.8873,1.0003,2.5823,2.5815,542,2,15,7
cuda,Background_Matting,4,0.9986,126.0116,3.0926,1.0127,6.0323,5.9569,187,2,13,7
cuda,LearningToPaint,96,0.9892,11.9977,1.4403,0.9192,0.6671,0.7257,75,2,13,7
cuda,Super_SloMo,6,0.9974,79.6119,2.7944,1.0014,3.7536,3.7482,378,2,13,7
cuda,alexnet,128,0.9994,9.8330,0.4928,0.9454,1.3373,1.4145,26,2,13,7
cuda,attention_is_all_you_need_pytorch,256,0.9883,55.3348,4.4658,0.9648,3.5980,3.7294,552,2,13,7
cuda,dcgan,32,0.8584,2.3552,0.4310,0.9647,0.0573,0.0594,17,2,13,7
cuda,demucs,4,1.0003,53.7750,1.4295,0.9660,4.3409,4.4935,89,7,16,8
cuda,densenet121,4,0.9854,53.5913,7.5098,0.9940,0.4996,0.5026,435,2,13,7
cuda,dlrm,1024,0.9397,4.3701,0.3698,0.9995,4.3716,4.3737,40,2,7,5
cuda,drq,1,0.9544,3.4730,0.6593,0.9877,0.0620,0.0627,34,3,12,7
cuda,fastNLP_Bert,6,0.9934,52.9575,5.1938,1.0003,4.1226,4.1216,451,9,18,9
cuda,functorch_dp_cifar10,64,0.9625,10.3130,1.2110,0.9953,0.1920,0.1929,73,2,13,7
cuda,gat,0,0.0000
cuda,gcn,0,0.0000
cuda,hf_Albert,8,0.9947,68.5637,2.4908,0.9599,5.8962,6.1425,440,2,12,7
cuda,hf_Bart,4,0.9867,62.9388,6.1450,0.9087,4.8273,5.3125,646,2,12,7
cuda,hf_Bert,4,0.9943,40.1099,5.0519,0.9645,3.3479,3.4713,371,2,12,7
cuda,hf_Bert_large,4,0.9914,82.7608,10.2769,0.9845,7.9635,8.0890,719,2,12,7
cuda,hf_BigBird,2,0.9506,205.1698,12.9783,0.9493,5.2433,5.5234,2911,67,69,12
cuda,hf_DistilBert,8,0.9807,32.0219,2.3764,0.9262,3.1594,3.4111,207,2,12,7
cuda,hf_GPT2,4,0.9932,49.2215,4.6983,0.9357,4.6124,4.9296,639,2,12,7
cuda,hf_GPT2_large,4,0.9830,212.3260,14.7498,0.9663,22.5399,23.3266,1887,2,12,7
cuda,hf_Longformer,2,1.0113,112.9296,9.5111,0.9511,4.1911,4.4064,1741,7,16,8
cuda,hf_Reformer,4,0.9856,82.1504,4.1850,0.8004,1.4973,1.8706,502,48,107,14
cuda,hf_T5,8,0.9851,181.7596,5.6924,0.9507,14.3347,15.0787,811,2,12,7
cuda,hf_T5_large,2,0.9748,224.2818,27.1839,0.9831,15.8642,16.1365,2935,2,12,7
cuda,lennard_jones,1000,0.8395,1.8078,0.3947,0.9996,0.0182,0.0183,13,2,13,7
cuda,mnasnet1_0,32,0.9886,22.4674,3.1666,0.9757,0.8430,0.8640,156,2,13,7
cuda,mobilenet_v2,96,0.9970,47.1270,3.1380,0.9857,4.0349,4.0934,157,2,13,7
cuda,mobilenet_v3_large,32,0.9975,26.9093,3.4693,0.9765,0.8524,0.8728,191,2,13,7
cuda,moco,32,0.9394,53.4647,33.1483,0.9965,2.4996,2.5084,1605,80,86,10
cuda,nvidia_deeprecommender,256,0.9985,10.2330,0.4811,0.9176,3.3858,3.6898,17,2,13,7
cuda,phlippe_densenet,128,0.9851,23.3706,3.2436,0.9983,0.7554,0.7567,190,2,13,7
cuda,phlippe_resnet,128,0.9883,8.8570,1.3352,0.9881,0.1286,0.1302,75,2,13,7
cuda,pytorch_CycleGAN_and_pix2pix,1,0.9673,14.4317,1.2220,0.9965,0.3358,0.3369,95,2,13,7
cuda,pytorch_stargan,16,0.9845,15.5692,1.2424,0.9914,0.6652,0.6709,60,2,13,7
cuda,pytorch_struct,200,0.9186,5.2823,0.7514,0.9992,0.7145,0.7150,45,2,13,7
cuda,pytorch_unet,1,0.9962,39.9863,1.5282,0.9953,1.9769,1.9862,75,2,13,7
cuda,resnet152,32,0.9957,64.6135,9.1595,0.9958,3.6447,3.6602,519,2,13,7
cuda,resnet18,16,0.9883,9.3066,1.3525,0.9753,0.3772,0.3867,73,2,13,7
cuda,resnet50,32,0.9962,26.5650,3.2284,0.9914,1.7667,1.7819,179,2,13,7
cuda,resnext50_32x4d,8,0.9828,20.5913,3.2520,0.9968,0.7685,0.7709,179,2,13,7
cuda,sage,0,0.0000
cuda,shufflenet_v2_x1_0,128,0.9958,30.7228,3.5266,0.9551,1.6569,1.7348,275,2,13,7
cuda,soft_actor_critic,256,0.8380,1.9746,0.4353,0.9995,0.0329,0.0329,21,3,12,7
cuda,speech_transformer,32,0.9776,65.1804,6.0776,0.9915,1.0199,1.0286,773,12,23,9
cuda,squeezenet1_1,32,0.9805,12.0728,1.0591,0.9695,0.5609,0.5786,70,2,13,7
cuda,tacotron2,0,0.0000
cuda,timm_efficientnet,32,0.9358,34.2847,5.0084,0.9866,1.6618,1.6843,366,2,15,7
cuda,timm_nfnet,128,0.9863,120.4276,5.7613,0.9071,7.0590,7.7819,619,2,13,7
cuda,timm_regnet,32,0.9168,60.6424,6.8133,0.9913,3.7124,3.7450,524,2,15,7
cuda,timm_resnest,32,0.9925,24.3610,1.8533,0.9887,1.4471,1.4637,152,2,13,7
cuda,timm_vision_transformer,32,0.9900,31.9889,3.3653,0.9907,1.9777,1.9963,377,2,13,7
cuda,timm_vision_transformer_large,32,0.9980,465.1787,9.4853,0.9992,36.1734,36.2016,1217,2,13,7
cuda,timm_vovnet,32,0.8484,28.8926,3.6238,0.9892,1.5828,1.6001,212,2,15,7
cuda,torchrec_dlrm,0,0.0000
cuda,tts_angular,64,0.9135,6.7913,0.4524,0.9983,0.3462,0.3468,8,4,15,8
cuda,vgg16,64,0.9993,66.2419,0.6313,0.9923,4.7098,4.7464,44,2,13,7
cuda,yolov3,16,0.9963,68.6624,5.0099,0.9838,4.2951,4.3657,266,2,13,7
