dev,name,batch_size,speedup,abs_latency,compilation_latency,compression_ratio,eager_peak_mem,dynamo_peak_mem,calls_captured,unique_graphs,graph_breaks,unique_graph_breaks
cuda,BERT_pytorch,16,2.0803,27.5932,68.9023,1.1717,2.5823,2.2039,542,2,15,7
cuda,Background_Matting,4,1.2083,104.1258,68.4243,1.0403,6.0311,5.7977,187,2,13,7
cuda,LearningToPaint,96,1.0631,10.7184,44.7587,0.7463,0.6671,0.8940,75,2,13,7
cuda,Super_SloMo,6,1.2339,64.4296,43.2896,1.2082,3.7536,3.1069,378,2,13,7
cuda,alexnet,128,1.1367,8.6330,16.0938,0.9390,1.3373,1.4241,26,2,13,7
cuda,attention_is_all_you_need_pytorch,256,1.4918,36.4712,75.0016,1.1266,3.5980,3.1937,552,2,13,7
cuda,dcgan,32,0.8192,2.5602,7.8768,0.9645,0.0573,0.0594,17,2,13,7
cuda,demucs,4,1.0384,51.5601,30.9682,0.9656,4.3409,4.4953,89,7,16,8
cuda,densenet121,4,1.0371,52.4059,136.2517,0.7998,0.4996,0.6247,435,2,13,7
cuda,dlrm,1024,1.1384,3.6244,7.5179,1.0009,4.3716,4.3678,40,2,7,5
cuda,drq,1,0.9333,4.1854,10.6084,0.9573,0.0620,0.0647,34,3,12,7
cuda,fastNLP_Bert,6,1.4869,35.3890,50.4297,1.1593,4.1226,3.5562,451,9,18,9
cuda,functorch_dp_cifar10,64,1.3476,7.5329,56.3704,0.4424,0.1920,0.4338,73,2,13,7
cuda,gat,0,0.0000
cuda,gcn,0,0.0000
cuda,hf_Albert,8,2.2931,29.7128,38.5278,1.2557,5.8962,4.6955,440,2,12,7
cuda,hf_Bart,4,1.5821,36.4932,49.7990,0.9173,4.8273,5.2623,646,2,12,7
cuda,hf_Bert,4,1.5868,25.8377,39.0286,1.0258,3.3479,3.2638,371,2,12,7
cuda,hf_Bert_large,4,1.5649,53.2408,64.4897,1.0725,7.9635,7.4255,719,2,12,7
cuda,hf_BigBird,2,1.6534,116.0408,128.1795,1.1191,5.2433,4.6854,2911,67,69,12
cuda,hf_DistilBert,8,1.5576,21.6204,31.3645,0.9945,3.1594,3.1769,207,2,12,7
cuda,hf_GPT2,4,1.8264,29.0662,41.4933,1.0713,4.6124,4.3056,639,2,12,7
cuda,hf_GPT2_large,4,1.7362,120.4589,105.5657,1.1280,22.5399,19.9817,1887,2,12,7
cuda,hf_Longformer,0,0.0000
cuda,hf_Reformer,4,1.0657,76.0269,40.9656,0.8022,1.4973,1.8664,502,48,107,14
cuda,hf_T5,8,1.9844,90.5604,50.4546,1.1719,14.3347,12.2322,811,2,12,7
cuda,hf_T5_large,2,1.8581,120.3875,172.9963,1.1680,15.8642,13.5825,2935,2,12,7
cuda,lennard_jones,1000,0.8785,1.7734,6.0867,0.9997,0.0182,0.0183,13,2,13,7
cuda,mnasnet1_0,32,1.0324,22.6156,105.2359,0.8071,0.8770,1.0866,156,2,13,7
cuda,mobilenet_v2,96,1.5229,30.8587,129.5846,1.1017,4.0305,3.6584,157,2,13,7
cuda,mobilenet_v3_large,32,1.1896,22.1227,137.4203,0.8092,0.8881,1.0976,191,2,13,7
cuda,moco,0,0.0000
cuda,nvidia_deeprecommender,256,1.0181,10.0392,9.6057,0.8931,3.3858,3.7912,17,2,13,7
cuda,phlippe_densenet,128,1.0071,23.4355,163.1234,0.8659,0.7554,0.8724,190,2,13,7
cuda,phlippe_resnet,128,0.9995,8.9496,32.7975,0.3395,0.1286,0.3788,75,2,13,7
cuda,pytorch_CycleGAN_and_pix2pix,1,1.7675,7.8987,37.3867,0.6004,0.3358,0.5593,95,2,13,7
cuda,pytorch_stargan,16,1.2530,11.8340,45.8186,0.8893,0.6652,0.7480,60,2,13,7
cuda,pytorch_struct,200,1.0978,4.2655,20.0937,0.7362,0.7145,0.9705,45,2,13,7
cuda,pytorch_unet,1,1.3522,29.4556,59.8500,0.9308,1.9769,2.1238,75,2,13,7
cuda,resnet152,32,1.0157,63.4140,106.6659,0.9398,3.6355,3.8684,519,2,13,7
cuda,resnet18,16,0.9546,9.7367,44.6630,0.6097,0.3772,0.6187,73,2,13,7
cuda,resnet50,32,1.0564,25.0952,63.4379,0.8854,1.7675,1.9962,179,2,13,7
cuda,resnext50_32x4d,8,0.9624,20.9679,53.2267,0.7753,0.7745,0.9990,179,2,13,7
cuda,sage,0,0.0000
cuda,shufflenet_v2_x1_0,128,1.1916,26.8651,82.8947,0.9666,1.6609,1.7183,275,2,13,7
cuda,soft_actor_critic,256,0.8875,2.5391,7.4349,0.9973,0.0329,0.0329,21,3,12,7
cuda,speech_transformer,32,1.5675,37.0366,77.4673,0.8690,1.0199,1.1736,773,12,23,9
cuda,squeezenet1_1,32,1.2746,8.7205,25.4622,0.9087,0.5616,0.6180,70,2,13,7
cuda,tacotron2,0,0.0000
cuda,timm_efficientnet,32,1.0711,30.2873,142.7430,1.0060,1.6597,1.6498,366,2,15,7
cuda,timm_nfnet,128,1.4692,80.2167,72.9713,1.0734,7.0624,6.5796,619,2,13,7
cuda,timm_regnet,32,1.0076,58.4967,70.7055,0.9496,3.6951,3.8912,524,2,15,7
cuda,timm_resnest,32,1.4980,16.1520,99.3490,0.9675,1.4491,1.4978,152,2,13,7
cuda,timm_vision_transformer,32,1.3966,20.2943,50.2232,0.8835,1.9777,2.2385,377,2,13,7
cuda,timm_vision_transformer_large,32,1.0816,428.5721,125.2624,0.9724,36.1734,37.2001,1217,2,13,7
cuda,timm_vovnet,32,0.9283,26.8291,60.9610,0.8869,1.5828,1.7846,212,2,15,7
cuda,torchrec_dlrm,0,0.0000
cuda,tts_angular,64,0.9356,6.6776,5.9045,0.9983,0.3462,0.3468,8,4,15,8
cuda,vgg16,64,1.2536,52.8905,15.6467,0.9808,4.7098,4.8020,44,2,13,7
cuda,yolov3,16,1.1984,57.1448,117.6742,1.0113,4.2942,4.2460,266,2,13,7
