dev,name,batch_size,_compile,OutputGraph.call_user_compiler,create_aot_dispatcher_function,compile_fx.<locals>.fw_compiler_base,GraphLowering.run,GraphLowering.compile_to_module,Scheduler.__init__,Scheduler.codegen,WrapperCodeGen.generate,CachingAutotuner.benchmark_all_configs,compile_fx.<locals>.bw_compiler
cuda,AlbertForMaskedLM,4,20.679694,18.094315,15.035677,8.219856,2.266694,13.560718,2.991917,1.802438,0.153091,6.716987,10.538981
cuda,AlbertForQuestionAnswering,4,20.927129,18.379880,15.164609,8.355535,2.470133,13.375358,2.955727,1.518887,0.148175,3.259388,10.153883
cuda,BartForCausalLM,4,26.706527,20.876524,17.421367,9.720611,2.049402,14.379188,3.794259,1.916525,0.289142,2.551511,9.683882
cuda,BartForConditionalGeneration,2,55.579401,42.945016,39.563430,20.373862,4.943576,25.103953,9.826679,4.755426,1.235214,0.447981,17.923630
cuda,BertForMaskedLM,16,25.710064,20.227810,17.401034,9.817083,2.470875,13.754127,3.767989,1.934552,0.289243,2.963026,9.496703
cuda,BertForQuestionAnswering,16,25.827286,20.467834,17.622247,10.064517,2.454909,13.985394,3.751791,1.930266,0.285310,2.636009,9.453709
cuda,BlenderbotForCausalLM,4,41.672852,30.358693,27.579334,13.079025,4.233974,20.172502,7.718332,3.885093,0.873472,8.723429,17.258552
cuda,BlenderbotSmallForCausalLM,64,18.247004,14.573009,10.950507,5.976278,1.391298,9.491770,2.230172,1.299001,0.166900,3.861546,6.916398
cuda,BlenderbotSmallForConditionalGeneration,64,39.115096,30.996043,27.277730,14.857687,3.677478,19.460403,6.125538,3.677240,0.650747,2.298555,13.587343
cuda,CamemBert,16,27.757833,22.132831,18.357404,10.531370,2.750327,13.998107,3.813447,1.977773,0.293929,1.616202,9.424175
cuda,DebertaForMaskedLM,4,35.490523,28.411927,24.939774,17.512311,2.181111,26.288012,4.686252,2.277351,0.287362,3.098728,14.265766
cuda,DebertaForQuestionAnswering,8,34.890018,27.369717,24.109739,16.646561,2.188149,25.638269,4.727998,2.531670,0.288064,4.038517,14.525574
cuda,DebertaV2ForMaskedLM,1,49.702302,34.741474,31.863264,18.120655,3.478296,24.263828,5.794438,3.887679,0.543423,1.466520,16.038982
cuda,DebertaV2ForQuestionAnswering,2,48.660513,33.721620,30.844085,16.671360,3.591498,22.658020,7.139973,4.130970,0.563908,16.687664
cuda,DistilBertForMaskedLM,128,19.003736,16.549005,12.625878,8.731241,1.360818,12.560714,2.200390,1.087240,0.118635,8.885602,6.839506
cuda,DistilBertForQuestionAnswering,256,19.015456,16.597107,12.731343,8.849980,1.603398,12.861706,2.001417,1.076596,0.115760,9.996331,7.241294
cuda,DistillGPT2,16,17.347398,14.899680,11.115736,7.641573,1.260749,11.796237,2.212103,0.985473,0.109757,4.439380,6.879814
cuda,ElectraForCausalLM,32,27.363171,22.146574,18.415813,10.675079,2.515723,19.567286,4.044739,2.056605,0.295737,10.398247,14.548850
cuda,ElectraForQuestionAnswering,64,27.593166,21.980155,18.164360,10.391565,2.728879,19.399375,3.861673,1.969500,0.294901,3.064575,14.904479
cuda,GPT2ForSequenceClassification,4,25.238884,20.493896,16.808043,10.000675,2.388554,12.895593,3.879234,1.847167,0.257095,2.377113,8.110665
cuda,LayoutLMForMaskedLM,16,27.708862,21.840764,18.303604,10.342531,2.550313,14.726315,3.892719,2.003208,0.299781,2.967506,10.129847
cuda,LayoutLMForSequenceClassification,16,27.200913,21.360744,18.022332,10.157016,2.514037,16.058177,4.653154,2.242732,0.288014,7.076275,11.543771
cuda,M2M100ForConditionalGeneration,16,54.034405,41.574144,38.651375,19.510720,5.708984,28.671526,10.770659,5.860794,1.415878,56.726136,23.205001
cuda,MBartForCausalLM,4,28.223921,22.382344,19.054097,11.567435,2.232602,16.577057,3.970830,2.017393,0.314156,2.403192,10.507933
cuda,MBartForConditionalGeneration,2,57.868464,45.058234,41.930800,22.849405,5.799901,28.862247,10.591789,5.028583,1.345128,0.388747,20.153783
cuda,MT5ForConditionalGeneration,16,41.812130,33.056729,29.931365,15.717956,4.920208,21.726182,5.987221,2.764737,0.486024,75.034208,16.364565
cuda,MegatronBertForCausalLM,4,45.563358,34.451033,31.366257,16.271147,4.610348,21.691849,8.450238,4.019681,0.906716,3.211448,17.106895
cuda,MegatronBertForQuestionAnswering,8,45.817696,34.934158,31.771460,16.504397,5.176044,22.885909,8.404365,3.975666,0.922205,2.917755,18.161450
cuda,MobileBertForMaskedLM,64,70.553123,53.127796,50.062676,22.755650,6.978310,35.524800,14.434290,7.646615,3.714415,41.490418,31.641623
cuda,MobileBertForQuestionAnswering,128,70.225284,52.789848,49.681956,22.289934,6.847957,36.713849,15.036768,7.668652,3.683903,34.080449,33.500641
cuda,OPTForCausalLM,2,24.122927,19.619123,16.589134,9.635696,2.022038,13.783038,4.088381,2.025408,0.292068,3.277817,9.260140
cuda,PLBartForCausalLM,8,16.929188,14.030817,11.048690,7.211548,1.322231,11.311580,2.002435,1.014517,0.114483,1.549339,7.018275
cuda,PLBartForConditionalGeneration,4,32.674649,26.269964,23.354382,13.537691,2.839587,18.431129,5.168173,2.596127,0.433689,2.517934,11.985423
cuda,PegasusForCausalLM,32,23.487763,17.792020,14.783306,7.514850,2.221283,12.237311,3.901222,1.997333,0.309211,3.124229,9.934804
cuda,PegasusForConditionalGeneration,32,45.467606,39.483583,36.360276,17.252062,5.729644,23.386170,10.669641,4.966582,1.355664,1.693689,20.370046
cuda,RobertaForCausalLM,16,26.117347,20.617259,17.784735,10.041348,2.517617,12.831598,3.885317,1.993523,0.294543,2.006715,8.413612
cuda,RobertaForQuestionAnswering,16,26.076139,20.590369,17.728087,9.973874,2.482400,12.482582,3.794146,1.939388,0.280427,1.323721,8.127411
cuda,Speech2Text2ForCausalLM,256,14.681274,11.834699,8.805797,5.366038,0.993307,9.226218,2.121248,1.001748,0.114927,3.696248,6.273816
cuda,T5ForConditionalGeneration,4,30.099676,24.536050,21.631703,12.183429,2.816373,16.243940,4.813802,1.998284,0.304152,9.002509,10.453509
cuda,T5Small,4,29.641766,24.113908,21.152620,11.754351,2.859024,15.770830,4.854004,2.020525,0.303074,8.915553,10.449806
cuda,TrOCRForCausalLM,32,25.792673,20.002141,16.921380,9.578419,2.012453,14.303003,3.767720,1.902716,0.290969,1.348512,9.694826
cuda,XGLMForCausalLM,8,45.558185,35.859371,33.037333,17.641799,5.062207,25.069115,8.483818,4.165998,0.912486,66.318841,19.288634
cuda,XLNetLMHeadModel,8,62.186043,52.039250,49.157323,27.249592,6.218558,31.477642,15.897569,4.378129,0.932192,11.476930,18.311967
cuda,YituTechConvBert,16,36.448558,28.848767,25.649137,13.907432,3.986697,20.011018,6.173383,3.218579,0.506803,15.017631,14.690171
