dev,name,batch_size,speedup,abs_latency,compilation_latency,compression_ratio,eager_peak_mem,dynamo_peak_mem,calls_captured,unique_graphs,graph_breaks,unique_graph_breaks
cuda,AlbertForMaskedLM,4,0.9992,384.6217,5.8304,0.9222,17.1890,18.6388,439,1,4,3
cuda,AlbertForQuestionAnswering,4,1.0019,381.4124,5.8209,0.9399,16.7994,17.8733,439,1,4,3
cuda,AllenaiLongformerBase,4,0.5953,417.9037,27.5075,0.9301,11.2370,12.0818,1738,4,7,4
cuda,BartForCausalLM,4,0.9429,132.0620,7.3476,0.9067,11.9283,13.1553,482,1,4,3
cuda,BartForConditionalGeneration,2,0.9752,154.3866,17.9532,0.8824,13.7366,15.5669,1258,1,4,3
cuda,BertForMaskedLM,16,0.9550,141.1939,8.1535,0.9392,15.4503,16.4508,370,1,4,3
cuda,BertForQuestionAnswering,16,0.9763,113.6567,7.8679,0.9325,11.5224,12.3567,377,1,4,3
cuda,BlenderbotForCausalLM,4,0.9764,99.0228,14.3448,1.0017,31.3480,31.2944,935,1,4,3
cuda,BlenderbotSmallForCausalLM,64,0.8963,72.4994,4.9050,0.8375,9.8731,11.7888,327,1,4,3
cuda,BlenderbotSmallForConditionalGeneration,64,0.9307,131.3278,11.7519,0.8954,14.2441,15.9080,840,1,4,3
cuda,CamemBert,16,0.9581,141.7372,7.9338,0.9372,15.6524,16.7013,377,1,4,3
cuda,DebertaForMaskedLM,4,0.6099,97.9876,11.5927,0.9598,5.9448,6.1940,720,92,154,12
cuda,DebertaForQuestionAnswering,8,0.7938,103.4440,11.3682,1.0317,7.5693,7.3366,727,92,154,12
cuda,DebertaV2ForMaskedLM,1,0.5476,180.1462,20.1458,0.9876,12.4135,12.5688,925,176,277,12
cuda,DebertaV2ForQuestionAnswering,2,0.6311,167.7348,19.7868,0.9724,12.3927,12.7445,932,176,277,12
cuda,DistilBertForMaskedLM,128,0.9459,129.4650,3.9936,0.8830,15.0926,17.0933,206,1,4,3
cuda,DistilBertForQuestionAnswering,256,0.9913,146.7053,3.9722,0.9594,13.8149,14.3997,214,1,4,3
cuda,DistillGPT2,16,0.9424,127.8285,3.8248,0.8755,14.7986,16.9039,330,1,4,3
cuda,ElectraForCausalLM,32,0.9259,114.4821,8.1535,0.8827,15.1264,17.1358,375,1,4,3
cuda,ElectraForQuestionAnswering,64,0.9822,128.7657,8.0733,0.9522,14.2891,15.0057,378,1,4,3
cuda,GPT2ForSequenceClassification,4,0.9621,106.3233,7.2723,0.8955,11.3622,12.6876,644,1,4,3
cuda,GoogleFnet,16,0.9516,107.0567,4.2367,0.9205,12.1376,13.1863,232,1,4,3
cuda,LayoutLMForMaskedLM,16,0.9593,142.9237,8.5167,0.9393,15.4801,16.4806,396,1,4,3
cuda,LayoutLMForSequenceClassification,16,0.9729,117.0278,8.3351,0.9327,11.5557,12.3899,394,1,4,3
cuda,M2M100ForConditionalGeneration,16,0.9650,127.4459,18.1968,0.8430,12.6466,15.0017,1271,1,4,3
cuda,MBartForCausalLM,4,0.9552,128.9927,7.5356,0.9069,11.9452,13.1721,482,1,4,3
cuda,MBartForConditionalGeneration,2,0.9783,152.2272,18.4240,0.8820,13.7535,15.5929,1263,1,4,3
cuda,MT5ForConditionalGeneration,16,0.8826,99.8253,14.9810,0.8690,13.0997,15.0742,1173,1,4,3
cuda,MegatronBertForCausalLM,4,0.9633,105.1847,15.8459,0.8909,10.6300,11.9320,721,1,4,3
cuda,MegatronBertForQuestionAnswering,8,0.9707,177.7151,15.0277,0.9167,16.7231,18.2428,724,1,4,3
cuda,MobileBertForMaskedLM,64,0.8185,158.2000,31.9127,0.8258,9.4875,11.4882,1447,1,3,2
cuda,MobileBertForQuestionAnswering,128,0.8903,158.8520,31.3926,0.9908,10.5072,10.6043,1451,1,3,2
cuda,OPTForCausalLM,2,0.9301,183.8040,7.1431,0.9236,15.8984,17.2141,534,1,4,3
cuda,PLBartForCausalLM,8,0.9439,126.9363,3.9180,0.8876,15.3250,17.2657,254,1,4,3
cuda,PLBartForConditionalGeneration,4,0.9488,128.4826,9.4675,0.9321,15.6113,16.7479,658,1,4,3
cuda,PegasusForCausalLM,32,0.9355,91.0955,7.1996,0.8813,9.1097,10.3366,481,1,4,3
cuda,PegasusForConditionalGeneration,32,0.9623,179.0067,14.9970,0.9169,15.7523,17.1794,1248,1,3,2
cuda,RobertaForCausalLM,16,0.9608,148.6330,7.7208,0.9389,15.4441,16.4488,381,1,4,3
cuda,RobertaForQuestionAnswering,16,0.9765,114.0710,7.6196,0.9325,11.5225,12.3568,384,1,4,3
cuda,Speech2Text2ForCausalLM,256,0.9165,68.7258,3.7318,0.8419,9.1300,10.8439,263,1,4,3
cuda,T5ForConditionalGeneration,4,0.8161,128.1322,10.5587,0.9589,10.9163,11.3841,798,1,4,3
cuda,T5Small,4,0.8149,128.4199,10.4156,0.9589,10.9163,11.3841,798,1,4,3
cuda,TrOCRForCausalLM,32,0.9399,178.4170,7.4695,0.8737,16.9658,19.4184,481,1,4,3
cuda,XGLMForCausalLM,8,0.9481,85.6389,14.4233,0.8180,11.0691,13.5325,1001,1,4,3
cuda,XLNetLMHeadModel,8,0.9655,394.4282,21.9080,0.9738,20.6621,21.2180,764,1,6,4
cuda,YituTechConvBert,16,0.9592,161.6164,11.5172,0.9351,14.4224,15.4227,634,1,4,3
