dev,name,batch_size,_compile,OutputGraph.call_user_compiler,create_aot_dispatcher_function,compile_fx.<locals>.fw_compiler_base,GraphLowering.run,GraphLowering.compile_to_module,Scheduler.__init__,Scheduler.codegen,WrapperCodeGen.generate,cudagraphify,CachingAutotuner.benchmark_all_configs,compile_fx.<locals>.bw_compiler
cuda,BERT_pytorch,16,25.401256,22.245881,18.664802,11.293811,2.500543,15.368957,4.064429,1.794834,0.248752,10.064844,24.779351,19.378016
cuda,Background_Matting,4,21.321987,19.241184,16.004933,9.881262,2.408387,15.450475,5.105102,2.734689,0.203349,13.221772,28.643423,23.538180
cuda,LearningToPaint,96,14.163554,13.261532,8.733982,6.226231,0.952842,9.628470,1.101892,0.663913,0.065529,11.838633,22.646085,17.169349
cuda,Super_SloMo,6,21.678646,19.524873,16.350653,10.420704,2.698954,14.098902,4.990714,2.408109,0.118833,8.208860,7.248944
cuda,alexnet,128,6.536407,6.224470,2.501153,2.182762,0.171273,5.928530,0.847640,0.278365,0.011939,4.299825,8.333536,4.147512
cuda,attention_is_all_you_need_pytorch,256,24.922984,22.028705,19.089478,11.469671,2.274604,16.648028,4.328711,1.934442,0.326933,14.545279,31.425375,24.808125
cuda,dcgan,32,5.698300,5.410805,2.383964,1.954293,0.318798,2.928604,0.166462,0.095980,0.010241,0.118027,1.575402
cuda,demucs,4,13.652261,12.824722,9.023334,8.274354,0.418548,13.072104,0.892103,0.520187,0.031698,5.978275,8.757915,11.530395
cuda,densenet121,4,51.403400,46.499029,42.109408,25.742069,6.776580,33.903958,12.523612,5.592631,0.653286,27.931847,54.413936,49.452294
cuda,dlrm,1024,5.031731,4.726900,1.986779,1.560116,0.297451,2.849136,0.332860,0.131244,0.014019,0.123730,1.891571
cuda,drq,1,8.164239,7.683872,3.454832,3.087677,0.116951,4.855312,0.119663,0.071876,0.012437,0.405590,2.433945
cuda,fastNLP_Bert,6,26.713384,23.377035,19.670283,13.527749,1.941674,17.895739,3.510257,1.726990,0.263111,0.353549,6.673723,9.098655
cuda,functorch_dp_cifar10,64,11.842387,11.089637,7.868089,5.286494,1.238718,10.453601,1.945973,0.833694,0.053174,25.918061,34.512662,33.380792
cuda,hf_Albert,8,17.985584,16.027385,12.952339,7.426639,1.749506,11.463742,2.916495,1.403091,0.144595,0.002594,9.280615,7.899385
cuda,hf_Bart,4,27.346263,23.525053,20.363347,11.924668,2.509147,17.181182,4.264612,2.089295,0.381415,3.267132,3.343895,14.267518
cuda,hf_Bert,4,21.234297,17.885804,14.725965,8.767657,1.874904,12.749878,3.273866,1.550959,0.262196,0.002523,3.368829,8.223625
cuda,hf_Bert_large,4,35.784677,28.328608,25.286540,13.455717,3.631859,18.572458,6.277614,2.993389,0.730743,0.002777,3.118720,13.725902
cuda,hf_BigBird,2,70.159717,59.946239,56.628013,31.333921,9.109344,47.199881,20.064552,9.871280,0.563736,14.246395,8.220385,48.065969
cuda,hf_DistilBert,8,14.802541,13.238698,10.200785,6.933631,0.996871,10.169489,1.532790,0.857113,0.109511,2.029652,5.421903,7.683114
cuda,hf_GPT2,4,21.921812,18.736507,15.651901,10.020350,1.956248,12.547718,3.210993,1.818064,0.231372,0.257669,7.877366,6.952360
cuda,hf_Reformer,4,26.720338,23.295393,20.210681,18.201567,0.741661,21.616884,1.181851,0.671082,0.063433,0.472146,5.406911,5.514580
cuda,hf_T5,8,27.437871,23.058913,19.258982,10.889972,2.336545,15.252866,3.965511,1.635567,0.283200,2.057791,6.473352,11.859404
cuda,hf_T5_large,2,91.715712,70.206472,66.565804,34.565249,10.088793,44.499684,17.952078,6.230750,2.479409,3.677103,26.167456,35.374059
cuda,lennard_jones,1000,4.478711,4.224633,1.402581,1.195140,0.030548,2.040937,0.071210,0.037282,0.005872,0.104561,1.044206
cuda,mnasnet1_0,32,21.939613,20.047729,16.774292,10.891366,2.301936,15.064697,3.336171,2.018363,0.188413,38.303399,74.315187,47.404075
cuda,mobilenet_v2,96,24.109545,22.173737,18.836518,12.098871,2.456902,15.869389,3.753670,1.865948,0.209852,41.497822,91.597790,50.342828
cuda,mobilenet_v3_large,32,23.299743,21.223666,17.902939,11.623474,2.510379,17.069263,3.917318,1.882671,0.213984,63.951033,100.306055,74.637735
cuda,nvidia_deeprecommender,256,4.960929,4.639379,1.703211,1.358039,0.112421,4.221196,0.084558,0.059226,0.008368,0.617422,3.728210,0.485725
cuda,phlippe_densenet,128,25.360066,23.327411,19.952089,13.865827,2.440252,19.543059,4.218044,2.161228,0.203773,54.902246,124.974315,65.600134
cuda,phlippe_resnet,128,11.149680,10.285479,7.100985,4.756500,0.875251,7.104699,0.896571,0.610289,0.059701,6.184976,13.689068,10.314099
cuda,pytorch_CycleGAN_and_pix2pix,1,11.491983,10.713372,7.644578,5.114217,1.105378,8.213169,1.844383,0.894003,0.057807,4.382601,14.242320,9.496760
cuda,pytorch_stargan,16,11.979679,11.163724,7.997779,5.217788,0.912366,8.313717,1.116771,0.491528,0.053188,14.131659,28.643002,19.122077
cuda,pytorch_struct,200,7.154675,6.698748,3.880189,3.281871,0.149604,6.894336,0.179450,0.121992,0.019170,0.002435,13.276940,3.994778
cuda,pytorch_unet,1,13.887613,12.830420,9.775036,6.806867,1.097988,10.539041,2.161336,1.031240,0.075363,13.269369,30.333797,19.208532
cuda,resnet152,32,45.719819,40.188637,36.978324,18.470881,6.498258,20.982366,8.622743,4.057387,0.880120,16.844577,34.461475,32.996825
cuda,resnet18,16,12.603898,11.722796,8.573400,6.146958,0.976982,9.726593,1.527574,0.936938,0.063203,10.784570,23.095013,16.269049
cuda,resnet50,32,20.771881,18.797285,15.610294,9.510469,2.368012,12.640562,3.141715,1.889841,0.185704,14.561663,31.457597,22.750014
cuda,resnext50_32x4d,8,19.775251,17.810280,14.642676,8.568241,2.179008,11.805858,2.915962,1.642394,0.186967,11.642232,20.914243,19.702448
cuda,shufflenet_v2_x1_0,128,22.504083,20.358633,17.233446,10.376465,2.567771,14.642964,4.345708,2.518730,0.247344,20.619566,44.471083,30.192572
cuda,soft_actor_critic,256,5.262927,4.957081,2.186169,1.989389,0.056610,3.383365,0.052670,0.039512,0.006237,0.221801,1.735290
cuda,speech_transformer,32,28.927029,25.319845,22.542580,14.688361,2.450331,21.519132,5.024058,2.232390,0.295816,0.002829,27.347603,12.346531
cuda,squeezenet1_1,32,6.858887,6.232572,3.157515,2.354120,0.387545,6.683630,1.183019,0.597265,0.032041,9.773870,14.776351,9.623968
cuda,timm_efficientnet,32,25.833810,22.436530,19.130372,11.754418,2.913097,17.521316,4.477383,2.130299,0.266573,64.541379,99.645361,76.279800
cuda,timm_nfnet,128,24.484258,20.077780,16.739842,8.870256,3.559129,15.030354,4.601010,2.092993,0.254386,23.944479,29.140357,36.989443
cuda,timm_regnet,32,26.942181,21.740384,18.337083,10.094197,3.514642,13.492315,3.836293,1.975267,0.316082,25.101166,29.873156,35.379818
cuda,timm_resnest,32,16.524909,15.322676,12.144030,9.031862,1.282580,14.247237,3.067250,1.485022,0.092706,41.666114,68.890462,49.372141
cuda,timm_vision_transformer,32,17.559057,15.545059,12.255941,7.941609,1.350758,12.441514,2.575760,1.428285,0.180014,10.170336,14.846583,17.767574
cuda,timm_vovnet,32,20.219942,17.535672,14.149451,9.161234,1.895705,14.364961,3.665901,1.781951,0.138184,15.842716,30.131851,24.893531
cuda,tts_angular,64,4.471465,4.196063,1.370770,1.247440,0.047772,2.204590,0.030094,0.018564,0.001964,0.102293,1.135160
cuda,vgg16,64,6.745971,6.316659,2.764257,2.272933,0.232714,5.930348,0.912516,0.351644,0.019303,4.636957,8.719245,4.450936
cuda,yolov3,16,31.516938,28.146410,24.817771,15.559766,3.912344,20.887578,6.565929,2.968704,0.346076,32.075115,68.480121,45.038760
