dev,name,batch_size,_compile,OutputGraph.call_user_compiler,create_aot_dispatcher_function,compile_fx.<locals>.fw_compiler_base,GraphLowering.run,GraphLowering.compile_to_module,Scheduler.__init__,Scheduler.codegen,WrapperCodeGen.generate,CachingAutotuner.benchmark_all_configs,compile_fx.<locals>.bw_compiler
cuda,adv_inception_v3,128,36.541591,32.674817,29.163099,18.119038,5.130631,24.010768,9.262073,4.966429,0.541667,97.836167,15.790586
cuda,beit_base_patch16_224,64,19.362381,16.784254,13.215667,8.258574,1.566940,12.448679,3.439833,1.701506,0.228930,2.887229,7.803906
cuda,botnet26t_256,128,24.267088,22.000839,18.385875,14.000288,2.485263,19.370745,6.487309,2.423115,0.125914,54.320950,9.726311
cuda,cait_m36_384,4,47.980042,39.439738,36.511197,18.072521,5.491342,29.894566,12.829503,6.461415,1.939815,21.068465,25.621275
cuda,coat_lite_mini,128,23.047956,20.766026,17.325435,12.314799,2.354374,22.324128,6.690187,2.588107,0.203397,39.035376,14.271740
cuda,convit_base,64,21.391095,18.668075,15.245186,9.366366,2.323850,15.423360,4.525877,2.076518,0.248511,8.499580,10.687566
cuda,convmixer_768_32,32,20.016068,18.535204,14.796354,7.089019,2.924860,9.400024,2.547617,1.745507,0.256344,9.006082,2.582356
cuda,convnext_base,64,22.940212,18.399297,15.417149,8.828491,3.289337,16.148134,4.425797,2.683463,0.435078,6.916952,13.693215
cuda,crossvit_9_240,128,27.888409,23.936671,20.209797,11.756692,2.996602,21.679417,6.189910,3.026946,0.384957,33.105559,16.294664
cuda,cspdarknet53,64,28.038177,23.226105,19.696436,11.356764,3.362806,15.197047,4.495928,2.354300,0.310436,52.417286,10.604817
cuda,deit_base_distilled_patch16_224,64,16.425849,14.198907,11.460813,7.097438,1.303346,11.789251,2.739340,1.477103,0.188913,3.635414,7.974790
cuda,dla102,128,36.147098,31.822786,28.882561,15.660052,5.613377,18.785272,6.931829,3.538262,0.521310,37.484052,14.141701
cuda,dm_nfnet_f0,128,24.194897,19.794796,16.816629,8.527473,3.760585,14.280065,4.692177,2.108534,0.251840,28.768123,13.343282
cuda,dpn107,32,43.948827,36.711709,33.116535,17.941487,5.564377,22.915660,7.294558,3.989541,0.519058,28.233615,16.898548
cuda,eca_botnext26ts_256,128,25.780619,23.334375,19.670238,14.680270,3.271306,18.855999,5.830417,2.640602,0.143942,60.059687,9.503056
cuda,ese_vovnet19b_dw,128,16.231538,14.196938,11.069073,8.150804,1.436445,12.555934,3.308008,1.414157,0.102444,48.944242,7.130221
cuda,fbnetc_100,128,26.908664,23.365885,20.481101,12.864881,3.387383,16.419265,4.414635,2.535907,0.273466,94.965054,10.172980
cuda,fbnetv3_b,128,39.037022,33.097480,30.267475,17.302817,6.246669,22.156237,7.284323,4.185130,0.600024,102.202904,16.512791
cuda,gernet_l,128,23.602937,19.499313,15.931996,9.315351,2.785839,12.033322,2.974140,1.679496,0.214228,44.305605,8.224351
cuda,ghostnet_100,128,37.694670,32.235984,28.691363,17.687807,4.977882,25.729279,7.544221,4.250332,0.462244,170.727574,17.643765
cuda,gluon_inception_v3,128,37.723830,33.463699,29.732111,18.532760,5.487791,24.559005,9.354033,5.035234,0.545249,97.378739,16.084057
cuda,gluon_xception65,32,40.137845,34.432464,30.902030,15.811409,5.679043,17.412875,6.117993,3.159812,0.663292,29.677601,13.712678
cuda,gmixer_24_224,128,24.650952,20.724939,17.039749,9.693769,2.129650,16.121647,5.342247,2.516987,0.372345,6.169439,11.601925
cuda,gmlp_s16_224,128,24.934438,21.424111,17.849229,10.511344,2.685907,18.353295,5.309822,2.602732,0.370302,12.475345,13.674535
cuda,hrnet_w18,128,100.958629,92.248000,88.525416,46.017826,18.919271,53.038662,26.157840,10.902659,4.746881,88.053437,42.656456
cuda,inception_v3,128,37.334420,33.438843,29.698576,18.573416,5.216853,24.675625,9.384367,5.072570,0.556172,97.484243,16.143049
cuda,jx_nest_base,32,34.051548,29.115211,25.409309,15.923668,3.422706,25.557431,8.915414,3.687137,0.528203,18.968346,17.240607
cuda,lcnet_050,128,17.006747,15.329289,12.357189,8.499779,2.296221,11.724176,2.631712,1.507205,0.112631,69.085038,7.088935
cuda,mixer_b16_224,128,14.985549,13.255107,10.253081,6.683109,1.196814,10.601753,2.138654,1.036951,0.131729,5.213187,6.594850
cuda,mixnet_l,128,34.873934,28.299107,25.174612,15.298000,4.155440,21.205672,5.975212,3.357184,0.472891,94.924690,14.170848
cuda,mnasnet_100,128,23.099953,20.281878,17.107236,11.440405,2.657531,15.132925,3.982255,1.837996,0.195181,90.400383,8.795044
cuda,mobilenetv2_100,128,23.990058,21.143995,17.898410,11.855130,2.810293,15.451849,3.804329,1.855576,0.205702,91.190148,9.189853
cuda,mobilenetv3_large_100,128,24.430282,21.567577,18.371422,12.352299,3.263033,17.627671,4.233231,2.109568,0.229067,115.651255,11.114010
cuda,mobilevit_s,64,37.823934,34.104668,30.989767,23.642053,4.268209,35.617850,13.046010,6.204160,0.323844,129.124460,19.289034
cuda,nfnet_l0,128,23.197011,19.111470,15.867700,8.550454,2.752323,14.784703,4.571665,1.993378,0.247145,37.247294,12.292109
cuda,pit_b_224,64,19.337427,17.051262,13.809412,9.036636,1.578182,14.395312,3.787808,1.724862,0.208164,12.040062,8.893565
cuda,pnasnet5large,16,69.032962,61.378176,58.218689,30.917738,11.309490,39.370664,18.080682,8.729415,1.758815,49.921001,30.390091
cuda,poolformer_m36,64,38.174866,32.197669,29.033675,17.282828,6.515581,27.824372,13.852913,5.852920,0.540262,27.745118,22.306334
cuda,regnety_002,128,22.245208,18.861844,15.763015,9.982693,2.453881,14.011392,3.667015,1.745877,0.218068,69.925298,8.909697
cuda,repvgg_a2,128,22.688962,19.191838,15.914520,9.411718,2.843223,12.223557,3.321977,1.503321,0.196460,25.751858,8.273640
cuda,res2net101_26w_4s,64,58.166175,51.242642,48.091705,25.638869,9.346950,30.848557,13.604810,6.428023,1.408333,58.930659,23.105202
cuda,res2net50_14w_8s,128,52.948834,47.033638,43.921067,23.824767,7.965410,30.803139,12.997395,6.104130,1.179961,38.422815,23.470592
cuda,res2next50,128,31.747227,28.418140,25.149412,14.543864,4.845636,19.237628,6.748949,3.929858,0.448441,36.227423,13.746458
cuda,resmlp_12_224,128,13.178129,11.444198,8.376178,5.754380,0.876757,19.278581,2.002804,1.158820,0.117935,7.174374,15.536788
cuda,resnest101e,64,51.375379,43.954019,40.793615,21.304927,6.701396,28.423030,11.113225,5.534680,1.117604,77.855255,22.114780
cuda,rexnet_100,128,32.035194,27.994019,24.849030,16.671273,4.065859,24.869030,5.542158,2.868950,0.296720,221.016706,15.692839
cuda,sebotnet33ts_256,64,30.578851,27.466160,24.207919,17.788098,3.592187,23.287476,8.111990,3.186468,0.203428,72.711790,11.721933
cuda,selecsls42b,128,19.612893,18.056589,14.945956,10.072076,2.207378,15.287156,4.421977,1.934214,0.156288,58.863411,9.383883
cuda,spnasnet_100,128,26.668438,23.175082,19.893575,12.739086,3.273545,16.975968,4.613192,2.197724,0.254564,94.382837,10.505836
cuda,swin_base_patch4_window7_224,64,41.535504,35.594575,32.479619,20.457815,4.306717,34.759439,12.748431,5.890441,0.610924,36.841564,23.280535
cuda,swsl_resnext101_32x16d,32,32.191617,28.271421,25.033605,12.918291,4.709824,14.585403,4.965092,2.587507,0.440866,11.026237,11.593035
cuda,tf_efficientnet_b0,128,26.696513,23.193661,19.963311,12.823867,3.077564,18.772285,5.090533,2.368078,0.271700,112.454255,12.094899
cuda,tf_mixnet_l,128,36.099819,29.299332,26.127430,16.041120,4.225885,22.481996,6.427408,3.616963,0.480559,99.371445,14.834457
cuda,tinynet_a,128,29.712543,25.707267,22.418250,14.085435,3.922922,19.586809,5.694514,2.670562,0.340100,103.557504,13.302064
cuda,tnt_s_patch16_224,128,30.724423,26.356948,23.081668,12.403395,3.226358,19.524254,6.623539,3.179166,0.618638,12.999609,14.878694
cuda,twins_pcpvt_base,64,40.481551,34.085520,30.962464,17.406630,4.911437,27.704491,10.059306,4.499565,1.070421,56.660585,20.567049
cuda,visformer_small,128,19.753688,17.604149,14.511086,9.528903,2.343610,13.391577,2.851616,1.365004,0.164867,30.778377,8.274653
cuda,vit_base_patch16_224,64,16.728534,14.764620,11.726311,7.362994,1.518283,11.666608,2.414762,1.382069,0.177356,3.818576,7.555440
cuda,volo_d1_224,64,27.429090,23.754925,20.487161,12.503964,3.074009,20.143675,6.803457,3.079142,0.394047,22.540285,13.816299
cuda,xcit_large_24_p8_224,5,51.477726,42.900788,39.712337,20.731591,8.297134,33.536545,14.469704,7.045786,1.719556,31.972472,28.824999
