dev,name,batch_size,_compile,OutputGraph.call_user_compiler,create_aot_dispatcher_function,compile_fx.<locals>.fw_compiler_base,GraphLowering.run,GraphLowering.compile_to_module,Scheduler.__init__,Scheduler.codegen,WrapperCodeGen.generate,CachingAutotuner.benchmark_all_configs,compile_fx.<locals>.bw_compiler
cuda,AlbertForMaskedLM,4,17.997070,16.029177,13.014668,7.574990,1.819604,12.676380,3.185065,1.415388,0.148061,6.676718,9.031717
cuda,AlbertForQuestionAnswering,4,18.045911,16.090323,13.026508,7.575717,1.805513,12.838110,3.167876,1.417552,0.140438,3.017762,9.249846
cuda,BartForCausalLM,4,20.687179,17.586349,14.427444,8.739152,2.258430,12.689792,2.702984,1.570847,0.267915,1.500551,8.524943
cuda,BartForConditionalGeneration,2,42.965791,35.448469,32.383795,17.754777,4.876460,21.169121,7.322664,4.323959,1.070912,0.426680,13.968233
cuda,BertForMaskedLM,16,21.518362,17.867671,14.858372,8.452606,1.796620,12.257917,2.902056,1.921765,0.275080,2.586589,8.564511
cuda,BertForQuestionAnswering,16,20.975934,17.444604,14.554629,8.500030,1.760922,11.862467,3.142299,1.575280,0.275668,2.298226,7.762006
cuda,BlenderbotForCausalLM,4,31.174549,24.190234,21.447040,10.280468,3.288576,15.047822,5.595530,3.017742,0.680853,8.407567,12.818018
cuda,BlenderbotSmallForCausalLM,64,14.914614,12.795946,8.988232,5.204047,1.349016,8.854928,2.043930,1.066149,0.154850,2.799943,6.560923
cuda,BlenderbotSmallForConditionalGeneration,64,30.970479,25.607390,21.834548,12.036436,3.062361,15.789448,4.848438,2.609051,0.565847,2.282301,10.667421
cuda,CamemBert,16,21.520664,17.995369,15.046381,8.959500,1.796353,12.052148,3.432507,1.597313,0.277651,1.258174,7.303583
cuda,DebertaForMaskedLM,4,31.602934,25.778965,22.128312,15.214150,1.891141,22.875570,3.239322,2.104113,0.263096,3.369620,12.296319
cuda,DebertaForQuestionAnswering,8,29.914337,24.048041,20.980432,14.345876,1.826343,22.338219,3.394592,1.810926,0.255211,3.117536,12.551476
cuda,DebertaV2ForMaskedLM,1,42.656286,31.560547,28.387014,17.048778,2.499839,22.428604,4.308473,2.401634,0.487864,1.390292,12.748333
cuda,DebertaV2ForQuestionAnswering,2,41.202995,29.469545,26.308791,14.841061,3.150161,20.334283,4.721480,3.077926,0.510647,13.843296
cuda,DistilBertForMaskedLM,128,15.898627,14.326118,11.372336,8.161676,0.976383,11.427863,1.584428,1.052867,0.115458,7.023504,5.503092
cuda,DistilBertForQuestionAnswering,256,15.738614,14.187700,11.139911,8.064188,0.970644,11.474657,1.778472,0.872072,0.111253,9.540356,5.635363
cuda,DistillGPT2,16,14.631592,12.912429,9.850623,7.039851,0.996189,9.825000,1.799890,0.841085,0.106180,4.592453,4.923422
cuda,ElectraForCausalLM,32,22.385503,18.789412,15.451073,9.329208,1.831479,12.950392,3.398374,1.883597,0.280412,8.532896,7.868044
cuda,ElectraForQuestionAnswering,64,21.488081,17.721726,14.782323,8.855253,1.975227,11.711384,2.907487,1.583660,0.279596,2.615336,7.473003
cuda,GPT2ForSequenceClassification,4,20.676917,17.282188,14.286474,8.999768,2.303361,10.097305,2.865126,1.537739,0.239620,1.521820,5.579469
cuda,GoogleFnet,16,14.190281,12.271760,9.127393,6.055229,1.370365,9.785341,2.106680,0.949053,0.103880,2.456114,6.399447
cuda,LayoutLMForMaskedLM,16,21.997989,18.175764,15.229364,9.011227,1.810884,12.662477,3.508633,1.617162,0.279377,2.591192,7.904674
cuda,LayoutLMForSequenceClassification,16,22.259216,18.472067,15.515557,9.337633,1.788700,14.389970,3.912393,2.055737,0.277481,6.901739,9.274615
cuda,M2M100ForConditionalGeneration,16,41.846461,34.249097,31.309319,16.275900,4.963000,22.024051,8.068695,4.010109,1.176800,23.457717,16.660934
cuda,MBartForCausalLM,4,21.349689,18.183413,15.058115,9.309137,2.246901,13.155019,2.549749,1.562659,0.252017,1.422670,8.475947
cuda,MBartForConditionalGeneration,2,42.065763,34.552644,31.530084,16.855449,4.945613,20.253249,7.672481,3.837811,1.034654,0.406395,14.071969
cuda,MT5ForConditionalGeneration,16,38.523805,32.152626,29.084645,17.619151,3.680360,20.272132,4.785881,2.270681,0.486440,34.470447,11.068797
cuda,MegatronBertForCausalLM,4,36.063995,28.862660,25.493670,13.556803,3.831533,17.144851,6.069864,3.085114,0.735881,2.987403,12.072556
cuda,MegatronBertForQuestionAnswering,8,35.281273,28.080244,24.975189,13.167892,3.477350,17.078233,6.275508,3.065510,0.732562,2.459666,12.459679
cuda,MobileBertForMaskedLM,64,57.254405,41.553543,37.799612,16.096619,5.720343,25.730958,9.557173,5.671798,2.433408,17.821502,24.497124
cuda,MobileBertForQuestionAnswering,128,56.930940,41.205075,37.345798,15.674120,5.746365,25.497301,9.385473,5.636298,2.413698,18.164024,24.719388
cuda,OPTForCausalLM,2,20.455628,17.302390,13.886293,8.096997,2.138558,12.195359,2.814355,1.600463,0.258395,1.873637,8.458669
cuda,PLBartForCausalLM,8,15.262670,13.566142,9.943796,6.894899,0.959645,10.682654,1.481403,1.036623,0.113801,1.279066,6.009266
