dev,name,batch_size,speedup,abs_latency,compilation_latency,compression_ratio,eager_peak_mem,dynamo_peak_mem,calls_captured,unique_graphs,graph_breaks,unique_graph_breaks
cuda,adv_inception_v3,128,0.9997,222.6833,3.8161,1.0002,13.3513,13.3492,313,1,5,4
cuda,beit_base_patch16_224,64,0.9995,128.9780,2.5407,1.0000,10.9279,10.9279,468,1,5,4
cuda,botnet26t_256,128,0.9848,148.9992,2.2870,1.0000,11.6626,11.6621,336,1,5,4
cuda,cait_m36_384,4,0.9996,215.6720,8.2704,1.0001,19.3864,19.3838,1341,1,5,4
cuda,coat_lite_mini,128,0.9999,192.8870,2.2183,1.0111,11.9063,11.7757,459,1,5,4
cuda,convit_base,64,0.9996,196.2778,2.3326,1.0000,15.4685,15.4685,497,1,5,4
cuda,convmixer_768_32,32,0.9996,355.3652,1.4596,1.0000,13.4369,13.4369,230,1,4,3
cuda,convnext_base,64,0.9999,271.1892,4.2384,1.0001,15.7574,15.7553,494,1,5,4
cuda,crossvit_9_240,128,0.9997,93.9177,3.5959,1.0001,7.4529,7.4520,599,1,5,4
cuda,cspdarknet53,64,0.9584,128.1696,4.2715,1.0000,10.7665,10.7665,438,1,5,4
cuda,deit_base_distilled_patch16_224,64,1.0000,120.3421,1.8865,1.0005,10.0788,10.0736,376,1,5,4
cuda,dla102,128,0.9998,249.5495,4.0623,0.9831,18.3716,18.6878,415,1,5,4
cuda,dm_nfnet_f0,128,0.9992,195.2329,4.4775,0.9113,13.2235,14.5110,615,1,5,4
cuda,dpn107,32,0.9648,191.5063,7.4172,1.0001,11.4042,11.4028,742,1,5,4
cuda,eca_botnext26ts_256,128,0.9883,194.0662,2.2834,1.0000,16.0020,16.0020,366,1,5,4
cuda,ese_vovnet19b_dw,128,0.9778,98.5448,1.7065,0.9999,9.8990,9.8999,157,2,5,4
cuda,fbnetc_100,128,0.9671,120.2395,3.5749,0.9999,7.0842,7.0851,380,2,5,4
cuda,fbnetv3_b,128,0.9662,159.7207,5.9644,1.0000,12.4385,12.4385,606,1,5,4
cuda,gernet_l,128,0.9699,140.6597,3.6278,1.0000,8.4638,8.4638,405,1,5,4
cuda,ghostnet_100,128,0.9987,109.5423,5.3192,1.0005,5.5373,5.5347,324,1,5,4
cuda,gluon_inception_v3,128,0.9997,222.6617,3.7982,1.0002,13.3513,13.3492,313,1,5,4
cuda,gluon_xception65,32,0.9995,179.6362,4.8902,1.0000,13.9207,13.9212,352,1,5,4
cuda,gmixer_24_224,128,0.9995,144.9387,3.3093,1.0000,15.4324,15.4319,631,1,5,4
cuda,gmlp_s16_224,128,0.9998,161.9738,3.4092,1.0000,18.4390,18.4390,487,1,5,4
cuda,hrnet_w18,128,0.9989,373.2605,8.3250,0.9997,16.7721,16.7773,1369,1,4,3
cuda,inception_v3,128,0.9998,222.7830,3.8019,1.0002,13.3513,13.3492,313,1,5,4
cuda,jx_nest_base,32,0.9996,119.9246,4.4118,1.0020,10.3838,10.3628,858,1,5,4
cuda,lcnet_050,128,0.9533,36.8141,1.6602,1.0004,2.3656,2.3646,164,1,5,4
cuda,mixer_b16_224,128,0.9999,160.4262,1.5502,1.0000,15.9932,15.9932,223,1,5,4
cuda,mixnet_l,128,0.9855,247.6202,6.1961,1.0000,15.1814,15.1814,673,1,5,4
cuda,mnasnet_100,128,0.9660,95.4171,2.8916,0.9998,5.9581,5.9590,301,2,5,4
cuda,mobilenetv2_100,128,0.9662,95.3664,2.9100,1.0001,10.3112,10.3102,300,1,5,4
cuda,mobilenetv3_large_100,128,0.9652,83.2221,3.0178,0.9996,6.0360,6.0383,311,1,5,4
cuda,mobilevit_s,64,0.9801,119.5866,3.5997,1.0000,12.3998,12.3992,516,2,5,4
cuda,nfnet_l0,128,0.9997,168.3389,3.7380,0.9999,12.0041,12.0056,546,1,5,4
cuda,pit_b_224,64,0.9995,157.5255,2.2367,1.0001,12.0651,12.0641,422,1,5,4
cuda,pnasnet5large,16,0.9985,289.9907,7.2966,1.0694,18.7672,17.5497,954,1,4,3
cuda,poolformer_m36,64,0.9997,171.1192,5.0472,0.9998,16.2545,16.2572,695,1,5,4
cuda,regnety_002,128,0.9726,47.9884,3.3769,1.0001,2.7264,2.7261,364,1,5,4
cuda,repvgg_a2,128,0.9653,125.4287,3.5667,1.0005,5.5460,5.5434,393,1,5,4
cuda,res2net101_26w_4s,64,0.9999,150.9772,6.9170,1.0000,11.1593,11.1597,803,1,5,4
cuda,res2net50_14w_8s,128,0.9997,212.7158,5.8596,1.0001,15.6502,15.6486,699,1,5,4
cuda,res2next50,128,0.9995,251.8266,3.2354,1.0002,16.1121,16.1084,395,1,5,4
cuda,resmlp_12_224,128,0.9991,63.6179,1.6235,1.0000,7.1518,7.1518,199,1,5,4
cuda,resnest101e,64,0.9998,248.9714,7.3903,1.0000,17.3046,17.3046,1018,1,5,4
cuda,rexnet_100,128,0.9735,116.6850,3.9389,1.0000,12.0861,12.0858,400,1,5,4
cuda,sebotnet33ts_256,64,0.9767,114.4924,3.1667,1.0000,10.4679,10.4674,461,2,5,4
cuda,selecsls42b,128,0.9994,91.7895,1.5122,1.0003,6.8900,6.8880,132,1,5,4
cuda,spnasnet_100,128,0.9616,102.3212,3.5170,0.9996,6.5502,6.5530,372,1,5,4
