dev,name,batch_size,_compile,OutputGraph.call_user_compiler
cuda,BERT_pytorch,16,3.203952,0.000212
cuda,Background_Matting,4,2.039778,0.000101
cuda,LearningToPaint,96,0.919428,0.000068
cuda,Super_SloMo,6,2.118489,0.000157
cuda,alexnet,128,0.307369,0.000047
cuda,attention_is_all_you_need_pytorch,256,2.892460,0.000209
cuda,dcgan,32,0.292702,0.000046
cuda,demucs,4,0.821396,0.000161
cuda,densenet121,4,4.980661,0.000165
cuda,dlrm,1024,0.311221,0.000067
cuda,drq,1,0.464029,0.000085
cuda,fastNLP_Bert,6,3.480955,0.000339
cuda,functorch_dp_cifar10,64,0.724302,0.000062
cuda,hf_Albert,8,1.918656,0.000179
cuda,hf_Bart,4,3.857447,0.000217
cuda,hf_Bert,4,3.478739,0.000164
cuda,hf_Bert_large,4,7.083295,0.000252
cuda,hf_BigBird,2,10.607640,0.002933
cuda,hf_DistilBert,8,1.540764,0.000136
cuda,hf_GPT2,4,3.156258,0.000259
cuda,hf_GPT2_large,4,10.888071,0.000788
cuda,hf_Longformer,2,7.254956,0.000731
cuda,hf_Reformer,4,3.561326,0.001516
cuda,hf_T5,8,4.188920,0.000317
cuda,hf_T5_large,2,21.224892,0.001117
cuda,lennard_jones,1000,0.248676,0.000040
cuda,mnasnet1_0,32,1.877571,0.000103
cuda,mobilenet_v2,96,1.941223,0.000093
cuda,mobilenet_v2_quantized_qat,96,2.738714,0.000119
cuda,mobilenet_v3_large,32,2.096383,0.000134
cuda,moco,32,30.281905,0.696083
cuda,nvidia_deeprecommender,256,0.321727,0.000048
cuda,phlippe_densenet,128,2.021214,0.000106
cuda,phlippe_resnet,128,0.856401,0.000067
cuda,pytorch_CycleGAN_and_pix2pix,1,0.781181,0.000080
cuda,pytorch_stargan,16,0.812219,0.000069
cuda,pytorch_struct,200,0.448149,0.000053
cuda,pytorch_unet,1,1.058356,0.000096
cuda,resnet152,32,5.756319,0.000206
cuda,resnet18,16,0.883994,0.000077
cuda,resnet50,32,1.980640,0.000116
cuda,resnet50_quantized_qat,32,2.526139,0.000104
cuda,resnext50_32x4d,8,1.988739,0.000091
cuda,shufflenet_v2_x1_0,128,2.157428,0.000118
cuda,soft_actor_critic,256,0.304003,0.000073
cuda,speech_transformer,32,3.793306,0.000557
cuda,squeezenet1_1,32,0.622895,0.000069
cuda,timm_efficientnet,32,3.465227,0.000351
cuda,timm_nfnet,128,4.451430,0.000311
cuda,timm_regnet,32,4.773730,0.000439
cuda,timm_resnest,32,1.213204,0.000106
cuda,timm_vision_transformer,32,1.994401,0.000162
cuda,timm_vovnet,32,2.597934,0.000268
cuda,tts_angular,64,0.268957,0.000039
cuda,vgg16,64,0.432537,0.000066
cuda,yolov3,16,3.355045,0.000131
