dev,name,batch_size,_compile,OutputGraph.call_user_compiler,create_aot_dispatcher_function,compile_fx.<locals>.fw_compiler_base,GraphLowering.run,GraphLowering.compile_to_module,Scheduler.__init__,Scheduler.codegen,WrapperCodeGen.generate,cudagraphify,CachingAutotuner.benchmark_all_configs,compile_fx.<locals>.bw_compiler
cuda,AlbertForMaskedLM,4,17.726486,15.755701,12.863855,7.419585,1.839553,12.320340,3.166118,1.463717,0.144322,0.002743,5.435482,8.906170
cuda,AlbertForQuestionAnswering,4,17.826422,15.846691,12.914339,7.482408,1.779316,12.566935,3.122428,1.444741,0.141027,0.002614,2.608103,8.984957
cuda,BartForCausalLM,4,20.985169,17.867268,14.453120,8.651976,1.946096,13.131677,2.863384,1.613779,0.264508,0.002848,1.496989,8.744081
cuda,BartForConditionalGeneration,2,44.734995,37.176866,33.280472,18.300671,4.478530,21.630831,7.846088,3.952832,1.057571,0.003249,0.416635,13.635481
cuda,BertForMaskedLM,16,23.042920,19.429605,15.698770,9.294145,1.794193,13.046780,3.151608,1.632213,0.278398,0.002810,2.555931,8.098015
cuda,BertForQuestionAnswering,16,23.054067,19.369530,15.663404,9.412002,2.035055,12.812177,3.168620,1.633829,0.277992,0.002752,2.229018,7.965165
cuda,BlenderbotForCausalLM,4,31.266571,24.886272,21.645187,10.359668,3.647650,15.580663,5.330832,3.108796,0.689849,0.002905,7.350956,13.466964
cuda,BlenderbotSmallForCausalLM,64,15.457561,13.244928,9.480179,5.424726,1.388231,8.689413,1.817744,1.099290,0.155771,0.002717,2.620548,6.270661
cuda,BlenderbotSmallForConditionalGeneration,64,30.769118,25.746844,22.161643,12.226541,2.729845,16.344133,5.134532,2.662794,0.561406,0.002913,2.226748,10.731069
cuda,CamemBert,16,21.883415,18.212623,15.166686,9.053085,1.784365,12.158913,3.161232,1.890068,0.275774,0.002807,1.258806,7.316594
cuda,DebertaForMaskedLM,4,31.249446,25.567262,21.900279,15.696460,1.915611,23.471175,3.215853,1.919517,0.261621,0.004898,2.895186,12.481363
cuda,DebertaForQuestionAnswering,8,29.304415,23.711236,20.540636,14.345067,1.895097,22.069636,3.175333,1.898809,0.257575,0.004863,2.854085,12.407743
cuda,DebertaV2ForMaskedLM,1,43.478549,32.635087,28.844479,17.675352,2.620445,23.314638,3.624094,2.556227,0.501933,0.006718,1.166413,13.498914
cuda,DebertaV2ForQuestionAnswering,2,41.331212,30.532804,26.721569,15.546007,2.950260,21.852361,4.754316,3.189099,0.514615,0.006750,14.548057
cuda,DistilBertForMaskedLM,128,17.220460,15.598109,11.668053,8.408082,0.998672,11.801738,1.772971,0.907292,0.115769,0.002725,6.359781,5.703061
cuda,DistilBertForQuestionAnswering,256,17.191496,15.544609,11.605937,8.370504,0.980942,12.161029,1.784788,0.901252,0.110784,0.002714,7.059378,6.056617
cuda,DistillGPT2,16,14.504120,12.808300,9.812639,6.965692,1.007807,9.607219,1.818584,0.869279,0.102167,0.002713,4.542656,4.801459
cuda,ElectraForCausalLM,32,22.032223,18.484981,15.591008,9.463608,1.818279,12.791344,3.363650,1.969701,0.280506,0.002754,8.129441,7.582919
cuda,ElectraForQuestionAnswering,64,20.810221,17.377714,14.554625,8.489722,1.756638,11.763623,3.128772,1.628742,0.275725,0.002532,2.679110,7.434752
cuda,GPT2ForSequenceClassification,4,20.466956,17.078833,14.116885,8.755907,2.060030,9.852039,2.876791,1.579025,0.236497,0.002674,1.473348,5.372453
cuda,GoogleFnet,16,14.105334,12.037112,9.084890,6.082446,1.388685,9.500552,1.901072,0.962435,0.103185,0.002746,2.489543,6.120483
cuda,LayoutLMForSequenceClassification,16,21.662318,17.875915,14.995393,8.818738,1.790865,13.576605,4.057337,1.892760,0.276201,0.002838,5.847258,8.975039
cuda,M2M100ForConditionalGeneration,16,41.756085,34.205148,31.323563,16.329595,4.570437,22.067806,8.050183,4.205701,1.182109,0.003088,22.467745,16.309577
cuda,MBartForCausalLM,4,21.318216,18.162731,15.126896,9.344172,1.982475,13.319098,2.844965,1.639634,0.254249,0.002859,1.401972,8.309187
cuda,MBartForConditionalGeneration,2,42.512823,34.880284,31.958396,17.005080,4.520858,20.088156,7.642957,3.926044,1.048457,0.002866,0.396554,13.430210
cuda,MT5ForConditionalGeneration,16,37.125282,30.950297,27.981223,17.141826,3.257539,20.376297,5.016582,2.321732,0.488238,0.002950,30.502898,11.203349
cuda,MegatronBertForCausalLM,4,34.955518,27.989697,25.003729,13.307902,3.512866,17.166030,6.312392,3.165415,0.744454,0.002786,2.901038,12.023842
cuda,MegatronBertForQuestionAnswering,8,34.695873,27.778970,24.813233,13.058214,3.480810,17.019244,6.192380,3.115137,0.742699,0.002864,2.364156,12.114489
cuda,MobileBertForMaskedLM,64,54.990418,39.840008,36.802404,16.245435,5.630655,26.028643,9.662852,5.884206,2.349792,0.003023,17.259412,24.336893
cuda,MobileBertForQuestionAnswering,128,54.507683,39.247655,36.184587,15.176341,5.578333,25.482786,9.511954,5.798206,2.398404,0.003004,16.628488,24.421581
cuda,OPTForCausalLM,2,19.565627,16.750536,13.694234,8.043330,1.708825,12.148339,3.064805,1.935488,0.256084,0.002786,1.834852,8.065695
cuda,PLBartForCausalLM,8,14.563741,12.863985,9.829759,6.776394,0.939836,10.259643,1.466678,1.061650,0.111421,0.002727,1.266038,5.659377
cuda,PLBartForConditionalGeneration,4,26.842238,23.108330,20.060874,12.346262,2.314243,16.842273,4.151207,2.147467,0.406810,0.002706,1.506694,9.939257
cuda,PegasusForCausalLM,32,17.848444,14.745377,11.749092,6.123574,1.734443,10.093854,2.937246,1.589239,0.255886,0.002781,2.045344,7.994001
cuda,PegasusForConditionalGeneration,32,35.112791,30.459082,27.590033,13.011613,4.452409,17.146928,7.467238,3.933812,1.062733,0.003109,1.629330,14.263535
cuda,RobertaForCausalLM,16,21.675805,18.106414,15.247843,9.110323,1.800239,11.876899,3.216818,1.655195,0.279782,0.002608,1.639401,7.007035
cuda,RobertaForQuestionAnswering,16,21.120864,17.592519,14.728400,8.633992,1.770793,10.504402,3.135163,1.619380,0.273315,0.002631,0.912256,6.048649
cuda,Speech2Text2ForCausalLM,256,11.931021,10.279918,7.181185,4.443234,0.829559,7.965716,1.380574,0.813775,0.107650,0.002698,2.765725,5.459920
cuda,T5ForConditionalGeneration,4,27.880941,23.651669,20.715895,12.989078,2.426047,15.730118,3.152418,2.030996,0.325963,0.002871,8.036126,8.177050
cuda,T5Small,4,27.808634,23.610355,20.683197,12.950778,2.161651,15.660525,3.379017,1.993697,0.313333,0.002872,7.962697,7.879653
