dev,name,batch_size,speedup,abs_latency,compilation_latency,compression_ratio,eager_peak_mem,dynamo_peak_mem,calls_captured,unique_graphs,graph_breaks,unique_graph_breaks
cuda,AlbertForMaskedLM,4,0.8852,300.3129,8.2165,0.7338,16.5008,22.4858,441,1,11,6
cuda,AlbertForQuestionAnswering,4,0.8859,297.6868,8.1956,0.7449,16.2630,21.8332,441,1,11,6
cuda,AllenaiLongformerBase,4,0.6699,269.8856,31.2758,0.8684,8.3229,9.5844,1742,6,15,7
cuda,BartForCausalLM,4,0.9547,119.5582,11.1375,0.8936,11.9027,13.3200,484,1,11,6
cuda,BartForConditionalGeneration,2,0.9720,142.3146,26.0207,0.8987,15.5970,17.3560,1260,1,11,6
cuda,BertForMaskedLM,16,0.9722,113.0780,10.8976,0.9207,11.6459,12.6486,372,1,11,6
cuda,BertForQuestionAnswering,16,0.9820,96.7681,11.0000,0.9284,8.8466,9.5286,379,1,11,6
cuda,BlenderbotForCausalLM,4,0.8503,127.8030,22.0374,0.9099,31.1116,34.1915,937,1,11,6
cuda,BlenderbotSmallForCausalLM,64,0.9182,62.9233,7.6080,0.8137,7.7848,9.5674,329,1,11,6
cuda,BlenderbotSmallForConditionalGeneration,64,0.9245,121.5457,17.1417,0.8895,13.3990,15.0628,842,1,11,6
cuda,CamemBert,16,0.9736,121.4551,10.9714,0.9184,11.8036,12.8523,379,1,11,6
cuda,DebertaForMaskedLM,4,0.5569,108.7100,13.9135,0.9156,4.9442,5.3999,728,95,164,15
cuda,DebertaForQuestionAnswering,8,0.7015,108.0270,13.5406,1.0537,6.2231,5.9058,735,95,164,15
cuda,DebertaV2ForMaskedLM,1,0.5196,196.1414,27.4867,0.9068,11.6411,12.8370,933,179,287,15
cuda,DebertaV2ForQuestionAnswering,2,0.5254,197.7468,26.8695,0.9763,12.2851,12.5838,940,179,287,15
cuda,DistilBertForMaskedLM,128,0.9551,88.5464,5.3778,0.8468,11.0526,13.0528,208,1,11,6
cuda,DistilBertForQuestionAnswering,256,0.9909,104.2620,5.3201,0.9556,9.5385,9.9817,216,1,11,6
cuda,DistillGPT2,16,0.9606,109.9102,5.0994,0.8591,11.4247,13.2987,332,1,11,6
cuda,ElectraForCausalLM,32,0.9496,92.7777,11.5778,0.8475,11.1043,13.1023,377,1,11,6
cuda,ElectraForQuestionAnswering,64,0.9874,115.9068,10.7314,0.9537,10.4133,10.9191,380,1,11,6
cuda,GPT2ForSequenceClassification,4,0.9631,96.3150,9.8754,0.9060,9.0873,10.0306,646,1,11,6
cuda,LayoutLMForMaskedLM,16,0.9729,115.6378,11.4536,0.9211,11.6797,12.6804,398,1,11,6
cuda,LayoutLMForSequenceClassification,16,0.9830,99.1782,11.0365,0.9295,8.8766,9.5502,396,1,11,6
cuda,M2M100ForConditionalGeneration,16,0.8327,140.9205,26.9061,0.8084,11.3017,13.9804,1273,1,11,6
cuda,MBartForCausalLM,4,0.9586,118.2548,11.2590,0.8937,11.9196,13.3369,484,1,11,6
cuda,MBartForConditionalGeneration,2,0.9726,142.5897,26.3064,0.8946,15.6138,17.4533,1265,1,11,6
cuda,MT5ForConditionalGeneration,16,0.8514,107.6747,18.3354,0.8495,10.9634,12.9059,1175,1,11,6
cuda,MegatronBertForCausalLM,4,0.9240,94.0243,21.4513,0.8644,9.0322,10.4486,723,1,11,6
cuda,MegatronBertForQuestionAnswering,8,0.9778,144.6574,21.2760,0.9040,13.3824,14.8035,726,1,11,6
cuda,MobileBertForMaskedLM,64,0.8607,200.9407,40.8278,0.8769,7.1229,8.1232,1449,1,5,4
cuda,MobileBertForQuestionAnswering,128,0.8549,197.9909,40.4764,1.0064,7.9433,7.8932,1453,1,5,4
cuda,OPTForCausalLM,2,0.9265,182.8355,10.3213,0.9165,17.1579,18.7207,536,1,11,6
cuda,PLBartForCausalLM,8,0.9609,119.6512,5.9026,0.8677,11.7446,13.5355,256,1,11,6
cuda,PLBartForConditionalGeneration,4,0.9504,122.2317,13.5031,0.9301,13.0738,14.0566,660,1,11,6
cuda,PegasusForCausalLM,32,0.9335,73.9213,11.0410,0.8822,7.6748,8.6997,483,1,11,6
cuda,PegasusForConditionalGeneration,32,0.9505,148.1805,19.7567,0.9100,14.4376,15.8649,1250,1,5,4
cuda,RobertaForCausalLM,16,0.9732,118.0582,10.9009,0.9209,11.6424,12.6427,383,1,11,6
cuda,RobertaForQuestionAnswering,16,0.9823,97.2241,10.9573,0.9279,8.8418,9.5294,386,1,11,6
cuda,Speech2Text2ForCausalLM,256,0.9198,57.3725,5.6754,0.8183,6.8198,8.3340,265,1,11,6
cuda,T5ForConditionalGeneration,4,0.8603,121.3086,12.7469,0.9516,8.5207,8.9540,812,1,11,6
cuda,T5Small,4,0.8575,121.9239,12.6793,0.9516,8.5207,8.9540,812,1,11,6
cuda,TrOCRForCausalLM,32,0.9570,143.2927,11.1060,0.8730,14.0976,16.1486,483,1,11,6
cuda,XGLMForCausalLM,8,0.8693,106.9202,21.4179,0.7834,10.4421,13.3291,1003,1,11,6
cuda,XLNetLMHeadModel,8,0.9699,289.1877,27.6916,0.9603,16.4369,17.1161,768,3,14,8
cuda,YituTechConvBert,16,0.9703,129.0986,16.0512,0.9143,10.6702,11.6703,636,1,11,6
