dev,name,batch_size,_compile,OutputGraph.call_user_compiler
cuda,BERT_pytorch,16,4.888900,0.000233
cuda,Background_Matting,4,3.457941,0.000120
cuda,LearningToPaint,96,1.403980,0.000087
cuda,Super_SloMo,6,2.980548,0.000180
cuda,alexnet,128,0.503086,0.000076
cuda,attention_is_all_you_need_pytorch,256,4.478390,0.000233
cuda,dcgan,32,0.431005,0.000072
cuda,demucs,4,1.520668,0.000235
cuda,densenet121,4,7.719306,0.000197
cuda,dlrm,1024,0.387295,0.000094
cuda,drq,1,0.676782,0.000130
cuda,fastNLP_Bert,6,5.112351,0.000406
cuda,functorch_dp_cifar10,64,1.201746,0.000102
cuda,hf_Albert,8,2.597485,0.000207
cuda,hf_Bart,4,6.240598,0.000275
cuda,hf_Bert,4,5.131315,0.000203
cuda,hf_Bert_large,4,10.518367,0.000291
cuda,hf_BigBird,2,12.785259,0.002831
cuda,hf_DistilBert,8,2.451813,0.000149
cuda,hf_GPT2,4,4.782434,0.000291
cuda,hf_GPT2_large,4,15.091823,0.000787
cuda,hf_Longformer,2,9.642893,0.000810
cuda,hf_Reformer,4,4.189147,0.001580
cuda,hf_T5,8,5.564802,0.000309
cuda,hf_T5_large,2,26.925436,0.001321
cuda,lennard_jones,1000,0.392717,0.000065
cuda,mnasnet1_0,32,3.202848,0.000125
cuda,mobilenet_v2,96,3.246943,0.000148
cuda,mobilenet_v3_large,32,3.492437,0.000127
cuda,moco,32,33.682442,0.812300
cuda,nvidia_deeprecommender,256,0.495928,0.000080
cuda,phlippe_densenet,128,3.267290,0.000156
cuda,phlippe_resnet,128,1.356596,0.000099
cuda,pytorch_CycleGAN_and_pix2pix,1,1.217522,0.000115
cuda,pytorch_stargan,16,1.236659,0.000098
cuda,pytorch_struct,200,0.767266,0.000113
cuda,pytorch_unet,1,1.635778,0.000111
cuda,resnet152,32,9.151519,0.000276
cuda,resnet18,16,1.362988,0.000088
cuda,resnet50,32,3.280627,0.000122
cuda,resnext50_32x4d,8,3.254660,0.000119
cuda,shufflenet_v2_x1_0,128,3.529127,0.000154
cuda,soft_actor_critic,256,0.429334,0.000119
cuda,speech_transformer,32,5.913886,0.000593
cuda,squeezenet1_1,32,1.041901,0.000094
cuda,timm_efficientnet,32,4.976482,0.000371
cuda,timm_nfnet,128,6.074928,0.000317
cuda,timm_regnet,32,6.727711,0.000469
cuda,timm_resnest,32,1.813162,0.000117
cuda,timm_vision_transformer,32,3.320257,0.000201
cuda,timm_vision_transformer_large,32,10.378019,0.000431
cuda,timm_vovnet,32,3.624716,0.000307
cuda,tts_angular,64,0.441895,0.000113
cuda,vgg16,64,0.731157,0.000080
cuda,yolov3,16,5.330645,0.000171
