dev,name,batch_size,speedup,abs_latency,compilation_latency,compression_ratio,eager_peak_mem,dynamo_peak_mem,calls_captured,unique_graphs,graph_breaks,unique_graph_breaks
cuda,adv_inception_v3,128,1.3137,169.3912,128.8173,1.0646,13.3513,12.5417,313,1,5,4
cuda,beit_base_patch16_224,64,1.1105,116.6859,35.2873,1.0000,10.9279,10.9282,468,1,5,4
cuda,botnet26t_256,128,1.2426,118.0670,79.6817,0.9868,11.6626,11.8181,336,1,5,4
cuda,cait_m36_384,4,1.2131,177.9065,96.3886,0.9887,19.3864,19.6077,1341,1,5,4
cuda,coat_lite_mini,128,1.4528,132.8401,76.2507,0.9351,11.9063,12.7322,459,1,5,4
cuda,convit_base,64,1.4526,135.4346,44.2378,1.1106,15.4685,13.9282,497,1,5,4
cuda,convmixer_768_32,32,1.0617,334.6216,33.6933,0.9965,13.4369,13.4837,230,1,4,3
cuda,convnext_base,64,1.0999,246.5132,47.7975,0.9487,15.7574,16.6103,494,1,5,4
cuda,crossvit_9_240,128,1.3621,69.0612,76.6164,0.9840,7.4529,7.5737,599,1,5,4
cuda,cspdarknet53,64,1.1499,106.8642,83.7254,1.1062,10.7665,9.7330,438,1,5,4
cuda,deit_base_distilled_patch16_224,64,1.0966,110.3447,31.5989,0.9911,10.0788,10.1698,376,1,5,4
cuda,dla102,128,1.3555,184.0719,83.0188,1.0434,18.3716,17.6081,415,1,5,4
cuda,dm_nfnet_f0,128,1.4495,134.5541,60.3199,1.1289,13.2235,11.7137,615,1,5,4
cuda,dpn107,32,1.1142,165.7130,85.3580,1.0003,11.4042,11.4010,742,1,5,4
cuda,eca_botnext26ts_256,128,1.2365,155.7001,87.9612,1.0178,16.0020,15.7216,366,1,5,4
cuda,ese_vovnet19b_dw,128,1.2149,79.3232,62.2004,1.0138,9.8990,9.7643,157,2,5,4
cuda,fbnetc_100,128,1.1793,98.6159,112.7727,0.9866,7.0842,7.1804,380,2,5,4
cuda,fbnetv3_b,128,1.2085,127.4678,137.5295,0.9976,12.4385,12.4683,606,1,5,4
cuda,gernet_l,128,1.0414,130.9629,65.6075,0.9976,8.4638,8.4842,405,1,5,4
cuda,ghostnet_100,128,1.7554,62.2834,190.3781,1.0665,5.5373,5.1919,324,1,5,4
cuda,gluon_inception_v3,128,1.3134,169.4351,129.9533,1.0646,13.3513,12.5417,313,1,5,4
cuda,gluon_xception65,32,1.0352,173.4657,81.0461,0.9928,13.9207,14.0213,352,1,5,4
cuda,gmixer_24_224,128,1.3611,106.6966,45.0079,0.9922,15.4324,15.5542,631,1,5,4
cuda,gmlp_s16_224,128,1.3723,118.2486,53.7728,0.8747,18.4390,21.0802,487,1,5,4
cuda,hrnet_w18,128,1.1962,312.0117,218.5384,1.0120,16.7721,16.5729,1369,1,4,3
cuda,inception_v3,128,1.3151,169.3409,131.0546,1.0646,13.3513,12.5417,313,1,5,4
cuda,jx_nest_base,32,1.2144,98.6498,74.5992,0.9835,10.3838,10.5580,858,1,5,4
cuda,lcnet_050,128,1.4656,23.8974,79.0006,0.9587,2.3656,2.4674,164,1,5,4
cuda,mixer_b16_224,128,1.1087,145.2413,29.4720,1.0031,15.9932,15.9432,223,1,5,4
cuda,mixnet_l,128,1.1421,213.5008,125.7631,1.0350,15.1814,14.6685,673,1,5,4
cuda,mnasnet_100,128,1.1880,77.5243,95.2623,0.9762,5.9581,6.1033,301,2,5,4
cuda,mobilenetv2_100,128,1.2475,73.8268,101.1186,1.2684,10.3112,8.1292,300,1,5,4
cuda,mobilenetv3_large_100,128,1.2538,63.9023,124.0642,0.9865,6.0360,6.1184,311,1,5,4
cuda,mobilevit_s,64,1.2024,97.2898,165.1094,0.9908,12.3998,12.5153,516,2,5,4
cuda,nfnet_l0,128,1.4338,117.1822,66.5383,0.9996,12.0041,12.0090,546,1,5,4
cuda,pit_b_224,64,1.1924,132.1517,41.3187,0.9913,12.0651,12.1712,422,1,5,4
cuda,pnasnet5large,16,1.0658,271.1056,143.1868,1.3243,18.7672,14.1711,954,1,4,3
cuda,poolformer_m36,64,1.1926,143.3481,84.0846,1.1077,16.2545,14.6738,695,1,5,4
cuda,regnety_002,128,1.1684,38.6323,84.5436,0.9624,2.7264,2.8328,364,1,5,4
cuda,repvgg_a2,128,1.1204,108.0170,51.8302,0.9941,5.5460,5.5787,393,1,5,4
cuda,res2net101_26w_4s,64,1.0289,146.4326,127.3641,1.0047,11.1593,11.1066,803,1,5,4
cuda,res2net50_14w_8s,128,1.2798,165.9625,107.7605,1.0198,15.6502,15.3469,699,1,5,4
cuda,res2next50,128,1.1990,209.6792,73.3946,1.0143,16.1121,15.8848,395,1,5,4
cuda,resmlp_12_224,128,0.9363,68.1811,38.8203,0.9879,7.1518,7.2395,199,1,5,4
cuda,resnest101e,64,1.2328,201.4628,134.8571,1.0508,17.3046,16.4685,1018,1,5,4
cuda,rexnet_100,128,1.2015,94.3161,222.5670,1.0859,12.0861,11.1304,400,1,5,4
cuda,sebotnet33ts_256,64,1.3190,84.6224,97.7192,1.0457,10.4679,10.0105,461,2,5,4
cuda,selecsls42b,128,1.2115,75.7314,75.6900,1.0121,6.8900,6.8073,132,1,5,4
cuda,spnasnet_100,128,1.1589,84.9137,106.3506,0.9783,6.5502,6.6956,372,1,5,4
cuda,swin_base_patch4_window7_224,64,1.1786,199.0386,106.9562,0.9884,15.4454,15.6274,1378,1,5,4
cuda,swsl_resnext101_32x16d,32,1.0756,201.6153,56.4996,0.9992,15.1022,15.1139,411,1,5,4
cuda,tf_efficientnet_b0,128,1.2396,103.4924,121.8984,1.0946,11.7368,10.7223,367,1,5,4
cuda,tf_mixnet_l,128,1.1549,219.3352,129.4080,1.1166,16.7147,14.9688,688,1,5,4
cuda,tinynet_a,128,1.1544,89.7759,123.4151,1.0974,9.3704,8.5384,431,1,5,4
cuda,tnt_s_patch16_224,128,1.7149,273.0389,61.0896,1.0041,19.0046,18.9267,822,1,5,4
cuda,twins_pcpvt_base,64,1.2644,105.8376,116.2068,0.9407,11.7481,12.4891,1018,1,5,4
cuda,visformer_small,128,1.0520,120.9944,54.7120,0.9930,11.0740,11.1520,313,1,5,4
cuda,vit_base_patch16_224,64,1.0912,110.0749,30.9234,0.9958,9.9911,10.0335,373,1,5,4
cuda,volo_d1_224,64,1.3680,111.3122,65.0866,0.9641,9.6263,9.9850,614,1,5,4
cuda,xcit_large_24_p8_224,5,1.2844,105.3248,115.1421,1.0125,10.0775,9.9534,1191,1,5,4
