dev,name,batch_size,speedup,abs_latency,compilation_latency,compression_ratio,eager_peak_mem,dynamo_peak_mem,calls_captured,unique_graphs,graph_breaks,unique_graph_breaks
cuda,adv_inception_v3,128,0.9997,160.1348,5.6393,0.9825,7.4412,7.5739,317,2,13,7
cuda,beit_base_patch16_224,64,0.9992,101.2689,3.7794,0.9949,8.0382,8.0796,472,2,13,7
cuda,botnet26t_256,128,0.9758,101.6508,2.9508,0.9842,6.5538,6.6591,340,2,15,7
cuda,cait_m36_384,4,1.0000,167.2225,13.5941,0.9998,13.2405,13.2435,1345,2,13,7
cuda,coat_lite_mini,128,0.9995,112.7557,3.1219,1.0337,7.4215,7.1793,463,2,13,7
cuda,convit_base,64,0.9998,163.0410,3.5639,0.9967,11.7728,11.8123,501,2,13,7
cuda,convmixer_768_32,32,0.9993,300.1222,1.6506,0.9981,6.9724,6.9855,234,2,7,5
cuda,convnext_base,64,0.9996,122.7013,6.6309,1.0010,9.3938,9.3847,498,2,13,7
cuda,crossvit_9_240,128,1.0000,81.8392,5.6082,0.9851,6.2898,6.3851,603,2,13,7
cuda,cspdarknet53,64,0.9435,93.9416,5.6223,0.9909,5.7233,5.7759,442,2,15,7
cuda,deit_base_distilled_patch16_224,64,0.9996,84.6248,3.1701,0.9942,7.6517,7.6962,380,2,13,7
cuda,dla102,128,0.9994,172.0720,6.3157,0.9635,9.7714,10.1416,419,2,13,7
cuda,dm_nfnet_f0,128,0.9993,127.1246,5.7940,0.9742,7.5870,7.7878,619,2,13,7
cuda,dpn107,32,0.9403,113.1013,9.5296,0.9932,6.1719,6.2143,746,2,15,7
cuda,eca_botnext26ts_256,128,0.9773,108.3588,3.1439,0.9881,8.7111,8.8160,370,2,15,7
cuda,ese_vovnet19b_dw,128,0.9656,64.1175,2.4773,0.9861,5.5337,5.6116,161,3,15,8
cuda,fbnetc_100,128,0.9518,82.8964,5.1486,0.9819,3.7569,3.8263,384,3,15,8
cuda,fbnetv3_b,128,0.9532,115.0098,8.1206,0.9857,5.8569,5.9417,610,2,15,7
cuda,gernet_l,128,0.9440,77.1150,4.8258,0.9781,4.6338,4.7374,409,2,15,7
cuda,ghostnet_100,128,0.9983,90.0296,7.5426,0.9748,2.9281,3.0037,328,2,15,7
cuda,gluon_inception_v3,128,0.9997,160.5433,5.5944,0.9825,7.4412,7.5739,317,2,13,7
cuda,gluon_xception65,32,0.9997,99.0880,7.6997,0.9954,7.2849,7.3189,356,2,13,7
cuda,gmixer_24_224,128,0.9998,117.4610,5.5371,0.9928,9.0260,9.0916,635,2,13,7
cuda,gmlp_s16_224,128,0.9997,136.9685,5.4948,0.9951,12.2402,12.3001,491,2,13,7
cuda,hrnet_w18,128,0.9983,279.3926,9.7550,0.9909,8.6762,8.7558,1373,2,7,5
cuda,inception_v3,128,0.9996,160.3295,5.5263,0.9825,7.4412,7.5739,317,2,13,7
cuda,jx_nest_base,32,0.9991,100.3112,6.6046,0.9985,8.8309,8.8442,862,2,13,7
cuda,lcnet_050,128,0.9462,31.4915,2.4597,0.9447,1.3628,1.4426,168,2,15,7
cuda,mixer_b16_224,128,0.9993,116.2674,2.6506,0.9919,9.5366,9.6144,227,2,13,7
cuda,mixnet_l,128,0.9805,184.7660,8.1408,0.9900,7.8238,7.9030,677,2,15,7
cuda,mnasnet_100,128,0.9502,64.2265,4.0933,0.9777,3.1775,3.2501,305,3,15,8
cuda,mobilenetv2_100,128,0.9509,65.4116,3.8704,0.9865,5.3429,5.4161,304,2,15,7
cuda,mobilenetv3_large_100,128,0.9514,61.1833,4.0919,0.9777,3.1753,3.2477,315,2,15,7
cuda,mobilevit_s,64,0.9716,83.9069,5.0951,0.9929,7.1866,7.2377,520,3,15,8
cuda,nfnet_l0,128,1.0000,112.0839,5.0953,0.9892,6.5084,6.5798,550,2,13,7
cuda,pit_b_224,64,0.9995,118.3830,3.3328,0.9969,10.8027,10.8359,426,2,13,7
cuda,pnasnet5large,16,0.9972,196.5894,8.0792,1.0590,10.5997,10.0087,958,2,9,5
cuda,poolformer_m36,64,1.0001,144.8446,7.3580,0.9981,10.7806,10.8012,699,2,13,7
cuda,regnety_002,128,0.9595,37.7740,4.6231,0.9523,1.5587,1.6368,368,2,15,7
cuda,repvgg_a2,128,0.9440,77.0675,4.6394,0.9761,3.1051,3.1811,397,2,15,7
cuda,res2net101_26w_4s,64,1.0004,98.6954,10.6507,0.9937,5.9741,6.0119,807,2,13,7
cuda,res2net50_14w_8s,128,0.9996,140.6793,8.8130,0.9912,8.2633,8.3365,703,2,13,7
cuda,res2next50,128,0.9996,126.1611,4.9000,0.9913,8.4846,8.5595,399,2,13,7
cuda,resmlp_12_224,128,0.9998,53.2451,2.7850,0.9826,4.3940,4.4718,203,2,13,7
