dev,name,batch_size,speedup,abs_latency,compilation_latency,compression_ratio,eager_peak_mem,dynamo_peak_mem,calls_captured,unique_graphs,graph_breaks,unique_graph_breaks
cuda,AlbertForMaskedLM,4,1.0007,385.0087,1.6877,1.0000,17.1890,17.1891,439,1,4,3
cuda,AlbertForQuestionAnswering,4,0.9991,383.3608,1.7037,1.0000,16.7994,16.7994,439,1,4,3
cuda,AllenaiLongformerBase,4,0.9993,249.0059,7.1303,0.9979,11.2370,11.2611,1738,4,7,4
cuda,BartForCausalLM,4,0.9990,123.5569,3.2525,1.0000,11.9283,11.9284,482,1,4,3
cuda,BartForConditionalGeneration,2,0.9993,148.6911,7.3922,1.0000,13.7366,13.7366,1258,1,4,3
cuda,BertForMaskedLM,16,0.9999,134.5877,3.3494,1.0000,15.4503,15.4505,370,1,4,3
cuda,BertForQuestionAnswering,16,0.9998,111.0417,3.2551,1.0000,11.5224,11.5225,377,1,4,3
cuda,BlenderbotForCausalLM,4,1.0116,94.4426,6.1171,1.0005,31.3480,31.3316,935,1,4,3
cuda,BlenderbotSmallForCausalLM,64,0.9998,64.8329,2.1287,1.0000,9.8731,9.8731,327,1,4,3
cuda,BlenderbotSmallForConditionalGeneration,64,1.0001,119.6257,4.8368,1.0000,14.2441,14.2441,840,1,4,3
cuda,CamemBert,16,0.9995,135.8990,3.3535,1.0000,15.6524,15.6525,377,1,4,3
cuda,DebertaForMaskedLM,4,0.7635,85.4406,6.0228,0.9740,5.9448,6.1031,725,91,147,8
cuda,DebertaForQuestionAnswering,8,0.9187,89.2839,5.5080,0.9614,7.5693,7.8735,732,91,147,8
cuda,DebertaV2ForMaskedLM,1,0.6978,127.4106,11.1898,0.9877,12.4135,12.5679,930,175,270,8
cuda,DebertaV2ForQuestionAnswering,2,0.7477,141.5400,10.7772,0.9762,12.3927,12.6952,937,175,270,8
cuda,DistilBertForMaskedLM,128,0.9986,122.7680,1.6518,1.0000,15.0926,15.0926,206,1,4,3
cuda,DistilBertForQuestionAnswering,256,0.9999,144.6878,1.6318,1.0000,13.8149,13.8149,214,1,4,3
cuda,DistillGPT2,16,0.9994,120.6563,1.7462,1.0000,14.7986,14.7986,330,1,4,3
cuda,ElectraForCausalLM,32,0.9996,106.2675,3.4033,1.0000,15.1264,15.1266,375,1,4,3
cuda,ElectraForQuestionAnswering,64,0.9997,125.1577,3.3432,1.0000,14.2891,14.2894,378,1,4,3
cuda,GPT2ForSequenceClassification,4,1.0000,102.3988,3.1351,1.0000,11.3622,11.3622,644,1,4,3
cuda,GoogleFnet,16,0.9994,101.9248,1.9248,1.0000,12.1376,12.1378,232,1,4,3
cuda,LayoutLMForMaskedLM,16,1.0000,137.2423,3.6076,1.0000,15.4801,15.4803,396,1,4,3
cuda,LayoutLMForSequenceClassification,16,0.9994,113.6635,3.5552,1.0001,11.5557,11.5550,394,1,4,3
cuda,M2M100ForConditionalGeneration,16,1.0078,117.2272,7.3430,1.0000,12.6466,12.6466,1271,1,4,3
cuda,MBartForCausalLM,4,0.9996,123.6128,3.1312,1.0000,11.9452,11.9452,482,1,4,3
cuda,MBartForConditionalGeneration,2,1.0003,148.8613,7.4576,1.0000,13.7535,13.7535,1263,1,4,3
cuda,MT5ForConditionalGeneration,16,1.0222,87.2405,5.9177,1.0006,13.0997,13.0914,1173,1,4,3
cuda,MegatronBertForCausalLM,4,1.0003,101.6164,7.4159,1.0000,10.6300,10.6300,721,1,4,3
cuda,MegatronBertForQuestionAnswering,8,0.9995,172.8515,7.2882,1.0000,16.7231,16.7231,724,1,4,3
cuda,MobileBertForMaskedLM,64,1.0248,124.9297,15.0369,1.0000,9.4875,9.4875,1447,1,3,2
cuda,MobileBertForQuestionAnswering,128,1.0228,140.5273,15.3221,1.0000,10.5072,10.5073,1451,1,3,2
cuda,OPTForCausalLM,2,0.9999,170.5374,2.9213,0.9999,15.8984,15.8997,534,1,4,3
cuda,PLBartForCausalLM,8,0.9991,122.4217,1.9496,1.0000,15.3250,15.3250,254,1,4,3
cuda,PLBartForConditionalGeneration,4,0.9993,121.8557,3.6396,0.9999,15.6113,15.6134,658,1,4,3
cuda,PegasusForCausalLM,32,0.9985,85.5711,3.0855,1.0000,9.1097,9.1098,481,1,4,3
cuda,PegasusForConditionalGeneration,32,0.9993,172.7085,4.3050,1.0000,15.7523,15.7524,1248,1,3,2
cuda,RobertaForCausalLM,16,1.0001,143.0144,3.4116,1.0000,15.4441,15.4442,381,1,4,3
cuda,RobertaForQuestionAnswering,16,0.9994,111.4533,3.3013,1.0000,11.5225,11.5225,384,1,4,3
cuda,Speech2Text2ForCausalLM,256,0.9986,63.3236,1.7532,1.0000,9.1300,9.1300,263,1,4,3
cuda,T5ForConditionalGeneration,4,1.0000,104.5577,4.1404,1.0000,10.9163,10.9163,798,1,4,3
cuda,T5Small,4,0.9999,104.6021,4.1079,1.0000,10.9163,10.9163,798,1,4,3
cuda,TrOCRForCausalLM,32,1.0000,167.4680,3.0866,1.0000,16.9658,16.9660,481,1,4,3
cuda,XGLMForCausalLM,8,1.0131,79.4129,5.7280,1.0000,11.0691,11.0691,1001,1,4,3
cuda,XLNetLMHeadModel,8,0.9998,377.8097,7.0332,1.0000,20.6621,20.6621,764,1,6,4
cuda,YituTechConvBert,16,0.9998,155.5988,4.9102,1.0000,14.4224,14.4224,634,1,4,3
