dev,name,batch_size,speedup,abs_latency,compilation_latency,compression_ratio,eager_peak_mem,dynamo_peak_mem,calls_captured,unique_graphs,graph_breaks,unique_graph_breaks
cuda,BERT_pytorch,16,1.0080,54.4395,3.1926,1.0000,2.9107,2.9107,538,1,5,4
cuda,Background_Matting,4,0.9995,183.4472,1.7609,1.0027,11.5230,11.4921,183,1,5,4
cuda,LearningToPaint,96,0.9947,13.7531,0.8762,0.9989,0.9495,0.9506,71,1,5,4
cuda,Super_SloMo,6,0.9991,118.9658,1.9456,1.0073,6.3301,6.2840,374,1,5,4
cuda,alexnet,128,0.9988,12.2953,0.2980,1.0003,1.6092,1.6087,22,1,5,4
cuda,attention_is_all_you_need_pytorch,256,0.9992,72.1448,2.8619,1.0021,4.7293,4.7196,548,1,5,4
cuda,dcgan,32,0.9777,1.9009,0.2844,1.0000,0.0783,0.0783,13,1,5,4
cuda,demucs,4,0.9994,74.9681,0.7529,0.9981,5.1808,5.1906,83,4,7,5
cuda,densenet121,4,1.0024,53.7080,4.9706,1.0000,0.6310,0.6310,431,1,5,4
cuda,dlrm,1024,0.9769,3.9771,0.2925,1.0000,4.3721,4.3721,36,1,4,3
cuda,drq,1,0.9941,2.2690,0.4548,1.0000,0.0588,0.0588,30,2,4,3
cuda,fastNLP_Bert,6,0.9958,59.7939,3.3132,1.0002,5.3672,5.3660,445,6,9,6
cuda,functorch_dp_cifar10,64,0.9952,8.2441,0.7190,1.0000,0.1866,0.1866,69,1,5,4
cuda,gat,0,0.0000
cuda,gcn,0,0.0000
cuda,hf_Albert,8,1.0004,75.1036,1.7731,1.0000,6.5757,6.5757,436,1,4,3
cuda,hf_Bart,4,1.0108,62.5930,3.8076,1.0000,5.7607,5.7607,642,1,4,3
cuda,hf_Bert,4,1.0293,38.0932,3.3757,1.0000,4.1537,4.1537,367,1,4,3
cuda,hf_Bert_large,4,1.0117,92.2810,7.1704,1.0000,9.5187,9.5187,715,1,4,3
cuda,hf_BigBird,2,0.9651,221.7092,10.1427,0.9886,6.1191,6.1894,2905,64,60,8
cuda,hf_DistilBert,8,0.9985,39.1266,1.4412,1.0000,4.3259,4.3260,203,1,4,3
cuda,hf_GPT2,4,1.0063,49.6374,3.1010,1.0000,5.7904,5.7904,635,1,4,3
