dev,name,batch_size,_compile,OutputGraph.call_user_compiler,create_aot_dispatcher_function,compile_fx.<locals>.fw_compiler_base,GraphLowering.run,GraphLowering.compile_to_module,Scheduler.__init__,Scheduler.codegen,WrapperCodeGen.generate,cudagraphify,CachingAutotuner.benchmark_all_configs,compile_fx.<locals>.bw_compiler
cuda,adv_inception_v3,128,39.402000,35.558721,32.412805,19.706134,5.324508,25.785281,9.643916,4.827786,0.544348,42.623585,93.024518,59.059678
cuda,beit_base_patch16_224,64,22.612232,20.078711,15.721960,9.425161,1.609146,14.194285,3.516286,1.775045,0.230907,0.740240,2.878352,9.235916
cuda,botnet26t_256,128,24.739219,22.567085,19.789878,14.249865,2.442947,19.571889,5.857998,2.385284,0.123049,28.204915,55.562059,37.715838
cuda,cait_m36_384,4,50.061268,41.877525,39.115172,18.955489,5.945720,30.915400,12.785878,6.565640,1.889918,7.481663,20.289504,33.018446
cuda,coat_lite_mini,128,25.452337,23.248647,19.102195,12.958946,2.144597,24.133946,6.716081,2.651441,0.202217,13.507305,39.029741,28.775672
cuda,convit_base,64,22.841077,20.428700,17.215740,9.800967,2.318887,16.120411,4.551701,2.125763,0.251707,5.781064,8.558302,16.809564
cuda,convmixer_768_32,32,21.383944,19.911603,16.764856,7.361235,2.982002,9.617408,2.572153,2.079427,0.256427,3.631217,12.182689,3.076520
cuda,convnext_base,64,25.379185,20.988373,17.921674,9.938073,3.083419,17.880711,4.684009,2.420059,0.441585,5.765881,7.326683,19.772646
cuda,crossvit_9_240,128,28.849090,25.364241,22.174593,12.612014,2.954034,22.772301,5.885184,3.035333,0.377231,22.641865,34.115242,38.956112
cuda,cspdarknet53,64,28.832523,24.594323,21.462378,12.188760,3.446928,16.150776,4.574876,2.445907,0.333406,25.598657,54.123812,36.434677
cuda,deit_base_distilled_patch16_224,64,19.375021,17.383357,14.322979,8.556890,1.328554,13.823569,2.713970,1.745950,0.183582,2.289991,3.583579,10.649659
cuda,dla102,128,36.932879,32.672047,29.634036,16.091956,5.072020,19.741701,7.231044,3.539437,0.519105,18.005131,41.276705,31.790933
cuda,dm_nfnet_f0,128,25.278247,20.920607,17.846542,8.801412,3.712256,14.376619,4.617594,2.119713,0.249294,23.819916,29.179350,36.447044
cuda,dpn107,32,44.499655,37.445500,34.299959,18.333210,5.412141,22.907218,7.250076,4.097661,0.515028,13.573734,26.959203,29.862674
cuda,eca_botnext26ts_256,128,27.149996,24.784593,21.493559,15.282777,2.989753,20.123585,6.026737,2.458453,0.144485,32.944199,63.550504,42.877611
cuda,ese_vovnet19b_dw,128,18.742602,16.981829,12.838295,8.724350,1.646741,12.964738,2.944788,1.458843,0.103343,26.253514,48.005488,33.428968
cuda,fbnetc_100,128,29.844635,26.264671,22.343832,13.902653,3.460906,17.569839,4.122684,2.908353,0.275014,44.043151,93.113102,54.255632
cuda,fbnetv3_b,128,42.095814,36.326351,32.320373,18.504010,5.863411,22.958192,7.653523,3.796666,0.618757,52.292918,102.016778,67.862010
cuda,gernet_l,128,24.911935,21.288296,17.479697,9.825624,2.582510,12.729919,2.929067,1.713744,0.207140,23.459637,45.382293,31.625619
cuda,ghostnet_100,128,40.027359,34.603522,30.216374,18.221023,4.760162,26.559348,8.387569,3.956895,0.453716,97.282839,173.705189,114.798829
cuda,gluon_inception_v3,128,39.651131,35.724063,31.597444,19.474330,5.272425,25.565036,9.702401,4.819623,0.544448,42.651074,96.776939,58.845905
cuda,gluon_xception65,32,41.600776,36.580565,32.729402,16.410023,5.446936,18.589436,6.692760,3.290796,0.675863,16.398888,33.215564,30.180344
cuda,gmixer_24_224,128,24.412485,21.016016,18.094141,9.521929,2.136585,16.274627,5.233858,2.595838,0.377359,3.588427,6.164852,15.491036
cuda,gmlp_s16_224,128,27.713046,24.260034,20.249842,11.493569,2.500359,20.422770,5.471047,2.691099,0.370847,9.289813,13.145254,23.961224
cuda,hrnet_w18,128,104.883361,95.946060,91.600553,47.982491,20.073356,56.450626,25.831008,14.207623,4.794315,37.764109,83.025907,83.254824
cuda,inception_v3,128,38.446985,34.437766,31.340310,19.026874,5.281228,25.700859,9.719052,4.829993,0.555152,43.801070,93.174645,60.406529
cuda,jx_nest_base,32,35.549469,31.095855,27.990436,17.028816,3.722709,27.003379,8.919581,3.739606,0.541744,11.501079,19.910008,29.224966
cuda,lcnet_050,128,18.492788,16.865677,13.802095,8.734465,1.914341,12.325343,2.864925,1.394228,0.113583,39.791615,70.883470,46.861085
cuda,mixer_b16_224,128,17.154240,15.454739,12.348477,7.488472,1.418363,12.169654,1.785575,1.081824,0.135828,3.112069,5.172825,10.778888
cuda,mixnet_l,128,36.184059,30.102327,26.967232,15.999000,4.312546,22.099228,6.068678,3.480101,0.471257,55.756372,91.260948,70.334961
cuda,mnasnet_100,128,24.830914,22.103849,18.894011,11.877848,2.531392,15.639542,3.764604,1.909559,0.202841,35.491527,79.943975,44.282417
cuda,mobilenetv2_100,128,25.644134,22.882711,19.648539,12.316266,2.657461,15.664997,3.851982,1.927304,0.210327,36.694545,88.100599,45.317005
cuda,mobilenetv3_large_100,128,25.881148,23.078018,19.865825,12.529364,2.895090,17.549152,4.306174,2.477143,0.228272,61.386455,115.063414,71.940312
cuda,mobilevit_s,64,40.402268,36.831352,33.706143,25.084613,4.068239,37.435565,13.122365,6.307524,0.326984,48.914015,122.161634,68.434743
cuda,nfnet_l0,128,24.101470,20.519747,17.307960,8.735437,2.808305,15.212294,4.590900,2.039129,0.245692,28.741058,37.122530,41.159637
cuda,pit_b_224,64,21.495465,19.227977,16.090989,9.949257,1.601709,15.758843,3.756503,1.792891,0.209822,7.810202,11.141381,17.172540
cuda,pnasnet5large,16,71.433381,63.768967,60.574764,32.523774,11.466498,40.495521,17.783933,10.010788,1.786945,25.771614,47.222758,55.786875
cuda,poolformer_m36,64,39.108598,34.093676,31.027704,18.075183,6.117993,28.963624,14.293976,5.968006,0.551457,9.547782,26.609001,32.026500
cuda,regnety_002,128,23.308745,20.060082,16.976156,10.079260,2.550291,13.989817,3.409306,1.799166,0.223818,41.908107,71.146887,50.846367
cuda,repvgg_a2,128,23.981696,20.494141,17.404418,9.762400,2.659124,12.419751,3.286437,1.534682,0.192759,13.686843,26.668595,21.668479
cuda,res2net101_26w_4s,64,59.844378,53.036325,49.942823,26.739969,8.500521,31.125608,13.839294,6.618256,1.402962,27.789483,59.022300,49.844413
cuda,res2net50_14w_8s,128,53.790999,48.088817,45.019756,24.233232,7.762444,31.284528,13.189568,6.212574,1.175245,19.300331,37.250387,41.980584
cuda,res2next50,128,33.508169,30.231600,27.032909,15.202676,4.539433,19.909542,7.094645,3.604507,0.449022,16.514058,36.549865,30.107708
cuda,resmlp_12_224,128,14.677420,13.021365,10.039865,6.197553,0.876387,19.944414,1.779139,1.174580,0.118074,3.753709,7.196159,19.481114
cuda,resnest101e,64,52.872217,45.626774,42.598561,21.789702,6.917901,28.598380,10.731724,5.711251,1.092703,41.693982,75.055497,63.507990
cuda,rexnet_100,128,33.438164,29.540934,26.455775,17.008116,3.578755,25.719872,5.951132,2.935843,0.295907,145.595854,235.138537,161.375324
cuda,sebotnet33ts_256,64,32.035271,28.937145,26.008543,18.378377,3.590456,24.263407,7.794775,3.541415,0.198868,36.376294,70.139383,48.421494
cuda,selecsls42b,128,21.227123,19.669917,16.616328,10.574972,2.211404,15.618592,4.211000,1.977735,0.156415,26.103379,57.047896,35.323340
cuda,spnasnet_100,128,27.901455,24.556473,21.350903,13.196003,3.328411,17.177242,4.089055,2.815995,0.256490,42.043722,92.208661,52.404883
cuda,swin_base_patch4_window7_224,64,43.384345,37.597657,34.455939,20.819529,4.379458,35.837574,12.921495,6.038581,0.618259,19.621287,36.880855,43.818387
cuda,swsl_resnext101_32x16d,32,33.824571,29.841512,26.586658,13.167955,4.449172,15.556787,5.424180,2.679331,0.433520,6.522771,10.146258,18.299439
cuda,tf_efficientnet_b0,128,28.014474,24.628472,21.623938,13.241023,3.389988,18.670371,4.868969,2.693161,0.278124,64.726451,109.596887,76.694408
cuda,tf_mixnet_l,128,37.866736,31.189873,28.037240,16.498291,4.067895,22.729330,6.460759,3.737165,0.475856,60.669740,93.084525,75.406224
cuda,tinynet_a,128,30.890451,26.816636,23.718354,14.103004,3.661506,19.736573,6.029537,2.745528,0.348753,64.863261,104.728223,77.752362
cuda,tnt_s_patch16_224,128,32.460666,28.096444,25.010049,12.910071,3.509384,19.751760,6.298754,3.223750,0.604597,7.756314,12.828915,22.215230
cuda,twins_pcpvt_base,64,42.003412,35.792169,32.669994,17.634197,4.876175,28.453654,9.916015,5.140160,1.020606,34.959620,57.767504,55.988640
cuda,visformer_small,128,21.536801,19.691754,16.571174,10.384329,2.141736,14.155696,2.875180,1.419890,0.166832,16.350364,29.952179,24.389787
cuda,vit_base_patch16_224,64,18.778902,16.855636,13.663228,8.122756,1.329424,12.832341,2.648107,1.437791,0.177935,2.705854,4.001553,10.542469
cuda,volo_d1_224,64,29.489336,26.295253,23.099619,13.712821,3.365144,21.536305,6.563025,3.394970,0.400303,13.729181,22.287801,28.058082
cuda,xcit_large_24_p8_224,5,51.786577,44.332244,41.172573,21.082141,8.303948,34.532527,14.335530,6.812589,1.684899,22.368456,32.123492,51.631688
