dev,name,batch_size,_compile,OutputGraph.call_user_compiler,create_aot_dispatcher_function,compile_fx.<locals>.fw_compiler_base,GraphLowering.run,GraphLowering.compile_to_module,Scheduler.__init__,Scheduler.codegen,WrapperCodeGen.generate,CachingAutotuner.benchmark_all_configs,compile_fx.<locals>.bw_compiler
cuda,AlbertForMaskedLM,4,23.086500,20.468335,17.507080,8.574854,2.138635,14.047234,3.259802,1.599212,0.154870,6.897290,10.446596
cuda,AlbertForQuestionAnswering,4,22.361433,19.894993,16.831115,8.638391,2.085211,13.794143,2.989403,1.567865,0.149821,3.282417,10.406235
cuda,BartForCausalLM,4,28.070662,22.078639,18.928255,10.052404,2.119711,14.893947,3.841510,1.993311,0.287566,2.415411,10.014104
cuda,BartForConditionalGeneration,2,57.045136,45.033906,41.933341,21.089069,5.984181,26.231078,10.253894,4.988776,1.224675,0.446706,18.784671
cuda,BertForMaskedLM,16,30.033217,24.496944,20.666810,11.174153,2.537505,15.891526,3.877740,2.044312,0.289951,2.939120,10.493159
cuda,BertForQuestionAnswering,16,30.117198,24.658341,20.660142,11.178920,2.518147,15.642272,3.829424,1.995217,0.280534,2.624010,10.214901
cuda,BlenderbotForCausalLM,4,45.307172,33.612446,31.025142,13.968060,4.716827,20.992277,7.901411,4.101050,0.888564,8.083398,18.170943
cuda,BlenderbotSmallForCausalLM,64,20.461737,16.722010,13.116477,6.698212,1.480870,10.725191,2.824116,1.387624,0.171872,3.455610,7.620510
cuda,BlenderbotSmallForConditionalGeneration,64,42.105302,33.890188,29.853840,15.378219,3.850886,20.212663,6.771935,3.456610,0.656164,2.314707,14.246632
cuda,CamemBert,16,28.930605,23.439897,20.161924,10.959159,2.285649,15.030577,4.206125,2.042436,0.298679,1.673070,9.646972
cuda,DebertaForMaskedLM,4,43.492745,36.323141,32.731279,24.236495,2.295866,32.532584,4.716379,2.600984,0.291400,3.953164,14.850244
cuda,DebertaForQuestionAnswering,8,41.413390,34.283441,31.145448,22.746975,2.279446,31.547877,4.648263,2.576462,0.289459,4.634344,15.293094
cuda,DebertaV2ForMaskedLM,1,57.039359,40.926079,37.731287,22.734606,3.337077,29.932299,6.223318,4.212402,0.557179,1.442645,17.918759
cuda,DebertaV2ForQuestionAnswering,2,56.662268,41.558406,38.425838,23.275975,3.779830,30.614842,7.743430,4.848028,0.572739,0.592523,18.868231
cuda,DistilBertForMaskedLM,128,20.411172,17.996519,14.572549,9.336483,1.605731,13.299388,1.975888,1.115815,0.120252,9.130520,7.247686
cuda,DistilBertForQuestionAnswering,256,20.783336,18.120597,14.279479,9.021591,1.206671,13.291032,2.041928,1.119975,0.114640,10.182691,7.567141
cuda,DistillGPT2,16,19.328159,16.947089,13.111667,8.379366,1.317264,12.605904,2.110918,1.025000,0.112940,4.451135,7.233627
cuda,ElectraForCausalLM,32,29.943118,24.432145,20.658362,11.486855,2.646227,21.238774,4.122309,2.156084,0.303543,9.852724,15.599287
cuda,ElectraForQuestionAnswering,64,29.603143,24.036197,20.140588,10.886207,2.262684,21.039836,4.358308,2.052576,0.296005,2.914243,15.632668
cuda,GPT2ForSequenceClassification,4,27.385260,22.729293,18.935913,10.668466,2.441028,13.764142,3.905121,1.901003,0.261477,2.223246,8.437288
cuda,LayoutLMForMaskedLM,16,28.570151,22.764328,19.849953,10.585584,2.619391,15.225251,3.962019,2.092351,0.299160,2.921869,10.506580
cuda,LayoutLMForSequenceClassification,16,29.437709,24.038352,20.341945,10.988042,2.504257,17.240664,4.871403,2.327640,0.294195,7.115365,12.260360
cuda,M2M100ForConditionalGeneration,16,58.776882,45.574900,42.571852,20.460727,6.438239,29.095241,11.031718,5.372230,1.412995,56.933768,23.111769
cuda,MBartForCausalLM,4,29.744233,23.500191,20.277757,11.434452,2.303155,16.762399,4.017048,2.093072,0.312441,2.295651,10.822179
cuda,MBartForConditionalGeneration,2,62.074998,49.402131,45.202830,24.062512,6.055835,30.566134,10.767351,5.325533,1.394929,0.388435,21.160482
cuda,MT5ForConditionalGeneration,16,43.657808,35.388671,31.909230,16.609205,5.131846,22.760282,6.142465,2.908985,0.501075,75.874882,16.726880
cuda,MegatronBertForCausalLM,4,48.423827,37.031327,33.992980,16.877165,4.751052,22.761530,8.655580,4.195534,0.905663,2.928230,17.577874
cuda,MegatronBertForQuestionAnswering,8,48.279472,37.184692,33.920639,16.719514,4.682842,24.028163,8.501607,4.113420,0.941555,2.889024,18.874153
cuda,MobileBertForMaskedLM,64,75.185887,57.678189,53.650693,23.348742,6.545330,37.505976,15.478005,8.066423,3.751040,40.325891,33.178400
cuda,MobileBertForQuestionAnswering,128,74.261671,56.863879,52.871591,23.019169,6.581380,39.952453,15.616310,8.086609,3.677050,32.462771,35.867329
cuda,OPTForCausalLM,2,26.933819,21.926457,18.776837,10.133659,2.182207,14.766032,4.225435,2.131294,0.288999,3.267648,9.757171
cuda,PLBartForCausalLM,8,18.751343,15.870620,12.769786,7.684238,1.371658,11.958292,2.087507,1.068378,0.116165,1.566019,7.498317
cuda,PLBartForConditionalGeneration,4,35.248461,28.822166,25.704149,14.166641,2.884266,19.254129,5.205575,2.664587,0.453853,2.692145,12.314824
cuda,PegasusForCausalLM,32,26.371987,20.362184,17.280287,8.171394,2.258633,13.116225,3.941570,2.066147,0.307922,3.105118,10.348068
cuda,PegasusForConditionalGeneration,32,46.615519,41.224342,37.983135,17.716992,6.332049,24.188787,10.504633,5.182143,1.354020,1.705386,20.547350
cuda,RobertaForCausalLM,16,29.405363,23.793890,20.458341,11.168401,2.596367,14.233154,4.005953,2.069265,0.297981,2.020612,8.894866
cuda,RobertaForQuestionAnswering,16,29.394652,23.912214,20.587841,11.386280,2.258896,14.357095,4.199562,2.035517,0.286558,1.319623,8.459204
cuda,Speech2Text2ForCausalLM,256,17.160923,14.313244,10.774308,5.928640,1.032359,11.056579,2.163303,1.051844,0.116626,3.772839,7.625417
cuda,T5ForConditionalGeneration,4,32.716424,26.887301,23.548883,12.597479,3.295615,16.776365,4.598763,2.099873,0.311529,9.190313,11.123442
cuda,T5Small,4,32.810236,26.906969,23.544396,12.474636,3.294592,16.725276,4.598249,2.112494,0.313349,9.062789,11.220184
cuda,TrOCRForCausalLM,32,28.195605,22.229785,18.889974,10.066940,2.083667,15.190619,3.841468,2.027416,0.307076,1.317008,10.247201
cuda,XGLMForCausalLM,8,48.990490,39.063143,35.750152,18.531481,5.701137,26.660615,8.697819,4.355751,0.935867,65.578773,20.402320
cuda,XLNetLMHeadModel,8,66.971279,56.207760,52.829664,29.852391,6.402132,33.301301,16.581822,4.609719,0.965729,11.381557,19.231272
cuda,YituTechConvBert,16,39.944795,32.274843,28.511434,15.119621,4.292492,22.992280,6.772202,3.202423,0.519366,14.511999,16.838000
