dev,name,batch_size,speedup,abs_latency,compilation_latency,compression_ratio,eager_peak_mem,dynamo_peak_mem,calls_captured,unique_graphs,graph_breaks,unique_graph_breaks
cuda,AlbertForMaskedLM,4,1.2494,310.2653,32.5456,0.7597,17.1890,22.6252,439,1,4,3
cuda,AlbertForQuestionAnswering,4,1.2533,307.0833,29.0835,0.7772,16.7994,21.6150,439,1,4,3
cuda,AllenaiLongformerBase,0,0.0000
cuda,BartForCausalLM,4,1.1452,108.2445,31.6061,0.8345,11.9283,14.2939,482,1,4,3
cuda,BartForConditionalGeneration,2,1.0957,135.4691,61.0626,0.8137,13.7366,16.8819,1258,1,4,3
cuda,BertForMaskedLM,16,1.1833,114.0264,32.6976,0.9248,15.4503,16.7061,370,1,4,3
cuda,BertForQuestionAnswering,16,1.2771,87.2072,31.7968,0.9941,11.5224,11.5911,377,1,4,3
cuda,BlenderbotForCausalLM,0,0.0000
cuda,BlenderbotSmallForCausalLM,64,1.0042,64.4067,24.2441,0.7233,9.8731,13.6495,327,1,4,3
cuda,BlenderbotSmallForConditionalGeneration,64,1.0788,110.8299,47.0969,0.8181,14.2441,17.4116,840,1,4,3
cuda,CamemBert,16,1.1827,115.1345,30.7890,0.9205,15.6524,17.0049,377,1,4,3
cuda,DebertaForMaskedLM,4,0.9670,63.1437,84.6966,0.5668,5.9448,10.4875,725,91,147,8
cuda,DebertaForQuestionAnswering,8,1.1639,70.7953,80.0088,0.4806,7.5693,15.7482,732,91,147,8
cuda,DebertaV2ForMaskedLM,1,0.8282,108.5406,127.3714,0.5500,12.4135,22.5704,930,175,270,8
cuda,DebertaV2ForQuestionAnswering,2,0.8380,126.2908,129.0492,0.4548,12.3927,27.2484,937,175,270,8
cuda,DistilBertForMaskedLM,128,1.0312,118.9089,31.3001,0.7997,15.0926,18.8717,206,1,4,3
cuda,DistilBertForQuestionAnswering,256,1.1515,126.4235,32.6400,0.9362,13.8149,14.7568,214,1,4,3
cuda,DistillGPT2,16,1.3805,87.3173,27.6235,0.8492,14.7986,17.4260,330,1,4,3
cuda,ElectraForCausalLM,32,1.4204,75.8397,45.7109,0.8114,15.1264,18.6423,375,1,4,3
cuda,ElectraForQuestionAnswering,64,1.4513,87.2094,39.2249,1.0201,14.2891,14.0078,378,1,4,3
cuda,GPT2ForSequenceClassification,4,1.6617,61.6184,31.3737,1.0169,11.3622,11.1732,644,1,4,3
cuda,GoogleFnet,16,1.5431,66.4205,28.1674,1.0394,12.1376,11.6779,232,1,4,3
cuda,LayoutLMForMaskedLM,16,1.1962,114.9192,35.4478,0.9249,15.4801,16.7364,396,1,4,3
cuda,LayoutLMForSequenceClassification,16,1.2990,87.6912,39.8272,0.9940,11.5557,11.6257,394,1,4,3
cuda,M2M100ForConditionalGeneration,16,1.0715,111.4002,116.7578,0.7498,12.6466,16.8658,1271,1,4,3
cuda,MBartForCausalLM,4,1.1351,108.7634,34.7787,0.8347,11.9452,14.3107,482,1,4,3
cuda,MBartForConditionalGeneration,2,1.1011,135.7218,64.0417,0.8239,13.7535,16.6929,1263,1,4,3
cuda,MT5ForConditionalGeneration,16,1.6841,57.0927,125.2126,0.7921,13.0997,16.5375,1173,1,4,3
cuda,MegatronBertForCausalLM,4,1.1651,87.3602,54.6196,0.8374,10.6300,12.6940,721,1,4,3
cuda,MegatronBertForQuestionAnswering,8,1.2116,142.7109,54.0154,0.9150,16.7231,18.2767,724,1,4,3
cuda,MobileBertForMaskedLM,64,1.8214,83.4686,120.1704,0.5643,9.4875,16.8135,1447,1,3,2
cuda,MobileBertForQuestionAnswering,128,1.3673,103.6265,115.1368,0.4677,10.5072,22.4664,1451,1,3,2
cuda,OPTForCausalLM,2,1.8303,94.8107,32.5270,1.0142,15.8984,15.6761,534,1,4,3
cuda,PLBartForCausalLM,8,1.2499,96.4105,23.5047,0.8267,15.3250,18.5366,254,1,4,3
cuda,PLBartForConditionalGeneration,4,1.2364,98.7233,41.2098,0.9018,15.6113,17.3110,658,1,4,3
cuda,PegasusForCausalLM,32,1.0069,85.3357,34.7229,0.7939,9.1097,11.4752,481,1,4,3
cuda,PegasusForConditionalGeneration,32,1.0282,168.2527,61.9586,0.8166,15.7523,19.2892,1248,1,3,2
cuda,RobertaForCausalLM,16,1.2611,113.6031,33.4827,0.9247,15.4441,16.7020,381,1,4,3
cuda,RobertaForQuestionAnswering,16,1.2760,87.6034,32.0366,0.9941,11.5225,11.5912,384,1,4,3
cuda,Speech2Text2ForCausalLM,256,1.1498,56.2796,23.1330,0.7096,9.1300,12.8663,263,1,4,3
cuda,T5ForConditionalGeneration,4,1.2603,82.8217,47.0794,0.9202,10.9163,11.8633,798,1,4,3
cuda,T5Small,4,1.2600,82.8228,47.0556,0.9202,10.9163,11.8633,798,1,4,3
cuda,TrOCRForCausalLM,32,1.0328,163.0763,32.0358,0.7827,16.9658,21.6773,481,1,4,3
cuda,XGLMForCausalLM,8,1.4230,69.5586,109.5315,0.7095,11.0691,15.6007,1001,1,4,3
cuda,XLNetLMHeadModel,8,1.6281,233.1126,84.7875,1.0737,20.6621,19.2436,764,1,6,4
cuda,YituTechConvBert,16,1.2015,129.3824,59.1833,0.8860,14.4224,16.2786,634,1,4,3
