dev,name,batch_size,speedup,abs_latency,compilation_latency,compression_ratio,eager_peak_mem,dynamo_peak_mem,calls_captured,unique_graphs,graph_breaks,unique_graph_breaks
cuda,adv_inception_v3,128,0.8606,185.9455,12.5144,0.8621,7.4412,8.6317,317,2,13,7
cuda,beit_base_patch16_224,64,0.9681,104.3406,8.5374,0.9303,8.0382,8.6407,472,2,13,7
cuda,botnet26t_256,128,0.8466,117.1330,5.9842,0.8676,6.5538,7.5542,340,2,15,7
cuda,cait_m36_384,4,0.9987,166.6553,30.1142,0.9130,13.2405,14.5020,1345,2,13,7
cuda,coat_lite_mini,128,0.9980,113.0213,7.7417,0.9207,7.4215,8.0606,463,2,13,7
cuda,convit_base,64,0.9997,162.7243,8.3508,0.8482,11.7728,13.8793,501,2,13,7
cuda,convmixer_768_32,32,0.9649,310.9328,6.8708,0.9795,6.9724,7.1182,234,2,7,5
cuda,convnext_base,64,1.0008,122.1360,12.3524,0.9240,9.3938,10.1666,498,2,13,7
cuda,crossvit_9_240,128,0.7887,103.3609,13.1852,0.8711,6.2898,7.2202,603,2,13,7
cuda,cspdarknet53,64,0.7779,113.6973,10.9560,0.8538,5.7233,6.7037,442,2,15,7
cuda,deit_base_distilled_patch16_224,64,0.9969,84.9274,6.9335,0.9313,7.6517,8.2158,380,2,13,7
cuda,dla102,128,0.8164,210.1931,13.9593,0.9155,9.7714,10.6733,419,2,13,7
cuda,dm_nfnet_f0,128,0.9979,127.1530,11.3071,0.8946,7.5870,8.4805,619,2,13,7
cuda,dpn107,32,0.7962,132.9861,20.0657,0.9040,6.1719,6.8274,746,2,15,7
cuda,eca_botnext26ts_256,128,0.7173,147.7252,6.7000,0.7722,8.7111,11.2813,370,2,15,7
cuda,ese_vovnet19b_dw,128,0.8271,74.8381,4.7654,0.8968,5.5337,6.1707,161,3,15,8
cuda,fbnetc_100,128,0.7286,107.8893,9.7890,0.8512,3.7569,4.4135,384,3,15,8
cuda,fbnetv3_b,128,0.7592,143.8025,17.1943,0.7935,5.8569,7.3814,610,2,15,7
