dev,name,batch_size,speedup,abs_latency,compilation_latency,compression_ratio,eager_peak_mem,dynamo_peak_mem,calls_captured,unique_graphs,graph_breaks,unique_graph_breaks
cuda,BERT_pytorch,16,0.8641,63.8528,8.1917,0.8854,2.9107,3.2876,538,1,5,4
cuda,Background_Matting,4,0.1873,977.3302,9.3951,0.8166,11.5230,14.1103,183,1,5,4
cuda,LearningToPaint,96,0.8075,17.4541,2.2351,0.7184,0.9495,1.3218,71,1,5,4
cuda,Super_SloMo,6,0.2443,485.1072,7.9855,0.9035,6.3301,7.0063,374,1,5,4
cuda,alexnet,128,0.9961,12.3137,0.4895,0.8770,1.6092,1.8349,22,1,5,4
cuda,attention_is_all_you_need_pytorch,256,0.9656,74.6379,7.8433,0.9238,4.7293,5.1195,548,1,5,4
cuda,dcgan,32,0.7462,2.4220,0.5060,0.8428,0.0788,0.0935,13,1,5,4
cuda,demucs,4,0.9990,74.9702,1.2553,0.9982,5.1808,5.1902,83,4,7,5
cuda,densenet121,4,0.7163,66.8649,14.1696,0.7964,0.6325,0.7942,431,1,5,4
cuda,dlrm,1024,0.8970,4.1604,0.6238,0.9945,4.3721,4.3964,36,1,4,3
cuda,drq,1,0.7345,3.0513,0.6838,0.9800,0.0588,0.0600,30,2,4,3
cuda,fastNLP_Bert,6,0.9728,61.2636,7.8182,0.9109,5.3672,5.8924,445,6,9,6
cuda,functorch_dp_cifar10,64,1.0225,7.9362,1.6479,0.9209,0.1866,0.2026,69,1,5,4
cuda,gat,0,0.0000
cuda,gcn,0,0.0000
cuda,hf_Albert,8,1.0010,76.0379,6.1295,0.9487,6.5757,6.9312,436,1,4,3
cuda,hf_Bart,4,0.9227,57.2860,9.1454,0.8672,5.7607,6.6426,641,1,4,3
cuda,hf_Bert,4,0.9990,39.0438,7.3767,0.8920,4.1537,4.6563,367,1,4,3
cuda,hf_Bert_large,4,0.9854,93.2402,14.8636,0.8872,9.5187,10.7288,715,1,4,3
cuda,hf_BigBird,2,0.7986,233.0695,31.2057,0.9851,6.1191,6.2116,2905,64,60,8
cuda,hf_DistilBert,8,0.9461,42.0569,3.8169,0.8990,4.3259,4.8121,203,1,4,3
cuda,hf_GPT2,4,0.9769,51.0342,7.1944,0.8882,5.7904,6.5194,635,1,4,3
cuda,hf_GPT2_large,4,0.9772,245.6364,21.9556,0.8611,26.2394,30.4707,1883,1,4,3
cuda,hf_Longformer,2,0.6448,215.2027,26.4866,0.9645,5.5763,5.7817,1735,4,7,4
cuda,hf_Reformer,4,0.9917,82.4954,4.8715,0.7852,1.5087,1.9213,490,45,98,10
cuda,hf_T5,8,0.8219,222.2358,10.7100,0.9409,19.2917,20.5037,795,1,4,3
cuda,hf_T5_large,2,0.8862,225.3599,44.4765,0.8482,17.3599,20.4663,2883,1,4,3
cuda,lennard_jones,1000,0.8346,1.4528,0.3710,1.0000,0.0184,0.0184,9,1,5,4
cuda,mnasnet1_0,32,0.7787,33.4084,4.9289,0.9062,1.5430,1.7026,152,1,5,4
cuda,mobilenet_v2,96,0.8431,82.3099,5.2185,0.7664,7.7617,10.1269,153,1,5,4
cuda,mobilenet_v2_quantized_qat,96,0.8451,172.4893,10.5821,0.8329,11.7486,14.1058,203,1,5,4
cuda,mobilenet_v3_large,32,0.8221,34.7424,5.4872,0.8877,1.6518,1.8608,187,1,5,4
cuda,moco,0,0.0000
cuda,nvidia_deeprecommender,256,0.9649,8.8676,0.4933,0.8886,3.2850,3.6969,13,1,5,4
cuda,phlippe_densenet,128,0.7986,31.1131,5.3000,0.9031,1.3470,1.4916,186,1,5,4
cuda,phlippe_resnet,128,0.7618,10.6859,2.0199,0.8597,0.2265,0.2635,71,1,5,4
cuda,pytorch_CycleGAN_and_pix2pix,1,0.9997,12.3711,2.1491,0.8961,0.5067,0.5655,91,1,5,4
cuda,pytorch_stargan,16,0.8840,26.6409,2.6156,1.0123,1.1983,1.1837,56,1,5,4
cuda,pytorch_struct,200,0.7366,5.1859,0.8789,0.5108,0.7118,1.3936,41,1,5,4
cuda,pytorch_unet,1,0.2733,213.0393,3.6673,0.8208,3.5526,4.3282,71,1,5,4
cuda,resnet152,32,0.8334,99.4811,15.3754,0.9123,6.2778,6.8810,515,1,5,4
cuda,resnet18,16,0.7813,12.0749,2.0466,0.8012,0.5304,0.6620,69,1,5,4
cuda,resnet50,32,0.8744,43.5258,5.1789,0.8710,3.0581,3.5111,175,1,5,4
cuda,resnet50_quantized_qat,32,0.8148,109.7754,10.1072,0.9473,6.6301,6.9988,163,1,5,4
cuda,resnext50_32x4d,8,0.7590,28.4578,5.5373,0.8959,1.2946,1.4450,175,1,5,4
cuda,sage,0,0.0000
cuda,shufflenet_v2_x1_0,128,0.7668,47.0108,6.2134,0.9152,2.8612,3.1263,271,1,5,4
cuda,soft_actor_critic,256,0.6830,1.7434,0.4167,0.9689,0.0329,0.0340,17,2,4,3
cuda,speech_transformer,32,0.8954,59.0356,9.4628,0.9115,1.1026,1.2097,767,9,14,6
cuda,squeezenet1_1,32,0.9909,9.2966,1.0968,0.8280,0.7667,0.9260,66,1,5,4
cuda,tacotron2,0,0.0000
cuda,timm_efficientnet,32,0.6893,53.9361,7.8740,0.7903,3.0658,3.8793,362,1,5,4
cuda,timm_nfnet,128,0.9981,193.3592,8.5162,0.8889,13.2213,14.8736,615,1,5,4
cuda,timm_regnet,32,0.8657,106.5450,9.6988,0.8657,6.6276,7.6562,520,1,5,4
cuda,timm_resnest,32,0.8827,35.1368,2.7965,0.8953,2.3019,2.5711,148,1,5,4
cuda,timm_vision_transformer,32,0.9782,31.2913,4.9001,0.9359,2.5476,2.7221,373,1,5,4
cuda,timm_vovnet,32,0.8029,46.6511,5.2347,0.7567,2.7041,3.5733,208,1,5,4
cuda,torchrec_dlrm,0,0.0000
cuda,tts_angular,64,0.9432,9.8973,0.3284,1.0000,0.3911,0.3911,2,1,6,5
cuda,vgg16,64,0.9986,107.2797,0.6578,0.6744,6.5739,9.7475,40,1,5,4
cuda,yolov3,16,0.8472,116.9201,8.1383,0.8555,7.7353,9.0417,262,1,5,4
