dev,name,batch_size,time,memory,graphs
cuda,AlbertForMaskedLM,2,115.4888,10.1847,1
cuda,AlbertForQuestionAnswering,2,136.7647,9.5073,1
cuda,AllenaiLongformerBase,0,0.0000
cuda,BartForCausalLM,4,162.6187,15.3130,1
cuda,BartForConditionalGeneration,2,403.2705,18.3033,1
cuda,BertForMaskedLM,64,226.7243,13.0235,1
cuda,BertForQuestionAnswering,64,247.4641,7.7705,1
cuda,BigBird,1,0,0,0
cuda,BlenderbotSmallForCausalLM,64,134.1159,13.8871,1
cuda,BlenderbotSmallForConditionalGeneration,64,275.9739,18.0275,1
cuda,CamemBert,1,0,0,0
cuda,DebertaForMaskedLM,4,173.5169,16.3082,204
cuda,DebertaForQuestionAnswering,4,0,0,0
cuda,DebertaV2ForMaskedLM,1,0,0,0
cuda,DebertaV2ForQuestionAnswering,1,0,0,0
cuda,DistilBertForMaskedLM,16,149.9473,3.2535,1
cuda,DistilBertForQuestionAnswering,32,202.1637,2.7198,1
cuda,DistillGPT2,1,138.1315,2.3623,1
cuda,ElectraForCausalLM,1,277.9397,0.8224,1
cuda,ElectraForQuestionAnswering,64,313.7493,13.7821,1
cuda,GPT2ForSequenceClassification,4,228.2376,10.5427,2
cuda,GPTNeoForCausalLM,1,0,0,0
cuda,GPTNeoForSequenceClassification,1,0,0,0
cuda,GoogleFnet,1,0,0,0
cuda,LayoutLMForMaskedLM,16,215.5073,17.1519,1
cuda,LayoutLMForSequenceClassification,16,198.7369,11.9320,2
cuda,M2M100ForConditionalGeneration,2,600,0,0
cuda,MBartForCausalLM,16,158.0270,7.7484,1
cuda,MBartForConditionalGeneration,8,387.3024,9.8147,1
cuda,MT5ForConditionalGeneration,2,381.6578,7.3168,1
cuda,MegatronBertForCausalLM,2,460.4571,6.1134,1
cuda,MegatronBertForQuestionAnswering,8,600,0,0
cuda,MobileBertForMaskedLM,16,427.9871,3.4587,1
cuda,MobileBertForQuestionAnswering,32,523.1171,3.4520,1
cuda,OPTForCausalLM,4,157.6053,3.0079,1
cuda,PLBartForCausalLM,16,159.4228,4.4396,1
cuda,PLBartForConditionalGeneration,8,503.6453,4.7436,1
cuda,PegasusForCausalLM,8,274.6790,5.5017,4
cuda,PegasusForConditionalGeneration,4,583.3398,8.5432,7
cuda,RobertaForCausalLM,4,413.3041,2.6151,1
cuda,RobertaForQuestionAnswering,64,227.4683,7.7707,1
cuda,Speech2Text2ForCausalLM,64,190.5902,3.3065,4
cuda,T5ForConditionalGeneration,4,267.7845,12.9080,1
cuda,T5Small,1,281.5460,3.8875,1
cuda,TrOCRForCausalLM,8,282.0003,5.3768,1
cuda,XGLMForCausalLM,2,600,0,0
cuda,XLNetLMHeadModel,4,600,0,0
cuda,YituTechConvBert,1,341.4375,2.8457,1
