dev,name,batch_size,time,memory,graphs
cuda,AlbertForMaskedLM,2,5.4579,9.9070,1
cuda,AlbertForQuestionAnswering,2,5.5088,9.5154,1
cuda,AllenaiLongformerBase,1,13.3286,3.2323,4
cuda,BartForCausalLM,4,5.8917,12.1217,1
cuda,BartForConditionalGeneration,2,13.6782,12.0942,1
cuda,BertForMaskedLM,64,8.6324,11.9168,1
cuda,BertForQuestionAnswering,64,8.7476,7.4353,1
cuda,BigBird,1,13.8902,3.5825,64
cuda,BlenderbotSmallForCausalLM,64,4.0082,11.5330,1
cuda,BlenderbotSmallForConditionalGeneration,64,10.7800,15.5501,1
cuda,CamemBert,1,8.3910,1.8602,1
cuda,DebertaForMaskedLM,4,8.5652,5.5240,204
cuda,DebertaForQuestionAnswering,4,8.5682,3.5234,204
cuda,DebertaV2ForMaskedLM,1,14.1484,10.8224,304
cuda,DebertaV2ForQuestionAnswering,1,14.0938,10.5301,304
cuda,DistilBertForMaskedLM,16,3.0475,2.3396,1
cuda,DistilBertForQuestionAnswering,32,3.0952,2.2044,1
cuda,DistillGPT2,1,3.7124,1.6056,1
cuda,ElectraForCausalLM,1,8.4642,0.5878,1
cuda,ElectraForQuestionAnswering,64,8.8463,14.9342,1
cuda,GPT2ForSequenceClassification,4,7.9190,12.0241,2
cuda,GPTNeoForCausalLM,1,13.2016,15.9637,1
cuda,GPTNeoForSequenceClassification,1,13.3917,15.9894,2
cuda,GoogleFnet,1,3.1712,1.1674,27
cuda,LayoutLMForMaskedLM,16,8.9741,16.0085,1
cuda,LayoutLMForSequenceClassification,16,8.8544,11.9698,2
cuda,M2M100ForConditionalGeneration,2,13.4787,6.0502,7
cuda,MBartForCausalLM,16,5.7102,5.3720,1
cuda,MBartForConditionalGeneration,8,13.4544,5.0859,1
cuda,MT5ForConditionalGeneration,2,19.7575,4.4939,1
cuda,MegatronBertForCausalLM,2,23.3881,4.0354,1
cuda,MegatronBertForQuestionAnswering,8,22.4728,4.7898,1
cuda,MobileBertForMaskedLM,16,79.8332,2.7388,1
cuda,MobileBertForQuestionAnswering,32,79.8633,2.7559,1
cuda,OPTForCausalLM,4,5.8014,1.8431,1
cuda,PLBartForCausalLM,16,3.2887,3.3208,1
cuda,PLBartForConditionalGeneration,8,5.7778,2.3987,1
cuda,PegasusForCausalLM,8,5.4127,3.1166,4
cuda,PegasusForConditionalGeneration,4,12.9212,4.9639,7
cuda,RobertaForCausalLM,4,8.3457,1.5888,1
cuda,RobertaForQuestionAnswering,64,8.6216,7.4353,1
cuda,Speech2Text2ForCausalLM,64,3.1865,2.7309,4
cuda,T5ForConditionalGeneration,4,12.3738,11.1248,1
cuda,T5Small,1,12.1159,3.1151,1
cuda,TrOCRForCausalLM,8,5.5125,3.5954,1
cuda,XGLMForCausalLM,2,11.9386,7.1448,4
cuda,XLNetLMHeadModel,4,22.9981,11.8872,1
cuda,YituTechConvBert,1,13.4879,1.7696,1
