dev,name,batch_size,time,memory,graphs
cuda,adv_inception_v3,128,4.7138,13.0376,2
cuda,beit_base_patch16_224,64,4.4363,10.5213,2
cuda,botnet26t_256,128,5.2367,11.4926,2
cuda,cait_m36_384,2,10.8248,9.6342,2
cuda,coat_lite_mini,128,4.5277,11.6370,2
cuda,convit_base,32,3.2731,7.7551,27
cuda,convmixer_768_32,32,3.9548,13.4316,2
cuda,convnext_base,32,5.3863,7.9234,2
cuda,crossvit_9_240,64,5.0704,3.6677,2
cuda,cspdarknet53,64,9.0986,10.4972,2
cuda,deit_base_distilled_patch16_224,64,3.7213,9.6711,2
cuda,densenet121,64,9.3671,8.4919,14
cuda,dla102,64,5.0011,9.2715,2
cuda,dm_nfnet_f0,128,12.1468,14.1483,2
cuda,dpn107,32,20.1632,10.7702,2
cuda,eca_botnext26ts_256,128,5.6099,15.8396,2
cuda,eca_halonext26ts,128,5.8315,15.9556,2
cuda,ecaresnet101d,64,7.0909,11.2783,2
cuda,ese_vovnet19b_dw,128,4.0489,9.7116,2
cuda,fbnetc_100,128,7.3799,6.9650,2
cuda,fbnetv3_b,128,12.2054,10.9923,2
cuda,gernet_l,128,8.0303,8.2190,2
cuda,ghostnet_100,128,5.8360,5.3469,2
cuda,gluon_inception_v3,128,4.7280,13.0376,2
cuda,gluon_senet154,32,12.1334,12.2349,2
cuda,gluon_xception65,32,4.6983,13.6586,2
cuda,gmixer_24_224,64,4.7701,7.6582,2
cuda,gmlp_s16_224,64,4.5129,9.1491,2
cuda,hardcorenas_a,128,4.5494,6.0106,2
cuda,hrnet_w18,128,22.2959,16.5768,2
cuda,inception_v3,128,4.7251,13.0376,2
cuda,jx_nest_base,64,7.6646,19.7422,2
cuda,lcnet_050,128,3.8464,2.1602,2
cuda,legacy_senet154,32,8.3365,12.2242,2
cuda,levit_128,128,5.1946,2.9701,2
cuda,mixer_b16_224,64,3.2280,7.9898,2
cuda,mixnet_l,64,15.1234,7.5510,2
cuda,mnasnet_100,128,5.7426,5.8478,2
cuda,mobilenetv2_100,128,5.7352,10.1997,2
cuda,mobilenetv3_large_100,128,5.7800,5.8226,2
cuda,mobilevit_s,64,6.8423,12.2027,2
cuda,nasnetalarge,16,32.7355,15.4122,2
cuda,nfnet_l0,128,8.3714,11.7352,2
cuda,pit_b_224,64,4.1101,11.6979,2
cuda,pnasnet5large,16,26.3169,17.0401,2
cuda,poolformer_m36,64,8.0626,15.9936,2
cuda,regnety_002,128,6.6452,2.5737,2
cuda,repvgg_a2,128,7.6180,5.2363,2
cuda,res2net101_26w_4s,64,8.1061,10.9395,2
cuda,res2net50_14w_8s,128,6.5424,15.4463,2
cuda,res2next50,128,4.7927,15.9129,2
cuda,resmlp_12_224,128,3.2466,7.0710,2
cuda,resnest101e,32,10.4302,8.1258,2
cuda,resnet18,128,2.7731,3.0322,2
cuda,rexnet_100,128,7.6750,11.9667,2
cuda,sebotnet33ts_256,64,6.7809,10.3424,2
cuda,selecsls42b,128,3.0461,6.2109,2
cuda,spnasnet_100,128,7.1838,6.4392,2
cuda,swin_base_patch4_window7_224,64,12.7815,15.0306,2
cuda,swsl_resnext101_32x16d,32,5.0763,14.0149,2
cuda,tf_efficientnet_b0,128,7.0457,11.6212,2
cuda,tf_mixnet_l,64,18.7449,8.3240,2
cuda,tinynet_a,128,7.5837,9.2485,2
cuda,tnt_s_patch16_224,64,6.3515,9.4606,2
cuda,twins_pcpvt_base,32,8.0981,5.8212,2
cuda,visformer_small,128,3.7592,10.8293,2
cuda,vit_base_patch16_224,64,3.6944,9.5883,2
cuda,volo_d1_224,64,5.1576,9.4615,2
cuda,xcit_large_24_p8_224,5,9.3768,9.2802,2
