dev,name,batch_size,time,memory,graphs
cuda,BERT_pytorch,16,219.4551,3.1311,1
cuda,Background_Matting,4,133.0681,12.4076,1
cuda,LearningToPaint,96,107.3205,1.3807,1
cuda,Super_SloMo,6,0,0,0
cuda,alexnet,128,18.4342,1.6130,1
cuda,attention_is_all_you_need_pytorch,256,380.1810,5.0232,1
cuda,dcgan,32,19.0234,0.0816,1
cuda,demucs,4,0,0,0
cuda,densenet121,4,600,0,0
cuda,detectron2_maskrcnn,1,0,0,0
cuda,dlrm,0,0.0000
cuda,drq,1,11.0471,0.0555,2
cuda,fambench_xlmr,0,0.0000
cuda,fastNLP_Bert,6,0,0,0
cuda,hf_Albert,8,121.4644,5.7507,1
cuda,hf_Bart,4,279.7703,6.7181,1
cuda,hf_Bert,4,226.6058,4.8853,1
cuda,hf_BigBird,2,0,0,0
cuda,hf_DistilBert,8,111.9352,4.9712,1
cuda,hf_GPT2,4,189.2658,5.8853,1
cuda,hf_Longformer,0,0.0000
cuda,hf_Reformer,4,63.8709,3.6402,22
cuda,hf_T5,8,189.0875,21.8923,1
cuda,maml,1,0,0,0
cuda,maml_omniglot,1,25.6302,0.0048,1
cuda,mnasnet1_0,32,279.0033,1.8612,1
cuda,mobilenet_v2,96,278.9211,7.7954,1
cuda,mobilenet_v2_quantized_qat,96,0,0,0
cuda,mobilenet_v3_large,32,329.2558,1.8810,1
cuda,moco,32,0,0,0
cuda,nvidia_deeprecommender,256,22.7724,4.7011,1
cuda,opacus_cifar10,64,0,0,0
cuda,pyhpc_equation_of_state,1048576,0,0,0
cuda,pyhpc_isoneutral_mixing,0,0.0000
cuda,pyhpc_turbulent_kinetic_energy,1048576,0,0,0
cuda,pytorch_CycleGAN_and_pix2pix,1,61.3772,0.5896,1
cuda,pytorch_stargan,16,44.3202,1.3536,1
cuda,pytorch_struct,200,64.9568,0.7327,1
cuda,pytorch_unet,1,100.8063,4.1419,1
cuda,resnet18,16,106.0656,0.7124,1
cuda,resnet50,32,162.3682,4.1335,1
cuda,resnet50_quantized_qat,32,0,0,0
cuda,resnext50_32x4d,8,140.7639,1.5849,1
cuda,shufflenet_v2_x1_0,128,191.2737,3.1729,1
cuda,soft_actor_critic,256,0,0,0
cuda,speech_transformer,32,0,0,0
cuda,squeezenet1_1,32,18.3733,0.6061,1
cuda,tacotron2,0,0.0000
cuda,timm_efficientdet,1,0,0,0
cuda,timm_efficientnet,32,0,0,0
cuda,timm_nfnet,128,0,0,0
cuda,timm_regnet,32,0,0,0
cuda,timm_resnest,32,0,0,0
cuda,timm_vision_transformer,8,0,0,0
cuda,timm_vovnet,32,0,0,0
cuda,tts_angular,64,0,0,0
cuda,vgg16,64,20.5001,6.9885,1
cuda,vision_maskrcnn,4,0,0,0
cuda,yolov3,0,0.0000
