dev,name,batch_size,time,memory,graphs
cuda,adv_inception_v3,128,4.2956,13.0376,0
cuda,beit_base_patch16_224,64,2.5325,10.5215,0
cuda,botnet26t_256,128,2.4841,11.4931,0
cuda,cait_m36_384,2,2.6382,9.6348,0
cuda,coat_lite_mini,128,2.6628,11.7632,0
cuda,convit_base,32,2.4735,7.7551,0
cuda,convmixer_768_32,32,3.0029,13.4316,0
cuda,convnext_base,32,2.6341,7.9234,0
cuda,crossvit_9_240,64,2.3948,3.6681,0
cuda,cspdarknet53,64,2.5921,10.4972,0
cuda,deit_base_distilled_patch16_224,64,2.5056,9.6711,0
cuda,densenet121,64,2.6019,8.4771,0
cuda,dla102,64,2.6381,9.1978,0
cuda,dm_nfnet_f0,128,2.7481,13.2571,0
cuda,dpn107,32,2.7967,10.7722,0
cuda,eca_botnext26ts_256,128,2.5553,15.8396,0
cuda,eca_halonext26ts,128,2.6066,15.9545,0
cuda,ecaresnet101d,64,2.6978,11.2783,0
cuda,ese_vovnet19b_dw,128,2.3914,9.7116,0
cuda,fbnetc_100,128,2.5502,6.9650,0
cuda,fbnetv3_b,128,2.7104,10.9923,0
cuda,gernet_l,128,2.6317,8.2190,0
cuda,ghostnet_100,128,2.6145,5.3469,0
cuda,gluon_inception_v3,128,2.8389,13.0376,0
cuda,gluon_senet154,32,2.8680,12.2349,0
cuda,gluon_xception65,32,2.7726,13.6586,0
cuda,gmixer_24_224,64,2.4252,7.6582,0
cuda,gmlp_s16_224,64,2.4693,9.1491,0
cuda,hardcorenas_a,128,2.4467,6.0106,0
cuda,hrnet_w18,128,3.5961,16.5779,0
cuda,inception_v3,128,2.8262,13.0376,0
cuda,jx_nest_base,64,2.8369,19.7281,0
cuda,lcnet_050,128,2.3601,2.1602,0
cuda,legacy_senet154,32,2.9008,12.2242,0
cuda,levit_128,128,2.4140,2.9701,0
cuda,mixer_b16_224,64,2.3926,7.9898,0
cuda,mixnet_l,64,2.6306,7.5510,0
cuda,mnasnet_100,128,2.4565,5.8478,0
cuda,mobilenetv2_100,128,2.4554,10.1997,0
cuda,mobilenetv3_large_100,128,2.5013,5.8226,0
cuda,mobilevit_s,64,2.6278,12.2020,0
cuda,nasnetalarge,16,3.2886,16.9180,0
cuda,nfnet_l0,128,2.6272,11.7311,0
cuda,pit_b_224,64,2.5549,11.6976,0
cuda,pnasnet5large,16,3.2069,18.2456,0
cuda,poolformer_m36,64,2.6555,15.9936,0
cuda,regnety_002,128,2.4422,2.5737,0
cuda,repvgg_a2,128,2.5369,5.2363,0
cuda,res2net101_26w_4s,64,2.7198,10.9395,0
cuda,res2net50_14w_8s,128,2.9115,15.4463,0
cuda,res2next50,128,2.7966,15.9129,0
cuda,resmlp_12_224,128,2.3548,6.9940,0
cuda,resnest101e,32,2.6327,8.1258,0
cuda,resnet18,128,2.3468,3.0322,0
cuda,rexnet_100,128,2.5852,11.9667,0
cuda,sebotnet33ts_256,64,2.5199,10.3432,0
cuda,selecsls42b,128,2.4456,6.1347,0
cuda,spnasnet_100,128,2.5271,6.4392,0
cuda,swin_base_patch4_window7_224,64,2.8504,15.0293,0
cuda,swsl_resnext101_32x16d,32,2.8944,14.0149,0
cuda,tf_efficientnet_b0,128,2.6557,11.6216,0
cuda,tf_mixnet_l,64,2.6642,8.3226,0
cuda,tinynet_a,128,2.5661,9.2485,0
cuda,tnt_s_patch16_224,64,2.8264,9.4608,0
cuda,twins_pcpvt_base,32,2.4894,5.8220,0
cuda,visformer_small,128,2.5618,10.8293,0
cuda,vit_base_patch16_224,64,2.4893,9.5883,0
cuda,volo_d1_224,64,2.6632,9.4597,0
cuda,xcit_large_24_p8_224,5,2.8067,9.2793,0
