dev,name,batch_size,time,memory,graphs
cuda,AlbertForMaskedLM,2,3.0394,8.9534,0
cuda,AlbertForQuestionAnswering,2,1.4082,8.8108,0
cuda,AllenaiLongformerBase,1,1.0305,3.0266,0
cuda,BartForCausalLM,4,1.3040,10.8949,0
cuda,BartForConditionalGeneration,2,1.3539,12.0942,0
cuda,BertForMaskedLM,64,1.2130,10.9164,0
cuda,BertForQuestionAnswering,64,1.1299,6.9911,0
cuda,BigBird,1,1.5053,3.2928,0
cuda,BlenderbotSmallForCausalLM,64,1.1281,9.6174,0
cuda,BlenderbotSmallForConditionalGeneration,64,1.3458,13.8862,0
cuda,CamemBert,1,1.0016,1.4151,0
cuda,DebertaForMaskedLM,4,1.0893,5.1128,0
cuda,DebertaForQuestionAnswering,4,1.0986,3.4768,0
cuda,DebertaV2ForMaskedLM,1,1.1933,10.8224,0
cuda,DebertaV2ForQuestionAnswering,1,1.2364,10.5301,0
cuda,DistilBertForMaskedLM,16,0.9305,2.0895,0
cuda,DistilBertForQuestionAnswering,32,0.9724,1.9438,0
cuda,DistillGPT2,1,0.9459,1.1978,0
cuda,ElectraForCausalLM,1,1.0102,0.5249,0
cuda,ElectraForQuestionAnswering,64,1.2899,14.2179,0
cuda,GPT2ForSequenceClassification,4,1.2555,10.8395,0
cuda,GPTNeoForCausalLM,1,1.1518,15.9637,0
cuda,GPTNeoForSequenceClassification,1,1.1500,15.9380,0
cuda,GoogleFnet,1,1.0853,1.0666,0
cuda,LayoutLMForMaskedLM,16,1.2956,15.0082,0
cuda,LayoutLMForSequenceClassification,16,1.2250,11.0851,0
cuda,M2M100ForConditionalGeneration,2,1.2070,5.8602,0
cuda,MBartForCausalLM,16,1.0581,4.5535,0
cuda,MBartForConditionalGeneration,8,1.1878,5.0859,0
cuda,MT5ForConditionalGeneration,2,1.0941,3.8714,0
cuda,MegatronBertForCausalLM,2,1.1686,4.0354,0
cuda,MegatronBertForQuestionAnswering,8,1.1492,3.9927,0
cuda,MobileBertForMaskedLM,16,1.5286,2.4888,0
cuda,MobileBertForQuestionAnswering,32,1.5700,2.6717,0
cuda,OPTForCausalLM,4,0.9905,1.6587,0
cuda,PLBartForCausalLM,16,0.9362,2.8356,0
cuda,PLBartForConditionalGeneration,8,1.0213,2.3987,0
cuda,PegasusForCausalLM,8,0.8973,2.9439,0
cuda,PegasusForConditionalGeneration,4,1.0307,4.9639,0
cuda,RobertaForCausalLM,4,0.9753,1.3991,0
cuda,RobertaForQuestionAnswering,64,1.1530,6.9911,0
cuda,Speech2Text2ForCausalLM,64,0.9615,2.3026,0
cuda,T5ForConditionalGeneration,4,1.2292,10.3887,0
cuda,T5Small,1,1.0846,2.7431,0
cuda,TrOCRForCausalLM,8,1.0362,2.8454,0
cuda,XGLMForCausalLM,2,1.0107,7.0945,0
cuda,XLNetLMHeadModel,4,1.4371,10.3729,0
cuda,YituTechConvBert,1,2.5924,1.3873,0
