dev,name,batch_size,speedup
cuda,adv_inception_v3,128,1.6308
cuda,beit_base_patch16_224,64,0.9438
cuda,botnet26t_256,128,1.4973
cuda,cait_m36_384,2,1.6716
cuda,coat_lite_mini,128,1.3535
cuda,convit_base,0,0.0000
cuda,convmixer_768_32,32,1.0886
cuda,convnext_base,32,0.5990
cuda,crossvit_9_240,64,1.2708
cuda,cspdarknet53,64,1.5704
cuda,deit_base_distilled_patch16_224,64,1.1097
cuda,densenet121,64,1.9434
cuda,dla102,64,1.6730
cuda,dm_nfnet_f0,128,1.4521
cuda,dpn107,32,1.4390
cuda,eca_botnext26ts_256,128,1.4411
cuda,eca_halonext26ts,128,1.4452
cuda,ecaresnet101d,64,1.4317
cuda,ese_vovnet19b_dw,128,1.5005
cuda,fbnetc_100,128,1.6061
cuda,fbnetv3_b,128,1.5776
cuda,gernet_l,128,1.3280
cuda,ghostnet_100,128,2.1774
cuda,gluon_inception_v3,128,1.6331
cuda,gluon_senet154,32,1.5577
cuda,gluon_xception65,32,1.2219
cuda,gmixer_24_224,64,1.2575
cuda,gmlp_s16_224,64,1.1600
cuda,hardcorenas_a,128,1.6638
cuda,hrnet_w18,2,4.2492
cuda,inception_v3,128,1.6323
cuda,jx_nest_base,0,0.0000
cuda,lcnet_050,128,2.5923
cuda,legacy_senet154,32,1.5486
cuda,levit_128,0,0.0000
cuda,mixer_b16_224,64,0.9498
cuda,mixnet_l,64,1.2806
cuda,mnasnet_100,128,1.6807
cuda,mobilenetv2_100,128,1.7019
cuda,mobilenetv3_large_100,128,1.7365
cuda,mobilevit_s,64,1.4529
cuda,nasnetalarge,0,0.0000
cuda,nfnet_l0,128,1.4062
cuda,pit_b_224,64,1.1969
cuda,pnasnet5large,0,0.0000
cuda,poolformer_m36,64,1.2742
cuda,regnety_002,128,2.2447
cuda,repvgg_a2,128,1.4409
cuda,res2net101_26w_4s,64,1.4917
cuda,res2net50_14w_8s,2,5.0928
cuda,res2next50,2,6.0235
cuda,resmlp_12_224,128,1.4004
cuda,resnest101e,32,2.0408
cuda,resnet18,128,1.5113
cuda,rexnet_100,128,1.5145
cuda,sebotnet33ts_256,64,1.2249
cuda,selecsls42b,128,1.5269
cuda,spnasnet_100,128,1.6262
cuda,swin_base_patch4_window7_224,64,1.1950
cuda,swsl_resnext101_32x16d,64,1.2159
cuda,tf_efficientnet_b0,128,1.4875
cuda,tf_mixnet_l,64,1.2925
cuda,tinynet_a,128,1.4239
cuda,tnt_s_patch16_224,64,1.6660
cuda,twins_pcpvt_base,32,1.7962
cuda,visformer_small,128,1.1741
cuda,vit_base_patch16_224,64,1.0524
cuda,volo_d1_224,0,0.0000
cuda,xcit_large_24_p8_224,0,0.0000
