dev,name,batch_size,speedup
cuda,AlbertForMaskedLM,2,1.0004
cuda,AlbertForQuestionAnswering,2,0.9997
cuda,AllenaiLongformerBase,1,1.0236
cuda,BartForCausalLM,2,0.9997
cuda,BartForConditionalGeneration,1,1.0160
cuda,BertForMaskedLM,64,0.9998
cuda,BertForQuestionAnswering,64,1.0001
cuda,BigBird,1,0.9928
cuda,BlenderbotSmallForCausalLM,64,0.9997
cuda,BlenderbotSmallForConditionalGeneration,32,1.0109
cuda,CamemBert,1,1.0543
cuda,DebertaForMaskedLM,4,0.9515
cuda,DebertaForQuestionAnswering,4,0.9608
cuda,DebertaV2ForMaskedLM,0,0.0000
cuda,DebertaV2ForQuestionAnswering,0,0.0000
cuda,DistilBertForMaskedLM,16,1.0356
cuda,DistilBertForQuestionAnswering,32,1.0290
cuda,DistillGPT2,1,1.0332
cuda,ElectraForCausalLM,1,1.0444
cuda,ElectraForQuestionAnswering,64,1.0001
cuda,GPT2ForSequenceClassification,4,0.9996
cuda,GPTNeoForCausalLM,0,0.0000
cuda,GPTNeoForSequenceClassification,0,0.0000
cuda,GoogleFnet,1,1.0051
cuda,LayoutLMForMaskedLM,16,0.9996
cuda,LayoutLMForSequenceClassification,16,0.9997
cuda,M2M100ForConditionalGeneration,2,1.0103
cuda,MBartForCausalLM,16,1.0057
cuda,MBartForConditionalGeneration,8,1.0192
cuda,MT5ForConditionalGeneration,2,1.0244
cuda,MegatronBertForCausalLM,2,1.0511
cuda,MegatronBertForQuestionAnswering,8,1.0457
cuda,MobileBertForMaskedLM,16,1.0219
cuda,MobileBertForQuestionAnswering,32,1.0194
cuda,OPTForCausalLM,4,1.0206
cuda,PLBartForCausalLM,16,1.0099
cuda,PLBartForConditionalGeneration,8,1.0183
cuda,PegasusForCausalLM,8,1.0156
cuda,PegasusForConditionalGeneration,4,1.0139
cuda,RobertaForCausalLM,4,1.0470
cuda,RobertaForQuestionAnswering,64,1.0005
cuda,Speech2Text2ForCausalLM,64,1.0028
cuda,T5ForConditionalGeneration,4,0.9993
cuda,T5Small,1,1.0151
cuda,TrOCRForCausalLM,8,1.0133
cuda,XGLMForCausalLM,1,1.0154
cuda,XLNetLMHeadModel,4,1.0001
cuda,YituTechConvBert,1,1.0275
