dev,name,batch_size,speedup
cuda,adv_inception_v3,128,0.9997
cuda,beit_base_patch16_224,64,0.9997
cuda,botnet26t_256,128,0.9997
cuda,cait_m36_384,2,1.0000
cuda,coat_lite_mini,128,1.0000
cuda,convit_base,32,0.9994
cuda,convmixer_768_32,32,0.9998
cuda,convnext_base,32,0.9990
cuda,crossvit_9_240,64,1.0054
cuda,cspdarknet53,64,0.9990
cuda,deit_base_distilled_patch16_224,64,0.9995
cuda,densenet121,64,0.9992
cuda,dla102,64,0.9993
cuda,dm_nfnet_f0,128,0.9999
cuda,dpn107,32,0.9997
cuda,eca_botnext26ts_256,128,0.9996
cuda,eca_halonext26ts,128,0.9997
cuda,ecaresnet101d,64,0.9993
cuda,ese_vovnet19b_dw,128,0.9990
cuda,fbnetc_100,128,0.9992
cuda,fbnetv3_b,128,0.9992
cuda,gernet_l,128,0.9996
cuda,ghostnet_100,128,0.9989
cuda,gluon_inception_v3,128,0.9997
cuda,gluon_senet154,32,0.9999
cuda,gluon_xception65,32,0.9995
cuda,gmixer_24_224,64,0.9988
cuda,gmlp_s16_224,64,0.9990
cuda,hardcorenas_a,128,0.9991
cuda,hrnet_w18,2,1.0062
cuda,inception_v3,128,0.9996
cuda,jx_nest_base,0,0.0000
cuda,lcnet_050,128,1.0108
cuda,legacy_senet154,32,1.0001
cuda,levit_128,0,0.0000
cuda,mixer_b16_224,64,0.9994
cuda,mixnet_l,64,0.9991
cuda,mnasnet_100,128,0.9995
cuda,mobilenetv2_100,128,0.9996
cuda,mobilenetv3_large_100,128,0.9989
cuda,mobilevit_s,64,0.9994
cuda,nasnetalarge,16,0.9991
cuda,nfnet_l0,128,0.9997
cuda,pit_b_224,64,0.9997
cuda,pnasnet5large,16,0.9992
cuda,poolformer_m36,64,0.9994
cuda,regnety_002,128,1.0161
cuda,repvgg_a2,128,0.9996
cuda,res2net101_26w_4s,64,0.9993
cuda,res2net50_14w_8s,2,1.0005
cuda,res2next50,2,1.0056
cuda,resmlp_12_224,128,0.9993
cuda,resnest101e,32,0.9984
cuda,resnet18,128,0.9992
cuda,rexnet_100,128,0.9995
cuda,sebotnet33ts_256,64,0.9991
cuda,selecsls42b,128,0.9994
cuda,spnasnet_100,128,0.9989
cuda,swin_base_patch4_window7_224,64,0.9996
cuda,swsl_resnext101_32x16d,64,0.9996
cuda,tf_efficientnet_b0,128,0.9995
cuda,tf_mixnet_l,64,0.9991
cuda,tinynet_a,128,0.9993
cuda,tnt_s_patch16_224,64,1.0000
cuda,twins_pcpvt_base,32,1.0050
cuda,visformer_small,128,0.9997
cuda,vit_base_patch16_224,64,0.9995
cuda,volo_d1_224,64,0.9995
cuda,xcit_large_24_p8_224,5,1.0014
