dev,name,batch_size,speedup
cuda,BERT_pytorch,16,1.1587
cuda,Background_Matting,4,0.8675
cuda,LearningToPaint,96,0.8365
cuda,Super_SloMo,0,0.0000
cuda,alexnet,128,0.8041
cuda,attention_is_all_you_need_pytorch,256,0.7743
cuda,dcgan,32,1.2079
cuda,demucs,4,1.0001
cuda,densenet121,4,2.3783
cuda,dlrm,0,0.0000
cuda,drq,1,1.5710
cuda,fastNLP_Bert,0,0.0000
cuda,hf_Albert,8,0.7536
cuda,hf_Bart,4,0.7543
cuda,hf_Bert,4,0.7145
cuda,hf_BigBird,2,0.8521
cuda,hf_DistilBert,8,0.6770
cuda,hf_GPT2,4,0.7354
cuda,hf_Longformer,2,1.0145
cuda,hf_Reformer,0,0.0000
cuda,hf_T5,0,0.0000
cuda,mnasnet1_0,32,0.8526
cuda,mobilenet_v2,96,0.7561
cuda,mobilenet_v2_quantized_qat,0,0.0000
cuda,mobilenet_v3_large,32,1.0158
cuda,moco,32,0.9927
cuda,nvidia_deeprecommender,256,0.5267
cuda,pytorch_CycleGAN_and_pix2pix,1,1.3598
cuda,pytorch_stargan,16,0.9559
cuda,pytorch_struct,200,0.9265
cuda,pytorch_unet,1,0.8505
cuda,resnet18,16,1.1746
cuda,resnet50,32,0.7635
cuda,resnet50_quantized_qat,0,0.0000
cuda,resnext50_32x4d,8,1.2402
cuda,shufflenet_v2_x1_0,128,0.8016
cuda,soft_actor_critic,256,1.1155
cuda,speech_transformer,32,1.0157
cuda,squeezenet1_1,32,1.0041
cuda,tacotron2,0,0.0000
cuda,timm_efficientdet,1,2.0242
cuda,timm_efficientnet,32,0.7788
cuda,timm_nfnet,0,0.0000
cuda,timm_regnet,32,1.1236
cuda,timm_resnest,32,0.7996
cuda,timm_vision_transformer,8,1.4004
cuda,timm_vovnet,32,0.7992
cuda,tts_angular,64,0.9794
cuda,vgg16,64,0.8538
cuda,vision_maskrcnn,0,0.0000
cuda,yolov3,16,0.7622
