dev,name,batch_size,speedup
cuda,AlbertForMaskedLM,2,1.1623
cuda,AlbertForQuestionAnswering,2,1.1625
cuda,AllenaiLongformerBase,1,1.1671
cuda,BartForCausalLM,2,1.0011
cuda,BartForConditionalGeneration,1,1.0542
cuda,BertForMaskedLM,64,1.0539
cuda,BertForQuestionAnswering,64,1.0721
cuda,BigBird,1,0.9864
cuda,BlenderbotSmallForCausalLM,64,1.0152
cuda,BlenderbotSmallForConditionalGeneration,32,1.0707
cuda,CamemBert,1,1.1072
cuda,DebertaForMaskedLM,0,0.0000
cuda,DebertaForQuestionAnswering,0,0.0000
cuda,DebertaV2ForMaskedLM,0,0.0000
cuda,DebertaV2ForQuestionAnswering,0,0.0000
cuda,DistilBertForMaskedLM,16,1.0999
cuda,DistilBertForQuestionAnswering,32,1.0282
cuda,DistillGPT2,1,1.2687
cuda,ElectraForCausalLM,1,1.0752
cuda,ElectraForQuestionAnswering,64,1.2697
cuda,GPT2ForSequenceClassification,4,1.5596
cuda,GPTNeoForCausalLM,0,0.0000
cuda,GPTNeoForSequenceClassification,0,0.0000
cuda,GoogleFnet,1,1.1542
cuda,LayoutLMForMaskedLM,16,1.1447
cuda,LayoutLMForSequenceClassification,16,1.1852
cuda,M2M100ForConditionalGeneration,2,1.0898
cuda,MBartForCausalLM,16,1.0256
cuda,MBartForConditionalGeneration,8,1.0937
cuda,MT5ForConditionalGeneration,0,0.0000
cuda,MegatronBertForCausalLM,2,1.1374
cuda,MegatronBertForQuestionAnswering,8,1.1758
cuda,MobileBertForMaskedLM,16,1.0716
cuda,MobileBertForQuestionAnswering,32,1.0623
cuda,OPTForCausalLM,4,1.1755
cuda,PLBartForCausalLM,16,1.0588
cuda,PLBartForConditionalGeneration,8,1.0513
cuda,PegasusForCausalLM,8,1.0648
cuda,PegasusForConditionalGeneration,4,1.0796
cuda,RobertaForCausalLM,4,1.0838
cuda,RobertaForQuestionAnswering,64,1.0719
cuda,Speech2Text2ForCausalLM,64,1.0964
cuda,T5ForConditionalGeneration,0,0.0000
cuda,T5Small,0,0.0000
cuda,TrOCRForCausalLM,8,1.0793
cuda,XGLMForCausalLM,1,1.0750
cuda,XLNetLMHeadModel,4,1.1236
cuda,YituTechConvBert,1,1.0816
