dev,name,batch_size,speedup
cuda,AlbertForMaskedLM,2,0.8066
cuda,AlbertForQuestionAnswering,2,0.8062
cuda,AllenaiLongformerBase,1,0.5869
cuda,BartForCausalLM,2,0.9658
cuda,BartForConditionalGeneration,1,0.7074
cuda,BertForMaskedLM,64,0.9589
cuda,BertForQuestionAnswering,64,0.9682
cuda,BigBird,1,0.7785
cuda,BlenderbotSmallForCausalLM,64,0.9143
cuda,BlenderbotSmallForConditionalGeneration,32,0.7364
cuda,CamemBert,1,0.7004
cuda,DebertaForMaskedLM,4,0.6603
cuda,DebertaForQuestionAnswering,4,0.6646
cuda,DebertaV2ForMaskedLM,0,0.0000
cuda,DebertaV2ForQuestionAnswering,0,0.0000
cuda,DistilBertForMaskedLM,16,0.7245
cuda,DistilBertForQuestionAnswering,32,0.7265
cuda,DistillGPT2,1,0.7469
cuda,ElectraForCausalLM,1,0.7083
cuda,ElectraForQuestionAnswering,64,0.9827
cuda,GPT2ForSequenceClassification,4,0.9678
cuda,GPTNeoForCausalLM,0,0.0000
cuda,GPTNeoForSequenceClassification,0,0.0000
cuda,GoogleFnet,0,0.0000
cuda,LayoutLMForMaskedLM,16,0.9702
cuda,LayoutLMForSequenceClassification,16,0.9789
cuda,M2M100ForConditionalGeneration,2,0.6768
cuda,MBartForCausalLM,16,0.7136
cuda,MBartForConditionalGeneration,8,0.7067
cuda,MT5ForConditionalGeneration,2,0.7447
cuda,MegatronBertForCausalLM,2,0.7019
cuda,MegatronBertForQuestionAnswering,8,0.7178
cuda,MobileBertForMaskedLM,16,0.6969
cuda,MobileBertForQuestionAnswering,32,0.6957
cuda,OPTForCausalLM,4,0.7030
cuda,PLBartForCausalLM,16,0.7532
cuda,PLBartForConditionalGeneration,8,0.7015
cuda,PegasusForCausalLM,8,0.6874
cuda,PegasusForConditionalGeneration,4,0.6886
cuda,RobertaForCausalLM,4,0.7065
cuda,RobertaForQuestionAnswering,64,0.9708
cuda,Speech2Text2ForCausalLM,64,0.7015
cuda,T5ForConditionalGeneration,4,0.9016
cuda,T5Small,1,0.7570
cuda,TrOCRForCausalLM,8,0.7174
cuda,XGLMForCausalLM,1,0.6696
cuda,XLNetLMHeadModel,4,0.8904
cuda,YituTechConvBert,1,0.7053
