dev,name,batch_size,speedup
cuda,BERT_pytorch,16,0.7222
cuda,Background_Matting,4,1.0170
cuda,LearningToPaint,96,0.9099
cuda,Super_SloMo,6,0.9930
cuda,alexnet,128,0.9931
cuda,attention_is_all_you_need_pytorch,256,0.7115
cuda,dcgan,32,0.8367
cuda,demucs,4,1.0005
cuda,densenet121,4,0.8289
cuda,dlrm,0,0.0000
cuda,drq,0,0.0000
cuda,fastNLP_Bert,0,0.0000
cuda,hf_Albert,8,0.9539
cuda,hf_Bart,4,0.7055
cuda,hf_Bert,4,0.7177
cuda,hf_BigBird,2,0.7678
cuda,hf_DistilBert,8,0.8981
cuda,hf_GPT2,4,0.8150
cuda,hf_Longformer,2,0.7323
cuda,hf_Reformer,0,0.0000
cuda,hf_T5,8,0.9387
cuda,mnasnet1_0,32,0.9043
cuda,mobilenet_v2,96,0.9849
cuda,mobilenet_v2_quantized_qat,0,0.0000
cuda,mobilenet_v3_large,32,0.8944
cuda,moco,32,0.9916
cuda,nvidia_deeprecommender,256,0.9954
cuda,pytorch_CycleGAN_and_pix2pix,0,0.0000
cuda,pytorch_stargan,16,0.8380
cuda,pytorch_struct,200,0.6969
cuda,pytorch_unet,1,0.9950
cuda,resnet18,16,0.8842
cuda,resnet50,32,0.9162
cuda,resnet50_quantized_qat,0,0.0000
cuda,resnext50_32x4d,8,0.8580
cuda,shufflenet_v2_x1_0,128,0.9172
cuda,soft_actor_critic,0,0.0000
cuda,speech_transformer,0,0.0000
cuda,squeezenet1_1,32,0.8438
cuda,tacotron2,0,0.0000
cuda,timm_efficientdet,0,0.0000
cuda,timm_efficientnet,32,0.7769
cuda,timm_nfnet,0,0.0000
cuda,timm_regnet,32,0.9129
cuda,timm_resnest,32,0.9312
cuda,timm_vision_transformer,8,0.7125
cuda,timm_vovnet,32,0.9474
cuda,tts_angular,64,0.9329
cuda,vgg16,64,0.9981
cuda,vision_maskrcnn,0,0.0000
cuda,yolov3,0,0.0000
