dev,name,batch_size,speedup
cuda,BERT_pytorch,16,1.6033
cuda,Background_Matting,4,0.8985
cuda,LearningToPaint,96,1.1748
cuda,Super_SloMo,6,0.8849
cuda,alexnet,128,0.8024
cuda,attention_is_all_you_need_pytorch,256,0.8547
cuda,dcgan,32,1.6666
cuda,demucs,4,1.0003
cuda,densenet121,4,2.5323
cuda,dlrm,0,0.0000
cuda,drq,0,0.0000
cuda,fastNLP_Bert,0,0.0000
cuda,hf_Albert,8,0.7751
cuda,hf_Bart,4,1.0267
cuda,hf_Bert,4,0.9351
cuda,hf_BigBird,2,0.8811
cuda,hf_DistilBert,8,0.7347
cuda,hf_GPT2,4,0.8108
cuda,hf_Longformer,2,0.8977
cuda,hf_Reformer,0,0.0000
cuda,hf_T5,0,0.0000
cuda,mnasnet1_0,32,1.2924
cuda,mobilenet_v2,96,0.7658
cuda,mobilenet_v2_quantized_qat,0,0.0000
cuda,mobilenet_v3_large,32,1.5351
cuda,moco,32,0.9928
cuda,nvidia_deeprecommender,256,0.6540
cuda,pytorch_CycleGAN_and_pix2pix,0,0.0000
cuda,pytorch_stargan,16,0.9953
cuda,pytorch_struct,200,1.1166
cuda,pytorch_unet,1,0.8711
cuda,resnet18,16,1.6815
cuda,resnet50,32,0.9791
cuda,resnet50_quantized_qat,0,0.0000
cuda,resnext50_32x4d,8,1.8959
cuda,shufflenet_v2_x1_0,128,0.9868
cuda,soft_actor_critic,0,0.0000
cuda,speech_transformer,0,0.0000
cuda,squeezenet1_1,32,1.4307
cuda,tacotron2,0,0.0000
cuda,timm_efficientdet,0,0.0000
cuda,timm_efficientnet,32,1.1713
cuda,timm_nfnet,0,0.0000
cuda,timm_regnet,32,0.9453
cuda,timm_resnest,32,0.8916
cuda,timm_vision_transformer,8,1.6748
cuda,timm_vovnet,32,1.0252
cuda,tts_angular,64,0.9968
cuda,vgg16,64,0.8503
cuda,vision_maskrcnn,0,0.0000
cuda,yolov3,0,0.0000
