dev,name,batch_size,speedup
cuda,BERT_pytorch,16,0.7551
cuda,Background_Matting,0,0.0000
cuda,LearningToPaint,96,0.9355
cuda,Super_SloMo,6,0.9982
cuda,alexnet,128,0.9919
cuda,attention_is_all_you_need_pytorch,256,0.7423
cuda,dcgan,32,0.8468
cuda,demucs,0,0.0000
cuda,densenet121,4,0.8334
cuda,dlrm,0,0.0000
cuda,drq,1,0.7672
cuda,fastNLP_Bert,0,0.0000
cuda,hf_Albert,8,0.8345
cuda,hf_Bart,4,0.7202
cuda,hf_Bert,4,0.7701
cuda,hf_BigBird,2,0.7859
cuda,hf_DistilBert,8,0.9240
cuda,hf_GPT2,4,0.7765
cuda,hf_Longformer,2,0.7772
cuda,hf_Reformer,0,0.0000
cuda,hf_T5,8,0.9496
cuda,mnasnet1_0,32,0.9355
cuda,mobilenet_v2,96,0.9851
cuda,mobilenet_v2_quantized_qat,0,0.0000
cuda,mobilenet_v3_large,32,0.9347
cuda,moco,32,0.9946
cuda,nvidia_deeprecommender,256,0.9851
cuda,pytorch_CycleGAN_and_pix2pix,1,0.8002
cuda,pytorch_stargan,16,0.8845
cuda,pytorch_struct,200,0.7358
cuda,pytorch_unet,1,0.9960
cuda,resnet18,16,0.9185
cuda,resnet50,32,0.9544
cuda,resnet50_quantized_qat,0,0.0000
cuda,resnext50_32x4d,8,0.8815
cuda,shufflenet_v2_x1_0,128,0.9347
cuda,soft_actor_critic,256,0.7157
cuda,speech_transformer,0,0.0000
cuda,squeezenet1_1,32,0.8815
cuda,tacotron2,0,0.0000
cuda,timm_efficientdet,1,0.7934
cuda,timm_efficientnet,32,0.7977
cuda,timm_nfnet,128,0.9983
cuda,timm_regnet,32,0.9601
cuda,timm_resnest,32,0.9542
cuda,timm_vision_transformer,8,0.7645
cuda,timm_vovnet,32,0.9669
cuda,tts_angular,64,0.9207
cuda,vgg16,64,0.9988
cuda,vision_maskrcnn,0,0.0000
cuda,yolov3,0,0.0000
