dev,name,batch_size,speedup
cuda,adv_inception_v3,128,1.2802
cuda,beit_base_patch16_224,64,0.9555
cuda,botnet26t_256,128,1.3996
cuda,cait_m36_384,2,0.9803
cuda,coat_lite_mini,128,1.0736
cuda,convit_base,32,1.1509
cuda,convmixer_768_32,32,1.0722
cuda,convnext_base,32,1.0446
cuda,crossvit_9_240,64,1.0732
cuda,cspdarknet53,64,1.5066
cuda,deit_base_distilled_patch16_224,64,1.0191
cuda,densenet121,64,1.4659
cuda,dla102,64,1.4104
cuda,dm_nfnet_f0,128,1.2126
cuda,dpn107,32,1.1554
cuda,eca_botnext26ts_256,0,0.0000
cuda,eca_halonext26ts,0,0.0000
cuda,ecaresnet101d,64,1.4113
cuda,ese_vovnet19b_dw,128,1.3368
cuda,fbnetc_100,128,1.4036
cuda,fbnetv3_b,128,1.3058
cuda,gernet_l,128,1.1890
cuda,ghostnet_100,128,1.4052
cuda,gluon_inception_v3,128,1.2801
cuda,gluon_senet154,32,1.1979
cuda,gluon_xception65,32,1.1258
cuda,gmixer_24_224,64,0.9951
cuda,gmlp_s16_224,64,0.9980
cuda,hardcorenas_a,128,1.3182
cuda,hrnet_w18,2,1.3069
cuda,inception_v3,128,1.2799
cuda,jx_nest_base,0,0.0000
cuda,lcnet_050,128,1.8327
cuda,legacy_senet154,32,1.1990
cuda,mixer_b16_224,64,0.9873
cuda,mixnet_l,64,1.1087
cuda,mnasnet_100,128,1.4145
cuda,mobilenetv2_100,128,1.2473
cuda,mobilenetv3_large_100,128,1.3909
cuda,mobilevit_s,0,0.0000
cuda,nasnetalarge,16,1.1308
cuda,nfnet_l0,0,0.0000
cuda,pit_b_224,64,1.0626
cuda,pnasnet5large,16,1.1183
cuda,poolformer_m36,0,0.0000
cuda,regnety_002,128,1.6452
cuda,repvgg_a2,128,1.3427
cuda,res2net101_26w_4s,64,1.2675
cuda,res2net50_14w_8s,2,1.3952
cuda,res2next50,2,1.3353
cuda,resmlp_12_224,0,0.0000
cuda,resnest101e,32,1.2649
cuda,resnet18,128,1.3243
cuda,rexnet_100,128,1.1311
cuda,sebotnet33ts_256,64,1.1415
cuda,selecsls42b,128,1.3716
cuda,spnasnet_100,128,1.4072
cuda,swin_base_patch4_window7_224,64,0.9888
cuda,swsl_resnext101_32x16d,0,0.0000
cuda,tf_efficientnet_b0,128,1.0947
cuda,tf_mixnet_l,64,1.1046
cuda,tinynet_a,128,1.1080
cuda,tnt_s_patch16_224,64,1.5623
cuda,twins_pcpvt_base,32,1.2412
cuda,visformer_small,0,0.0000
cuda,vit_base_patch16_224,64,0.9801
cuda,volo_d1_224,64,1.1552
cuda,xcit_large_24_p8_224,5,1.0405
